#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NOT_INTERESTED_IN_ANY_SOCIETY_TRIGGER;Is NOT currently showing interest in a society;Ne montre pas actuellement de l'intérêt pour une société;Zeigt momentan KEIN Interesse an einen Zirkel;;NO muestra interés por una sociedad;;;;;;;;;x
INTERESTED_IN_ANY_SOCIETY_TRIGGER;Is currently showing interest in a society;Montre actuellement de l'intérêt pour une société;Zeigt momentan Interesse an einem Zirkel;;Muestra interés por una sociedad;;;;;;;;;x
reprimanded_merchants;Reprimanded Merchants;Marchands réprimandés;Zurechtgewiesene Händler;;Mercaderes reprendidos;;;;;;;;;x
reprimanded_merchants_desc;Merchants from this county are upset after having lost privileges due to conducting dishonest business.;Les marchands de ce pays sont contrariés après avoir perdu des privilèges des suites d'un commerce déloyal.;Händler dieses Landes sind verärgert, nachdem sie ihre Privilegien aufgrund der Durchführung von unehrlichen Geschäften verloren haben.;;Los mercaderes de este país están disgustados al perder sus privilegios por haber realizado negocios deshonestos.;;;;;;;;;x
dealing_with_dishonest_traders;Dealing with Dishonest Traders;A affaire à des marchands malhonnêtes;Beschäftigt mit unehrlichen Händlern;;Tratando con comerciantes deshonestos;;;;;;;;;x
dealing_with_dishonest_traders_desc;This character is busy seeking out and exhorting traders to conform to a stricter protocol of action.;Ce personnage est occupé à chercher et à exhorter les commerçants à se conformer à un protocole d'action plus strict.;Dieser Charakter ist damit beschäftigt, Händler aufzusuchen und sie er ermahnen, sich einem strengeren Handelsprotokoll anzupassen.;;Este personaje busca y exhorta a los comerciantes a ajustarse a un protocolo de acción más estricto.;;;;;;;;;x
defending_vassal_rights;Defending Vassal Rights;Défend ses droits sur ses vassaux;Verteidigt Vasallenrechte;;Defendiendo derechos de vasallos;;;;;;;;;x
defending_vassal_rights_desc;This character is known for speaking up when their vassals are directly being influenced by other people.;Ce personnage est connu pour ne pas mâcher ses mots lorsque ses vassaux sont directement influencés par d'autres.;Dieser Charakter ist bekannt dafür einzustehen, wenn ihre Vasallen direkt von anderen beeinflusst werden.;;Este personaje tiene fama de hablar a favor de los vasallos cuando se ven influidos por otros.;;;;;;;;;x
EVTDESC_JD_30002;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nIt has come to the attention of the heavenly [From.Offmap.Ruler.GetShortChineseEmperorName] that merchants from your lands have been acting with deceit and dishonesty while conducting trade with our merchants. We are certain that you will make sure that this behavior will cease immediately.;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nIl est venu à l'attention du Céleste [From.Offmap.Ruler.GetShortChineseEmperorName] que des marchands de vos terres ont escroqué les nôtres. Nous sommes persuadés que vous vous assurerez que ces agissements ne se reproduisent plus.;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\n[From.Offmap.Ruler.GetDerDie] himmlische [From.Offmap.Ruler.GetShortChineseEmperorName] hat Kenntnis davon erlangt, dass Eure Kaufleute mit Täuschung und Unehrlichkeit agieren, während sie mit unseren Händler Handel betreiben. Wir sind sicher, dass Ihr sicherstellen werdet, dass dieses verhalten sofort aufhört.;;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nHa llegado a la atención del celeste [From.Offmap.Ruler.GetShortChineseEmperorName] que mercaderes de tus tierras actúan con engaño y falta de honradez al negociar con los nuestros. Estamos seguros de que os encargaréis de que este comportamiento cese de inmediato.;;;;;;;;;x
EVTOPTA_JD_30002;We need to restrict the privileges of the major trade guilds.;Nous avons besoin de restreindre les privilèges des guildes majeures.;Schränken wir die Privilegien der großen Handelsgilden ein.;;Debemos restringir los privilegios del mayor gremio comercial;;;;;;;;;x
EVTOPTB_JD_30002;I'll have [target_marshal.GetFirstName] seek out and deal with the worst troublemakers.;Je vais envoyer [target_marshal.GetFirstName] s'occuper des fauteurs de trouble.;[target_marshal.GetFirstName] kann sich mit den Schlimmsten befassen.;;Haré que [target_marshal.GetFirstName] busque y se ocupe de los más problemáticos.;;;;;;;;;x
EVTOPTC_JD_30002;How our merchants conduct their trade is no business for the crown.;La façon de procéder de nos marchands ne regarde pas la Couronne.;Wie unsere Händler Handel treiben ist unsere Sache.;;La corona no se mete en cómo hacen negocios nuestros mercaderes.;;;;;;;;;x
EVTDESC_JD_30003;[From.GetTitledFirstName] has restricted the freedoms of merchants in your region citing misbehavior in interactions with other realms. The rights of merchants from our cities does however fall under our jurisdiction and even though [From.GetFirstName] might get angered if we publicly announce it can be an opportunity to show resolve.;[From.GetTitledFirstName] a limité les libertés des marchands dans votre région, citant leur mauvaise conduite dans des interactions avec d'autres pays. Les droits des marchands de vos villes sont cependant sous votre juridiction, et même si [From.GetFirstName] pourrait s'en offusquer, le dénoncer publiquement serait une occasion de montrer votre détermination.;[From.GetTitledFirstName] hat die Handlungsfreiheiten der Händler eingeschränkt, die Regeln gebrochen haben. Die Rechte der Kaufleute aus unseren Städten fallen jedoch unter unsere Gerichtsbarkeit und das obwohl [From.GetFirstName] verärgert sein könnte, wenn wir öffentlich bekannt geben, dass Entschlossenheit zu zeigen, eine Gelegenheit sein könne.;;[From.GetTitledFirstName] ha restringido las libertades de los mercaderes en tu región aduciendo mal comportamiento al tratar con otros reinos. No obstante, los derechos de los mercaderes de nuestras ciudades recaen bajo nuestra jurisdicción, y aunque [From.GetFirstName] podría enfadarse si nos pronunciamos públicamente, puede ser una oportunidad de mostrar resolución.;;;;;;;;;x
EVTOPTA_JD_30003;Make a public statement about the misuse of power.;Je vais dénoncer publiquement cet abus de pouvoir.;Gebt eine öffentliche Erklärung zum Missbrauch von Macht.;;Hacer una declaración pública sobre los abusos de poder.;;;;;;;;;x
EVTOPTB_JD_30003;I should make sure that I'm in good standing with [From.GetFirstName].;Je devrais m'assurer que je suis en règle avec [From.GetFirstName].;Ich sollte dafür sorgen, dass ich mich gut mit [From.GetFirstName] verstehe.;;Debo dejar claro que me llevo bien con [From.GetFirstName].;;;;;;;;;x
EVTDESC_JD_30004;Your vassal, [From.GetTitledFirstName], was less than impressed by your intrusion on merchant rights in the cities of [From.GetHerHis] lands. [From.GetSheHeCap] has now made a public statement on how this action was an unjustified use of power in an area of [From.GetHerHis] responsibility.;Votre vassal[From.GetNoneE], [From.GetTitledFirstName], n'a pas apprécié votre intervention sur les droits marchands des cités sur ses terres. [From.GetIlElleCap] a dénoncé publiquement un « abus de pouvoir ».;Euer Vasall [From.GetTitledFirstName] war wenig beeindruckt von Eurem Eingriff in die Handelsrechte [From.GetHerHis]er Städte. [From.GetSheHeCap] hat nun öffentlich gemacht, dass diese Handlung ein ungerechtfertigter Machtmissbrauch in einem Bereich [From.GetHerHis]er Verantwortung war.;;Tu vasallo, [From.GetTitledFirstName] no se llevó una buena impresión con tu intromisión en los derechos de los mercaderes en las ciudades de sus tierras. Ha hecho una declaración pública sobre cómo esta acción fue un abuso injustificado de poder en un área bajo su responsabilidad.;;;;;;;;;x
EVTOPTA_JD_30004;[From.GetHerHisCap] merchants had to be kept in line!;Ses marchands n'avaient qu'à bien se comporter !;[From.GetHerHisCap]e Händler müssen an der Leine gehalten werden!;;¡Hay que mantener a raya a sus mercaderes!;;;;;;;;;x
OFFMAP_CHANGE_CURRENCY_GAIN;Gain $VALUE|G$ $CURRENCY|Y$ with $OFFMAP|Y$;Gagne $VALUE|G$ $CURRENCY|Y$ avec l'$OFFMAP|Y$;Erhält $VALUE|G$ $CURRENCY|Y$ mit $OFFMAP|Y$;;Gana $VALUE|G$ $CURRENCY|Y$ con $OFFMAP|Y$;;;;;;;;;x
OFFMAP_CHANGE_CURRENCY_LOSE;Lose $VALUE|R$ $CURRENCY|Y$ with $OFFMAP|Y$;Perd $VALUE|R$ $CURRENCY|Y$ avec l'$OFFMAP|Y$;Verliert $VALUE|R$ $CURRENCY|Y$ mit $OFFMAP|Y$;;Pierde $VALUE|R$ $CURRENCY|Y$ con $OFFMAP|Y$;;;;;;;;;x
EVTDESC_JD_30011;Last night, [chinese_courtier.GetBestName] and I ended up having discussions until dawn, about [chinese_courtier.GetRootMatchingPersonalityStreak]. I must have made a good impression, as [chinese_courtier.GetSheHe] told me that [chinese_courtier.GetSheHe] will be sending a letter, praising the hospitality [chinese_courtier.GetSheHe] has received.;La nuit dernière, [chinese_courtier.GetBestName] et moi avons discuté jusqu'à l'aube au sujet [chinese_courtier.GetRootMatchingPersonalityStreak]. Je dois lui avoir fait bonne impression, puisqu'[chinese_courtier.GetIlElle] m'a dit qu'[chinese_courtier.GetIlElle] enverra une lettre louant l'hospitalité qu'[chinese_courtier.GetIlElle] a reçue.;Letzte Nacht diskutierten [chinese_courtier.GetBestName] und ich bis zum Morgengrauen über [chinese_courtier.GetRootMatchingPersonalityStreak]. Ich muss einen guten Eindruck gemacht haben, da [chinese_courtier.GetSheHe] mir gesagt hat, dass [chinese_courtier.GetSheHe] einen Brief schicken wird, der die Gastfreundschaft lobt, die [chinese_courtier.GetSheHe] erfahren hat.;;Anoche [chinese_courtier.GetBestName] y yo tuvimos una charla hasta el amanecer sobre [chinese_courtier.GetRootMatchingPersonalityStreak]. Debo haber causado una buena impresión ya que dijo que me mandaría una carta alabando la hospitalidad que recibió.;;;;;;;;;x
EVTOPTA_JD_30011;A pleasant evening.;Une nuit agréable.;Ein angenehmer Abend.;;Una tarde agradable.;;;;;;;;;x
EVTOPTB_JD_30011;I need to make sure that everyone knows about this.;Je dois m'assurer que tout le monde soit au courant.;Ich muss dafür sorgen, dass jeder Bescheid weiß.;;Debo asegurarme de que todos lo sepan.;;;;;;;;;x
EVTDESC_JD_30012;I have noticed that [chinese_courtier.GetBestName] has grown increasingly aggravated during the last couple of weeks, and today something extra unthoughtful slipped my tongue which caused [chinese_courtier.GetHerHim] to storm off exclaiming that the Emperor would hear about this.;J'ai remarqué que [chinese_courtier.GetBestName] s'est agacé[chinese_courtier.GetNoneE] de plus en plus ces dernières semaines, et aujourd'hui, quelque chose de très irréfléchi est sorti de ma bouche, ce qui lui a fait s'écrier que l'Empereur allait en entendre parler.;Ich habe bemerkt, dass [chinese_courtier.GetBestName] in den letzten paar Wochen deutlich gereizter war und heute ist mir unachtsamerweise etwas über die Lippen gegangen, dass [chinese_courtier.GetHerHim] dazu gebracht hat, mit der Anmerkung hinaus zu stürmen, dass der Kaiser davon hören würde.;;He notado que la exasperación de [chinese_courtier.GetBestName] ha aumentado en estas semanas, y hoy se me escapó algo especialmente torpe, lo que le hizo marcharse presa de la ira, gritando que el Emperador se enterará de esto.;;;;;;;;;x
EVTOPTA_JD_30012;This might upset our relations with [offmap_china.Governor.Offmap.GetShortName].;Nos relations avec la [offmap_china.Governor.Offmap.GetShortName] pourraient en pâtir.;Dies könnte unsere Beziehungen zu [offmap_china.Governor.Offmap.GetShortName] stören.;;Esto podría afectar nuestras relaciones con [offmap_china.Governor.Offmap.GetShortName].;;;;;;;;;x
EVTOPTB_JD_30012;Guards arrest that [chinese_courtier.GetManWoman]!;Gardes, arrêtez c[chinese_courtier.GetEtEtte] [chinese_courtier.GetManWoman] !;Wachen, ergreift diese[chinese_courtier.GetnMale] [chinese_courtier.GetManWoman]!;;¡Guardias, arrestadlo!;;;;;;;;;x
chinese_silk_road_favored_status;Request Trade Contract;Demander un contrat commercial;Handelsvertrag anfordern;;Solicitar contrato comercial;;;;;;;;;x
#chinese_silk_road_favored_status_desc;By requesting the Imperial seal our trade posts will attract merchants from far and wide to trade in exotic goods.;En demandant le sceau impérial, nos comptoirs attireront des marchands de partout pour échanger des produits exotiques.;Durch das Anfordern des kaiserlichen Siegels werden unsere Handelsposten Händler von nah und fern heranziehen, um mit exotischen Waren zu handeln.;;Al solicitar el sello imperial, nuestros puestos comerciales atraerán mercaderes de todas partes para conseguir bienes exóticos.;;;;;;;;;x
chinese_silk_road_favored_status_modifier_tt;All trade post provinces in the realm of §Y[From.PrimaryTitle.GetName]§! gains §G100%§! increased trade income for 25 years.;Toutes les provinces avec un comptoir en §Y[From.PrimaryTitle.GetName]§! obtiennent §G100%§! d'augmentation des revenus commerciaux pour 25 ans.;Alle Handelsposten im Reich von §Y[From.PrimaryTitle.GetName]§! erhalten für 25 Jahre §G100%§! erhöhtes Handelseinkommen.;;Todas las provincias con puestos comerciales del reino de §Y[From.PrimaryTitle.GetName]§! reciben un aumento de ingresos comerciales del §G100%§! durante 25 años.;;;;;;;;;x
chinese_imperial_trade_contract;Imperial Trade Contract;Contrat commercial impérial;Kaiserlicher Handelsvertrag;;Contrato de comercio imperial;;;;;;;;;x
#chinese_imperial_trade_contract_desc;The traders in this province are enjoying the profits of a beneficial trade agreement.;Les commerçants de cette province profitent des bénéfices d'un accord commercial avantageux.;Die Händler in dieser Provinz genießen die Vorzüge eines nützlichen Handelsabkommens.;;Los comerciantes de esta provincia se benefician de un acuerdo comercial beneficioso.;;;;;;;;;x
MULTIPLICATIVE_TRADE_POST_INCOME_MODIFIER;Trade Income;Revenus commerciaux;Handelseinkommen;;Ingresos comerciales;;;;;;;;;x
#EVTDESC_JD_30045;As if things did not already look grim enough, I just received word that the Chinese Emperor has sent significant forces from the interior to support the outlying regions of the West in our war! Is there any chance of victory?;Comme si les choses n'allaient pas déjà assez mal, je viens juste d'apprendre que l'empereur chinois a envoyé d'importantes forces de l'intérieur pour soutenir les régions périphériques de l'Ouest dans notre guerre ! Y a-t-il une chance de victoire ?;Als ob die Dinge nicht schon schlimm genug aussehen, erhielt ich nun Wort, dass der chinesische Kaiser deutlich Truppen vom Landesinneren schickt, um die abgelegenen Gebieten des Westens in unserem Krieg zu unterstützen. Gibt es eine Möglichkeit auf Sieg?;;Como si las cosas no fuesen lo bastante mal, acabo de saber que el emperador de China ha enviado fuerzas significativas de su interior para apoyar las regiones periféricas de Occidente en nuestra guerra. ¿Hay alguna posibilidad de victoria?;;;;;;;;;x
EVTOPTA_JD_30045;May [Root.TrueReligion.GetHighGodName] help us...;Puisse [Root.TrueReligion.GetHighGodName] nous aider...;Möge [Root.TrueReligion.GetHighGodName] mit uns sein...;;Que [Root.TrueReligion.GetHighGodName] nos ayude…;;;;;;;;;x
