#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RD_APPEARANCE;Appearance;Apparence;Aussehen;;Apariencia;;;;;;;;;x
RD_COAT_OF_ARMS;Coat of Arms;Écu;Wappen;;Escudo de Armas;;;;;;;;;x
RD_ATTRIBUTES;Attributes;Attributs;Attribute;;Atributos;;;;;;;;;x
RD_ETHNICITY;Ethnicity;Ethnie;Ethnie;;Etnicidad;;;;;;;;;x
RD_EYES;Eyes;Yeux;Augen;;Ojos;;;;;;;;;x
RD_NOSE;Nose;Nez;Nase;;Nariz;;;;;;;;;x
RD_MOUTH;Mouth;Bouche;Mund;;Boca;;;;;;;;;x
RD_CHIN;Chin;Menton;Kinn;;Mentón;;;;;;;;;x
RD_NECK;Neck;Cou;Hals;;Cuello;;;;;;;;;x
RD_CHEEKS;Cheeks;Joues;Wangen;;Carrillos;;;;;;;;;x
RD_EARS;Ears;Oreilles;Ohren;;Orejas;;;;;;;;;x
RD_EYE_COLOR;Eye Color;Couleur des yeux;Augenfarbe;;Color de Ojos;;;;;;;;;x
RD_HAIRSTYLE;Hairstyle;Coiffure;Frisur;;Peinado;;;;;;;;;x
RD_HAIR_COLOR;Hair Color;Couleur;Haarfarbe;;Color de Pelo;;;;;;;;;x
RD_BEARD;Beard;Barbe;Bart;;Barba;;;;;;;;;x
RD_VISUALIZE;Visualize;Visualiser;Visualisieren;;Visualizar;;;;;;;;;x
RD_CLOTHES;Clothes;Habits;Kleidung;;Ropajes;;;;;;;;;x
RD_HEADGEAR;Headgear;Couvre-chef;Kopfbedeckung;;Corona;;;;;;;;;x
RD_AGE;Age;Âge;Alter;;Edad;;;;;;;;;x
RD_BACKGROUND;Background;Décor;Hintergrund;;Escenario;;;;;;;;;x
RD_CANCEL;Cancel;Annuler;Abbrechen;;Cancelar;;;;;;;;;x
RD_NEXT;Next;Suivant;Weiter;;Siguiente;;;;;;;;;x
RD_LAYOUT;Layout;Composition;Layout;;Disposición;;;;;;;;;x
RD_SLOT_1;Slot 1;I;Spalte 1;;Partición 1;;;;;;;;;x
RD_SLOT_2;Slot 2;II;Spalte 2;;Partición 2;;;;;;;;;x
RD_SLOT_3;Slot 3;III;Spalte 3;;Partición 3;;;;;;;;;x
RD_SLOT_4;Slot 4;IV;Spalte 4;;Partición 4;;;;;;;;;x
RD_COLOR_1;Color 1;Couleur 1;Farbe 1;;Color 1;;;;;;;;;x
RD_COLOR_2;Color 2;Couleur 2;Farbe 2;;Color 2;;;;;;;;;x
RD_COLOR_3;Color 3;Couleur 3;Farbe 3;;Color 3;;;;;;;;;x
RD_EMBLEM;Emblem;Figure;Emblem;;Emblema;;;;;;;;;x
PORTRAIT_westerngfx;Western;Occidental;Westlich;;Occidental;;;;;;;;;x
PORTRAIT_italiangfx;Italian;Italien;Italienisch;;Italiano;;;;;;;;;x
PORTRAIT_byzantinegfx;Byzantine;Byzantin;Byzantinisch;;Bizantino;;;;;;;;;x
PORTRAIT_muslimgfx;Muslim;Musulman;Muslimisch;;Musulmán;;;;;;;;;x
RD_YOUNG;Young;Jeune;Jung;;Joven;;;;;;;;;x
