#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mesoamerican;Mesoamerican;méso-américain;Mesoamerikanisch;;Mesoamericano;;;;;;;;;x
nahuatl;Nahua;nahua;Nahua;;Nahua;;;;;;;;;x
aztec;Aztec;aztèque;Aztekisch;;Aztec;;;;;;;;;x
e_mexikha;Aztec Empire;Empire aztèque;Aztekenreich;;Aztec Empire;;;;;;;;;x
e_mexikha_adj;Aztec;aztèque;Aztekisch;;Aztec;;;;;;;;;x
emperor_nahuatl;Huetlatoani;Huetlatoani;Huetlatoani;;Huetlatoani;;;;;;;;;x
emperor_female_nahuatl;Huetlatoani;Huetlatoani;Huetlatoani;;Huetlatoani;;;;;;;;;x
king_nahuatl;Tlatoani;Tlatoani;Tlatoani;;Tlatoani;;;;;;;;;x
king_female_nahuatl;Tlatoani;Tlatoani;Tlatoani;;Tlatoani;;;;;;;;;x
duke_nahuatl;Huecalpixqui;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
duke_female_nahuatl;Huecalpixqui;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
count_nahuatl;Calpixqui;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
count_female_nahuatl;Calpixqui;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
baron_nahuatl;Teuctli;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
baron_female_nahuatl;Teuctli;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
GOD_HUITZILOPOCHTLI;Huitzilopochtli;Huitzilopochtli;Huitzilopochtli;;Huitzilopochtli;;;;;;;;;x
GOD_XIPE_TOTEC;Xipe-Totec;Xipe Totec;Xipe-Totec;;Xipe-Totec;;;;;;;;;x
GOD_TEZCATLIPOCA;Tezcatlipoca;Tezcatlipoca;Tezcatlipoca;;Tezcatlipoca;;;;;;;;;x
GOD_QUETZALCOATL;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
GOD_MICTLANTECUHTLI;Mictlantecuhtli;Mictlantecuhtli;Mictlantecuhtli;;Mictlantecuhtli;;;;;;;;;x
GOD_TLALOC;Tlaloc;Tlaloc;Tlaloc;;Tlaloc;;;;;;;;;x
job_chancellor_aztec;Cihuacoatl;Cihuacoatl;Cihuacoatl;;Cihuacoatl;;;;;;;;;x
job_marshal_aztec;Tlacateccatl;Tlacateccatl;Tlacateccatl;;Tlacateccatl;;;;;;;;;x
job_treasurer_aztec;Petlacalcatl;Petlacalcatl;Petlacalcatl;;Petlacalcatl;;;;;;;;;x
job_spymaster_aztec;Tillancalqui;Tillancalqui;Tillancalqui;;Tillancalqui;;;;;;;;;x
job_spiritual_aztec;Sahagun;Sahagún;Sahagun;;Sahagun;;;;;;;;;x
ISNT_TRIBAL_TYPE_TITLE;Is NOT Tribal;N'est pas tribal;ist NICHT stammeszugehörig;;NO es Tribal ;;;;;;;;;x
IS_TRIBAL_TYPE_TITLE;Is Tribal;Est tribal;ist stammeszugehörig;;Es Tribal ;;;;;;;;;x
HAS_HORDE_CULTURE;Is of a Horde Culture;Est d'une culture de horde;gehört einer Horden-Kultur an;;Es de una Cultura Horda;;;;;;;;;x
HAS_NOT_HORDE_CULTURE;Is NOT of a Horde Culture;N'est pas d'une culture de horde;gehört KEINER Horden-Kultur an;;NO es de una Cultura Horda;;;;;;;;;x
#DEATH_SACRIFICED;was offered up in sacrifice to Pagan gods by $KILLER$;;wurde von $KILLER$ in einem Opferritual den heidnischen Göttern geopfert;;fue ofrecido en sacrificio a los dioses Paganos a manos de $ASESINOS$;;;;;;;;;x
DEATH_SACRIFICED_NO_KILLER;was offered up in sacrifice to the Gods;a été offert[GetNoneE] aux dieux;wurde in einem Opferritual den Göttern geopfert;;fue ofrecido en sacrificio a los Dioses;;;;;;;;;x
RETTYPE_CUL_NAHUA;Jaguar Warrior;Guerrier jaguar;Jaguar-Krieger;;Guerrero Jaguar;;;;;;;;;x
EVTDESC_SSI_001;Odd looking strangers in exotic ships came ashore today, requesting an audience. They came bearing wondrous gifts and merchandise - stygian beads, pearls and colourful feathers. Their tongue was unknown to everyone at court, but it seemed they wanted land in exchange for their baubles!;Des étrangers aux allures étranges et bizarres sont arrivés aujourd'hui à bord de bateaux exotiques et ont demandé une audience. Ils ont apporté des marchandises et des cadeaux extraordinaires, des perles stygiennes, de la nacre et des plumes colorées. Ils parlaient un langage inconnu de tous à la cour, mais il était évident qu'ils souhaitaient échanger leurs babioles contre des terres!;Seltsam aussehende Fremde in exotischen Schiffen kamen heute an Land und ersuchten um Audienz. Sie hatten wundersame Geschenke und Waren bei sich - Obsidianketten, farbenfrohe Federn, Perlen und Goldschmuck. Ihre Sprache war jedem bei Hofe unbekannt, aber es schien so, als wollten sie ihre Spielsachen bei uns gegen Land eintauschen!;Hoy han desembarcado unos forasteros con aspecto extraño y barcos exóticos, solicitando una audiencia.  Llegaron con regalos maravillosos y mercancía – abalorios estígios, perlas y plumas de vivos colores. Hablaban unaAlpha lengua desconocida por todos en la corte, pero ¡parecía que querían tierras a cambio de sus adornos!;;;;;;;;;x
EVTOPTA_SSI_001;I have a bad feeling about this...;J'ai un mauvais pressentiment...;Ich habe ein schlechtes Gefühl bei dieser Sache...;;Tengo un mal presentimiento sobre esto ... ;;;;;;;;;x
EVTNAME_SSI_002;Strangers from Beyond the Sea;Des étrangers d'au-delà des mers;Fremde von jenseits des Meeres;;Extranjeros que vienen de El Otro Lado del Mar ;;;;;;;;;x
EVTDESC_SSI_002;There are rumours of exotic strangers in weird looking ships making landfall all along the Atlantic coast, speaking no known language, trying to buy land in exchange for obsidian beads, colourful feathers and gold. After refusing their offers, local rulers were apparently threatened with terrible curses and the might of a great emperor from beyond the Atlantic Ocean.;Selon des rumeurs, des étrangers exotiques auraient accostés sur toute la côte atlantique à bord de bateaux étranges. Ils parleraient une langue inconnue et essaieraient de se procurer des terres en échange de perles d'obsidienne, de plumes colorés et d'or. Après avoir refusé leurs offres, les chefs locaux ont été menacés de recevoir de terribles malédictions et de subir la puissance d'un grand empereur vivant au-delà des mers.;Es gibt Gerüchte über exotisch anmutende Fremde in seltsamen Schiffen, die an der gesamten Atlantikküste landen. Sie sprechen eine unbekannte Sprache und versuchen, Land gegen Obsidianketten, farbenfrohe Federn, Perlen und Goldschmuck zu tauschen. Lehnten die lokalen Herrscher ihre Forderungen ab, wurde ihnen anscheinend mit furchtbaren Flüchen und dem Zorn eines großen Herrschers von jenseits des atlantischen Ozeans gedroht.;;Hay rumores de que unos forasteros que navegan en extraños barcos han recalado a lo largo de la costa Atlántica. Hablan una lengua desconocida y pretenden comprar tierras a cambio de collares de obsidiana, plumas de colores y oro. Al parecer, después de rechazar su oferta, los gobernantes locales fueron amenazados con terribles maldiciones y el poder de un gran emperador del otro lado del Océano Atlántico.;;;;;;;;;x
EVTOPTA_SSI_002;Hah! A Fantasy Menace.;Ah! Une menace fantaisiste.;Ha! Ein Hirngespinst einer Drohung.;;¡Ajá! Una Amenanza de Fantasía.;;;;;;;;;x
EVTDESC_SSI_003;Thousands of menacing ships have arrived off the shores of [Root.GetName], spilling out numberless hordes of fierce warriors in strange garb. Their ululating battle cries can be heard for miles!;Des milliers de bateaux menaçants sont arrivés sur les côtes de [Root.GetName] et y débarquent d'innombrables hordes de guerriers redoutables vêtus de tenues étranges. On peut entendre leurs cris de guerre de si loin !;Tausende bedrohlicher Schiffe sind an der Küste von [Root.GetName] gelandet und speien zahllose Horden furchteinflößender Krieger in seltsamer Gewandung aus. Ihre heulenden Kampfschreie können meilenweit vernommen werden.;;Miles de barcos amenazantes han llegado a las costas de [Root.GetName], derramando innumerables hordas de guerreros feroces vestidos en extraños ropajes.  Sus ululantes gritos de guerra se escuchan a gran distancia!;;;;;;;;;x
