#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LEDGER_SORT_DELAYED;§GClick to sort using this column§W;§GCliquez pour trier cette colonne§W;§GZum Sortieren nach dieser Spalte hier klicken§W;;§GClic para ordenar usando esta columna§W;;;;;;;;;x
show_true_humility;Showed his true Humility;a prouvé son humilité;Zeigte seine wahre Ergebenheit;;Ha mostrado su auténtica humildad;;;;;;;;;x
shown_true_humility;Likes our Humility;admire notre humilité;Mag unsere Ergebenheit;;Aprecia nuestra humildad;;;;;;;;;x
talent_recognized;Recognizes my talent;reconnaît mon talent;Erkennt mein Talent;;Reconoce mi talento;;;;;;;;;x
slothful_ruler;Slothful Ruler;Dirigeant paresseux;Fauler Herrscher;;Gobernante perezoso;;;;;;;;;x
nick_the_lisp_and_lame;the Lisp and Lame;[This.GetLeLa] Bègue boiteu[This.GetXSe];[This.Getderdie] Lispelnden und Lahme;;el Tartamudo y Cojo;;;;;;;;;x
ANY_WARD_STARTS;Any ward;N'importe quel garde;Jeder Bezirk;;Cualquier sala;;;;;;;;;x
TITLE_CANNOT_USURP_BEFORE;Cannot usurp this title before §Y$DATE$§!;Vous ne pouvez pas usurper ce titre avant le §Y$DATE$§!;Kann sich diesen Titel nicht vor §Y$DATE$§! aneignen;;¡No es posible usurpar este título antes de §Y$DATE$§!;;;;;;;;;x
fair;Attractive;Beauté;Attraktiv;;Atractivo;;;;;;;;;x
c_grassland_cheremisa_adj;Kerzhenetsian;kerjenetsienne;Kerschenezisch;;Kerzhenetsiano;;;;;;;;;x
c_mountain_cheremisa_adj;Cheremisan;tchérémisse;Tscheremissisch;;Cheremisano;;;;;;;;;x
PROV589;Kerzhenets;Kerjenets;Kerschenez;;Kerzhenets;;;;;;;;;x
PROV591;Cheremisa;Tchérémisse;Tscheremiss;;Cheremisa;;;;;;;;;x
black_honor;Breaking Feudal Obligations;Contrevenir aux obligations féodales;Lehensverpflichtungen nicht erfüllen;;Rompiendo las Obligaciones Feudales;;;;;;;;;x
EVTOPTF40020;Expose the assassins employer!;Dévoiler le commanditaire des assassins !;Entlarvt den Auftraggeber des Attentäters!;;¡Exponer al empleador de los asesinos!;;;;;;;;;x
EVTTOOLTIP40026;will be exposed as an employer of assassins.;sera dévoilé en tant que Commanditaire des assassins.;wird als ein Auftraggeber von Attentätern entlarvt werden.;;será expuesto como empleador de asesinos.;;;;;;;;;x
EVTDESC40026;Not only did our assassin get discovered, he also managed to implicate that we were behind it.  Now [From.GetBestName] is showing proofs to everyone in the [Root.PrimaryTitle.GetFullName] that we have broken our feudal contract with a vassal.;Ils ont mis la main sur notre assassin et celui-ci a osé révéler que nous étions derrière tout cela. [From.GetBestName] prouve maintenant aux gens [Root.GetDuDelaDesPrimaryTitleFullName][Root.PrimaryTitle.GetFullName] que nous avons brisé notre contrat féodal avec un vassal.;Nicht nur, dass unser Attentäter entlarvt wurde, er hat es auch noch fertig gebracht, uns mit hineinzuziehen, weil wir hinter dem Ganzen stehen würden. Nun legt [From.GetBestName] vor jedem im [Root.PrimaryTitle.GetFullName] Zeugnis ab, dass wir unseren Lehensvertrag mit einem Vasallen gebrochen hätten.;;No solo ha descubierto a nuestro asesino, sino que ha conseguido averiguar que estábamos detrás de él. Ahora [From.GetBestName] muestra pruebas a todos en [Root.PrimaryTitle.GetFullName] que evidencian que hemos roto nuestro contrato feudal con un vasallo.;;;;;;;;;x
EVTOPTA40026;This is bad news...;Cela ne me dit rien qui vaille...;Das sind schlechte Neuigkeiten ...;;Son malas noticias...;;;;;;;;;x
deceitful_martial;Appearing Martial;Soi-disant brave;Kriegerisch erscheinend;;Aspecto Marcial;;;;;;;;;x
deceitful_stewardship;Faking Stewardship;Intendance fourbe;Verwaltungsfähigkeit vortäuschend;;Fingir actuar en su beneficio;;;;;;;;;x
deceitful_diplomacy;Appearing Diplomatic;Soi-disant diplomatique;Diplomatisch erscheinend;;Aspecto Diplomático;;;;;;;;;x
deceitful_learning;Faking Learning;Apprentissage fourbe;Das Lernen vortäuschend;;Fingir Aprendizaje;;;;;;;;;x
