#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HAS_NOT_LOVER;Does not have a lover;N'a pas d'amant(e);Hat keinen Liebhaber;;No tiene un amante;;;;;;;;;x
HAS_LOVER;Has Lover;A un(e) amant(e);Hat Liebhaber;;Tiene un amante;;;;;;;;;x
FAM_IN_LAWS;Marriage Ties;Liens par mariage;Ehebünde;;Vinculos matrimoniales;;;;;;;;;x
REL_LOVER;Lover;amant(e);Liebhaber;;Amante;;;;;;;;;x
TRIGGER_LOVER;Lover;Amant(e);Liebhaber;;Amante;;;;;;;;;x
BREAK_AFFAIR_EFFECT;$WHO$ breaks up with §Y$SPOUSE$§W.\n;$WHO$ rompt avec §Y$SPOUSE$§W.\n;$WHO$ trennt sich von §Y$SPOUSE$§W.\n;;$WHO$ rompe con §Y$SPOUSE$§W.\n;;;;;;;;;x
ADD_LOVER_EFFECT;$WHO$ falls in love with §Y$SPOUSE$§W.\n;$WHO$ éprouve de l'amour pour §Y$SPOUSE$§W.\n;$WHO$ verliebt sich in §Y$SPOUSE$§W.\n;;$WHO$ se enamora de §Y$SPOUSE$§W.\n;;;;;;;;;x
EVTDESC3315;I wake up screaming in the night. The darkness scares me, and I keep wondering how I will last through this campaign.;Je me réveille en pleine nuit en criant. L'obscurité m'effraie. Je me demande comment je vais supporter cette campagne.;Ich wache des Nächtens schreiend auf. Die Dunkelheit ängstigt mich, und ich frage mich, wie ich diesen Feldzug überstehen soll.;;Me despierto gritando por la noche. La oscuridad me asusta y sigo preguntándome cómo resistiré esta campaña.;;;;;;;;;x
EVTOPTA3315;I think someone heard me;Je crois que quelqu'un a tout entendu.;Ich glaube, jemand hat mich gehört;;Creo que alguien me oyó;;;;;;;;;x
EVTOPTB3315;My soldiers will not respect me.;Je vais perdre le respect de mes soldats.;Meine Soldaten werden mich nicht respektieren.;;Mis soldados no me respetarán.;;;;;;;;;x
EVTDESC60004;The Great Khagan has sent more warriors to aid our conquest!;Le grand Khagan a envoyé des guerriers supplémentaires pour participer à notre conquête !;Der Großkhan hat mehr Krieger für unsere Eroberung geschickt!;;¡El Gran Khan ha enviado más guerreros para apoyar nuestra conquista!;;;;;;;;;x
EVTOPTA40021;I will grant [From.GetObjectPronoun] a claim on the perpetrator's titles.;Je vais lui accorder les titres du coupable.;Ich gewähre Euch einen Anspruch auf die Titel des Täters.;;Le concederé una reclamación sobre los títulos del autor.;;;;;;;;;x
#DECLARE_WAR_INTERACTION_0;Breaking the Truce (ends on §Y$DATE$§!) would cost us §R$PRESTIGE$§! Prestige and lower all [Recipient.Religion.GetGroupName] rulers' opinion of us by §R$OPINION$§!;;Ein Bruch des Waffenstillstands (endet am §Y$DATE$§!) würde uns §R$PRESTIGE$§! Prestige kosten und die Meinung sämtlicher [Recipient.Religion.GetGroupName]-Herrscher über uns um §R$OPINION$§! verringern;;Romper la tregua (acaba el §Y$DATE$§!) nos costaría §R$PRESTIGE$§! de prestigio y una reducción de un §R$OPINION$§! de la opinión sobre nosotros de todos los gobernantes de [Recipient.Religion.GetGroupName].;;;;;;;;;x
SETTLEMENT_YOUNGER_THAN;Holding less than $AGE$ years old.\n;Propriété de moins de $AGE$ ans.\n;Besitztum weniger als $AGE$ Jahre alt.\n;;Población de menos de $AGE$ años.\n;;;;;;;;;x
SETTLEMENT_AT_LEAST;Holding is at least $AGE$ years old.\n;Propriété d'au moins $AGE$ ans.\n;Besitztum mindestens $AGE$ Jahre alt.\n;;Población de al menos $AGE$ años.\n;;;;;;;;;x
AIREASON_IS_GUARDIANS_CHILD;Guardian is the parent of §Y[GetTitledFirstName]§!;Le tuteur est le parent de : §Y[GetTitledFirstName]§!;Vormund ist ein Elternteil von §Y[GetTitledFirstName]§!;;¡El guardián es el padre de §Y[GetTitledFirstName]§!;;;;;;;;;x
RELEASE_FROM_PRISON_INTERACTION_0;Release §Y[Recipient.GetBestName]§! from prison.;Libérez §Y[Recipient.GetBestName]§! de prison.;§Y[Recipient.GetBestName]§! aus dem Kerker freilassen.;;Libera a §Y[Recipient.GetBestName]§!.;;;;;;;;;x
RELEASE_FROM_PRISON_INTERACTION_1;Your vassals will think you merciful, increasing their opinion of you by §G$VAL$§!.;Vos vassaux apprécieront votre clémence et leur opinion à votre égard augmentera de §G$VAL$§!.;Eure Vasallen werden Euch gnädig finden, was ihre Meinung über Euch um §G$VAL$§! erhöht.;;Tus vasallos te consideran compasivo y su opinión sobre ti aumenta un §G$VAL$§!.;;;;;;;;;x
TITLED_NAME_W_NICK;$TITLE$ $NAME$ '$NICK$' of $HOLDING$;$TITLE$ $NAME$ '$NICK$' de $HOLDING$;$TITLE$ $NAME$ "$NICK$" von $HOLDING$;;$TITLE$ $NAME$ '$NICK$' de $HOLDING$;;;;;;;;;x
city_contract_0_desc;The Burghers are expected to provide half their troops for the defense of the realm.;Les bourgeois sont tenus d'affecter une petite partie de leurs troupes à la défense du Royaume.;Die Bürger müssen die Hälfte ihrer Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan la mitad de sus tropas para defender el reino.;;;;;;;;;x
city_contract_1_desc;The Burghers are expected to provide the majority of their troops for the defense of the realm.;Les bourgeois sont tenus d'affecter la moitié de leurs troupes à la défense du Royaume.;Die Bürger müssen einen Großteil ihrer Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan la mayoría de sus tropas para defender el reino.;;;;;;;;;x
city_contract_2_desc;The Burghers are expected to provide almost all their troops for the defense of the realm.;Les bourgeois sont tenus d'affecter la majorité de leurs troupes à la défense du Royaume.;Die Bürger müssen fast alle ihrer Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan casi todas sus tropas para defender el reino.;;;;;;;;;x
city_contract_3_desc;The Burghers are expected to provide all but a tiny part of their troops for the defense of the realm.;Les bourgeois sont tenus d'affecter toutes leurs troupes à la défense du Royaume.;Die Bürger müssen bis auf ein winziges Kontingent ihre sämtlichen Truppen zur Verteidigung des Reichs stellen.;;Se espera que los burgueses ofrezcan todas sus tropas salvo unas pocas para defender el reino.;;;;;;;;;x
obj_become_chancellor_title;Become [This.GetChancellorName];Devenir [This.GetChancellorName];[This.GetChancellorName] werden;;Convertirse en [This.GetChancellorName];;;;;;;;;x
obj_become_marshal_title;Become [This.GetMarshalName];Devenir [This.GetMarshalName];[This.GetMarshalName] werden;;Convertirse en [This.GetMarshalName];;;;;;;;;x
obj_become_treasurer_title;Become [This.GetTreasurerName];Devenir [This.GetTreasurerName];[This.GetTreasurerName] werden;;Convertirse en [This.GetTreasurerName];;;;;;;;;x
obj_become_spymaster_title;Become [This.GetSpymasterName];Devenir [This.GetSpymasterName];[This.GetSpymasterName] werden;;Convertirse en [This.GetSpymasterName];;;;;;;;;x
obj_become_spiritual_title;Become [This.GetLordSpiritualName];Devenir [This.GetLordSpiritualName];[This.GetLordSpiritualName] werden;;Convertirse en [This.GetLordSpiritualName];;;;;;;;;x
awesome_charge_tactic;Powerful Charge Tactic;Puissante charge;Mächtige Sturmtaktik;;Táctica de carga poderosa;;;;;;;;;x
awesomer_charge_tactic;Overwhelming Charge Tactic;Charge écrasante;Überwältigende Sturmtaktik;;Táctica de carga abrumadora;;;;;;;;;x
romanian;Vlach;valaque;Walachisch;;Valaco;;;;;;;;;x
#ca_keep_5;Great Keep;;Riesiger wehrhafter Wohnturm;;Bastión grande;;;;;;;;;x
#ca_keep_6;Epic Keep;;Epischer wehrhafter Wohnturm;;Bastión colosal;;;;;;;;;x
#ca_training_grounds_2;Large Training Grounds;;Große Übungsplätze;;Campo de entrenamiento grande;;;;;;;;;x
#ca_barracks_1;Guard Quarters;;Wachquartiere;;Cuarteles de la guardia;;;;;;;;;x
#ca_barracks_2;Small Barracks;;Kleine Kaserne;;Cuartel pequeño;;;;;;;;;x
#ca_barracks_3;Medium Barracks;;Mittlere Kaserne;;Cuartel mediano;;;;;;;;;x
#ca_barracks_4;Large Barracks;;Große Kaserne;;Cuartel grande;;;;;;;;;x
#ca_barracks_5;Great Barracks;;Riesige Kaserne;;Cuartel grande;;;;;;;;;x
#ca_barracks_6;Royal Barracks;;Königliche Kaserne;;Cuartel real;;;;;;;;;x
#ca_stable_1;Small Stable;;Kleiner Stall;;Establo pequeño;;;;;;;;;x
#ca_stable_2;Medium Stable;;Mittlerer Stall;;Establo mediano;;;;;;;;;x
#ca_stable_3;Large Stable;;Großer Stall;;Establo grande;;;;;;;;;x
