#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NAME_W_NICK;$TITLE$ $NAME$ '$NICK$';$TITLE$ $NAME$ '$NICK$';$TITLE$ $NAME$ "$NICK$";;$TITLE$ $NAME$ '$NICK$';;;;;;;;;x
#VASSAL_RETRACTION_SETUP;A Vassal has been retracted;;Ein Vasall wurde zurückgenommen;;Un vasallo ha sido desafectado;;;;;;;;;x
VASSAL_RETRACTION_LOG;$TOP_LIEGE$ has retracted the vassalage of $VASSAL$ from $OLD_LIEGE$;$TOP_LIEGE$ a soustrait $VASSAL$ de la vassalité de $OLD_LIEGE$;$TOP_LIEGE$ hat $VASSAL$s Vasallentum von $OLD_LIEGE$ zurückgenommen.;;$TOP_LIEGE$;;;;;;;;;x
opinion_retracted_my_vassal;Retracted my Vassal;M'a soustrait un vassal ;Meinen Vasallen zurückgenommen;;Desafectó a mi vasallo;;;;;;;;;x
opinion_retracted_my_de_jure_vassal;Retracted my de jure Vassal;M'a soustrait un vassal de jure ;Meinen De-jure-Vasallen zurückgenommen;;Desafectó mi vasallo de jure;;;;;;;;;x
opinion_retracted_a_vassal;Retracted a Vassal;Vassal soustrait ;Einen Vasallen zurückgenommen;;Desafectó un vasallo;;;;;;;;;x
opinion_retracted_a_de_jure_vassal;Retracted a de jure Vassal;Vassal de jure soustrait ;Einen De-jure-Vasallen zurückgenommen;;Desafectó un vasallo de jure;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_TITLE;Retract Vassalage;Soustraire un vassal;Vasallentum zurücknehmen;;Desafecta un vasallaje;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_DESC;Retract a vassal from §Y[Recipient.GetBestName]§!.;Soustraire un vassal de §Y[Recipient.GetBestName]§!.;Einen Vasallen von §Y[Recipient.GetBestName]§! zurücknehmen.;;Desafecta un vasallo de §Y[Recipient.GetBestName]§!.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_LONG_DESC;You can retract a vassal from one of your direct vassals. They will not be happy about this, especially if it is their de jure vassal.;Vous pouvez soustraire un vassal de l'un de vos vassaux directs. Un acte qui leur déplaira, plus particulièrement s'il s'agit d'un de leur vassaux de jure.;Du kannst einen Vasallen von einem deiner direkten Vasallen zurücknehmen. Er wird darüber nicht erfreut sein, besonders nicht, wenn es sich um einen De-jure-Vasallen handelt.;;Puedes desafectar un vasallo de uno de tus vasallos directos. No les gustará nada, especialmente si es su vasallo de jure.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_0;Select a vassal to retract from §Y[Recipient.GetTitledFirstName]§W.;Sélectionnez un vassal à soustraire à §Y[Recipient.GetTitledFirstName]§W.;Wähle einen Vasallen von §Y[Recipient.GetTitledFirstName]§W aus, um ihn zurückzunehmen.;;Selecciona un vasallo a desafectar de §Y[Recipient.GetTitledFirstName]§W.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_1;Make §Y[ThirdPartyCharacter.GetBestName]§W your direct vassal, decreasing §Y[Recipient.GetTitledFirstName]§W's opinion of you by §R$OPINION$§W.;Faire de §Y[ThirdPartyCharacter.GetBestName]§W votre vassal direct, réduisant de §R$OPINION$§W l'opinion que §Y[Recipient.GetTitledFirstName]§W a de vous.;Mache §Y[ThirdPartyCharacter.GetBestName]§W zu deinem direkten Vasallen und vermindere §Y[Recipient.GetTitledFirstName]'s§W Meinung von dir um §R$OPINION$§W.;;Hacer de §Y[ThirdPartyCharacter.GetBestName]§W tu vasallo directamente, rebajando la opinión que §Y[Recipient.GetTitledFirstName]§W tiene de ti en §R$OPINION$§W.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2;Thanks to the crown authority in the §Y$CROWN_TITLE$§!, our vassals cannot object.;Grâce au niveau d'autorité de la couronne en §Y$CROWN_TITLE$§!, nos vassaux ne peuvent y objecter.;Dank der Kronautorität in den §Y$CROWN_TITLE$§! können unsere Vasallen keinen Widerspruch einlegen.;;Gracias a la autoridad real en el §Y$CROWN_TITLE$§!, nuestros vasallos no podrán oponerse.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2B;Since §Y[Recipient.GetTitledFirstName]§! is a traitor, our vassals will not object.;Puisque §Y[Recipient.GetTitledFirstName]§! est coupable de trahison, nos vassaux ne s'opposeront pas à cette décision.;Da §Y[Recipient.GetTitledFirstName]§! ein Verräter ist, werden unsere Vasallen nicht widersprechen.;;Como §Y[Recipient.GetTitledFirstName]§! es un traidor, nuestros vasallos no se opondrán.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2C;Since §Y[Recipient.GetTitledFirstName]§! is an infidel, only §Y[Recipient.Religion.GetName]§! vassals will object (§R$OPINION$§!).;Puisque §Y[Recipient.GetTitledFirstName]§! est un infidèle, seuls les vassaux de religion §Y[Recipient.Religion.GetName]§! s'y opposeront (§R$OPINION$§!).;Da §Y[Recipient.GetTitledFirstName]§! ungläubig ist, werden nur Vasallen, die Anhänger des §Y[Recipient.Religion.GetName]en§! Glaubens sind, Einspruch erheben (§R$OPINION$§!).;;Como §Y[Recipient.GetTitledFirstName]§! es un fiel §Y[Recipient.Religion.GetName]§!, nuestros vasallos no se opondrán.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2D;This is a breach of the feudal contract and will upset your other vassals (§R$OPINION$§!).;Cet acte constitue une violation du contrat féodal, ce qui ne manquera pas de froisser vos autres vassaux (§R$OPINION$§!).;Dies ist ein Bruch des Feudalvertrages und wird deine anderen Vasallen beunruhigen (§R$OPINION$§!).;;Esta es una ruptura del contrato feudal y enfadará a nuestros vasallos (§R$OPINION$§!).;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2N;This is a breach of the feudal contract and will upset your other non-Nomadic vassals (§R$OPINION$§!).;Cet acte constitue une violation du contrat féodal, ce qui ne manquera pas de froisser vos autres vassaux non-nomades (§R$OPINION$§!).;Dies ist ein Bruch des Feudalvertrages und wird deine anderen nicht nomadischen Vasallen beunruhigen (§R$OPINION$§!).;;Esta es una ruptura del contrato feudal y enfadará a nuestros vasallos no nómadas (§R$OPINION$§!).;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2E;Our Imperial administration allows us to retract vassals without objections from the aristocracy.;Notre administration impériale nous autorise à soustraire des vassaux sans pénalité.;Unsere imperiale Administration erlaubt uns, Vasallen zurückzunehmen, ohne dass der Adel widerspricht.;;Nuestra administración imperial nos permite desafectar vasallos sin objeciones de la aristocracia.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_ACCEPT_SETUP;Vassal Retracted;Vassal soustrait;Vasall zurückgenommen;;Vasallo desafectado;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W has transferred the vassalage of §Y[ThirdPartyCharacter.GetBestName]§W from §Y[Recipient.GetBestName]§W;§Y[Actor.GetBestName]§W a soustrait le vasselage de §Y[ThirdPartyCharacter.GetBestName]§W à §Y[Recipient.GetBestName]§W;§Y[Actor.GetBestName]§W hat das Vasallentum von §Y[ThirdPartyCharacter.GetBestName]§W von §Y[Recipient.GetBestName]§W zurückgenommen.;;§Y[Actor.GetBestName]§W ha transferido el vasallaje de §Y[Recipient.GetBestName]§W sobre §Y[ThirdPartyCharacter.GetBestName]§W;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_LETTER;We have decided to retract the vassalage of [ThirdPartyCharacter.GetBestName]. Failure to accept will lead to war.;Nous avons décidé de soustraire de votre vassalité [ThirdPartyCharacter.GetBestName]. Un refus mènera à la guerre.;Wir haben entschieden, das Vasallentum von [ThirdPartyCharacter.GetBestName] zurückzunehmen. Ablehnung wird zu Krieg führen.;;Hemos decidido desafectar el vasallaje de [ThirdPartyCharacter.GetBestName]. Negarse a aceptarlo nos llevará a la guerra.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_DECLINE_SETUP;Vassal Retraction Refused;Retrait du vassal refusé;Vasallenrücknahme abgelehnt;;Desafección de un vasallo rechazada;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W refused the retraction of the vassal §Y[ThirdPartyCharacter.GetBestName]§W, demanded by §Y[Actor.GetBestName]§W;§Y[Recipient.GetBestName]§W a refusé de se voir soustrait le vassal §Y[ThirdPartyCharacter.GetBestName]§W, comme l'a exigé §Y[Actor.GetBestName]§W;§Y[Recipient.GetBestName]§W hat die Rücknahme des Vasallen §Y[ThirdPartyCharacter.GetBestName]§W, gefordert von §Y[Actor.GetBestName]§W, abgelehnt.;;§Y[Recipient.GetBestName]§W ha rechazado la desafección de su vasallo §Y[ThirdPartyCharacter.GetBestName]§W, demandada por §Y[Actor.GetBestName]§W;;;;;;;;;x
EVTDESC274;My liege, I accept your decision to retract my vassal, [Root.GetBestName], though it grieves me deeply.;M[Root.GetOnA] [Root.GetLordLady], \nJ'accepte votre décision de me soustraire mon vassal, [Root.GetBestName], bien que cela me peine énormément.;Mein Lehnsherr, ich akzeptiere Eure Entscheidung, meinen Vasallen, [Root.GetBestName], zurückzunehmen, auch wenn sie mich tief betrübt.;;Mi Señor, acepto la decisión de desafectar mi vasallo, [Root.GetBestName], aunque me apena tremendamente.;;;;;;;;;x
EVTDESC275;Your breach of the feudal contract is unacceptable, I will not give up my vassals without a fight!;Cette violation du droit féodal est inacceptable, je n'abandonnerai pas mon vassal sans combattre !;Euer Bruch des feudalen Vertrages ist inakzeptabel, ich werde meinen Vasallen nicht ohne Kampf aufgeben!;;Tu ruptura del contrato feudal es inaceprable, ¡No entregaré ninguno de mis vasallos si no es a por medio de las armas!;;;;;;;;;x
CANNOT_DESTROY_GAVELKIND_TITLE;Cannot destroy titles under Gavelkind succession;Les titres ne peuvent être détruits si vous êtes soumis au partage salique.;Kann unter Erbteilungs-Nachfolge keine Titel vernichten;;No puedes destruir títulos bajo la ley de sucesión por división;;;;;;;;;x
INTERACTION_REQUIRES_PIETY;§Y[Actor.GetTitledFirstName]§! can afford to lose §Y$COST$§W [Player.Religion.GetPietyName];§Y[Actor.GetTitledFirstName]§! dispose d'assez de [Player.Religion.GetPietyName] pour en perdre §Y$COST$§W;§Y[Actor.GetTitledFirstName]§! kann es sich leisten, §Y$COST$§W [Player.Religion.GetPietyName] zu verlieren;;§Y[Actor.GetTitledFirstName]§! no puede permitirse la perdida de §Y$COST$§W [Player.Religion.GetPietyName];;;;;;;;;x
INTERACTION_REQUIRES_MONEY;§Y[Actor.GetTitledFirstName]§! can pay §Y$COST$§W¤;§Y[Actor.GetTitledFirstName]§! peut débourser la somme de §Y$COST$§W¤;§Y[Actor.GetTitledFirstName]§! kann §Y$COST$§W¤ zahlen;;§Y[Actor.GetTitledFirstName]§! no puede pagar §Y$COST$§W¤;;;;;;;;;x
INTERACTION_REQUIRES_PRESTIGE;§Y[Actor.GetTitledFirstName]§! can afford to lose §Y$COST$§W Prestige;§Y[Actor.GetTitledFirstName]§! dispose d'assez de prestige pour en perdre §Y$COST$§W;§Y[Actor.GetTitledFirstName]§! kann es sich leisten, §Y$COST$§W Prestige zu verlieren;;§Y[Actor.GetTitledFirstName]§! puede permitirse la perdida de §Y$COST$§W prestigio;;;;;;;;;x
CelticUnitPackDLC;Celtic Unit Pack;Pack d'unités celtiques;Celtic Unit Pack;;Pack de Unidades Celtas;;;;;;;;;x
CelticPortraitsDLC;Celtic Portraits;Portraits celtiques;Celtic Portraits;;Perfiles Celtas;;;;;;;;;x
broken_spirit;Broken Spirit;Esprit brisé ;Gebrochener Geist;;Espíritu Solitario;;;;;;;;;x
opinion_subjugated_other_rel;Subjugated;Assujettissement;Unterworfen;;Subyugado;;;;;;;;;x
d_meath_adj_irish;Taran;taran;Taranisch;;Taran;;;;;;;;;x
d_ghanan_band;Ghanan Band;Bande armée ghanéenne;Bande von Ghana;;Banda Ghanesa;;;;;;;;;x
d_ghanan_band_adj;Ghanan;ghanéenne;Ghanaisch;;Ghanesa;;;;;;;;;x
AIREASON_CONSORT_CLAIMANT;Is Claimant;Est un prétendant;Ist Anspruchssteller;;Es un pretendiente;;;;;;;;;x
#RULER_HAS_BECOME_KING_AMBITION;With the ambition to become king of §Y[PrimaryTitle.GetName]§!, §Y[GetTitovledFirstName]§! is not allowed to move the capital outside the de jure kingdom.;;Mit der Ambition, König von §Y[PrimaryTitle.GetName]§! zu werden, darf §Y[GetTitledFirstName]§! die Hauptstadt nicht außerhalb des De-jure-Königreichs verlegen.;;Con la ambición de convertirse en Rey de §Y[PrimaryTitle.GetName]§!, a §Y[GetTitledFirstName]§! no se le permite mover su capital fuera del Reino de jure.;;;;;;;;;x
hellenic_pagan;Hellenic;hellénique;Hellenisch;;Helenística;;;;;;;;;x
hellenic_pagan_DESC;The Hellenistic religion is polytheistic, with a pantheon of twelve major gods including Jupiter, Mars, Mercury, Venus, Minerva and Vesta. It originated in ancient Greece and with the conquests of Alexander the Great and the Roman Empire, it would go on to become the dominant religion in the Mediterranean world until the rise of Christendom.;La religion hellénique est polythéiste, avec un panthéon de douze dieux majeurs dont Jupiter, Mars, Mercure, Venus, Minerve et Vesta. Elle puise ses origines dans la Grèce antique et, grâce aux conquêtes d'Alexandre le Grand et l'Empire romain, elle a pu devenir la religion dominante en Méditerrannée jusqu'à l'avènement du Christianisme.;Die hellenische Religion ist polytheistisch mit einem Pantheon von zwölf Hauptgöttern, zu welchem Jupiter, Mars, Merkur, Venus, Minerva und Vesta gehören. Sie entstammt dem alten Griechenland und wurde durch die Eroberungen Alexander des Großen und des Römischen Reiches zur Hauptreligion im Mittelmeerraum, bis zum Aufkommen des Christentums.;;La religión helenística es politeista, con un panteón de doce Dioses mayores incluyendo Júpiter, Marte, Mercurio, Venus, Minerva y Vesta. Se originó en la antigua Grecia y, con las conquistas de Alejandro Magno y el Imperio Romano, se convirtió en la religión predominante en el Mediterráneo hasta el auge del Cristianismo.;;;;;;;;;x
GOD_JUPITER;Jupiter;Jupiter;Jupiter;;Júpiter;;;;;;;;;x
GOD_MERCURY;Mercury;Mercure;Merkur;;Mercurio;;;;;;;;;x
GOD_MARS;Mars;Mars;Mars;;Marte;;;;;;;;;x
GOD_VENUS;Venus;Venus;Venus;;Venus;;;;;;;;;x
GOD_MINERVA;Minerva;Minerve;Minerva;;Minerva;;;;;;;;;x
GOD_VESTA;Vesta;Vesta;Vesta;;Vesta;;;;;;;;;x
pagan_DESC;Since the dawn of history, both Europe and the Middle East has been home to countless Pagan religions and cults unrelated to the Abrahamic faiths.;Depuis l'aube de l'Histoire, tant l'Europe que le Moyen-orient on été le foyer d'innombrables religions païennes et cultes détachés des fois abrahamiques.;Seit dem Beginn der Geschichte waren sowohl Europa als auch der Nahe Osten Heimat unzähliger heidnischer Religionen und Kulte, die nicht zum abrahamitischen Glauben zählten.;;Desde el comienzo de los tiempos, tanto Europa como Oriente Medio han sido el hogar de incontables religiones paganas y de cultos no relacionados con las religiones abrahámicas.;;;;;;;;;x
d_aztec_reformed;The Aztec Church;Eglise aztèque;Die aztekische Kirche;;La Iglesia Azteca;;;;;;;;;x
job_spiritual_hellenic_pagan;Diviner;Devin;Augur;;Augur;;;;;;;;;x
job_spiritual_pagan;Diviner;Devin;Augur;;Augur;;;;;;;;;x
#pagan_subjugation_desc;Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become King' ambition, there is no such time limit against targets within the kingdom.) Free men are always willing to follow the mightiest ruler...;;Heiden dürfen einmal im Leben andere heidnische Anführer unterwerfen. (Mit der "König werden"-Ambition gibt es kein solches Zeitlimit gegen Gegner innerhalb des Königreiches.) Freie Männer sind immer willens, dem stärksten Herrscher zu folgen...;;Los paganos pueden subyugar a otros gobernantes paganos durante su vida. (Con la ambición 'Convertirse en Rey' no hay existe un plazo contra los objetivos dentro de los territorios de ese Reino.) Los hombres libres siempre estarán dispuestos a seguir al gobernante más poderoso...;;;;;;;;;x
