#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INTERACTION_RELIGION_MUST_MARRY_REGULARLY;$RELIGION$ characters cannot marry Matrilineally;Les adeptes de la religion $RELIGION$ ne peuvent pas contracter de mariage matrilinéaire;$RELIGION$e Charaktere können nicht matrilinear heiraten;;Los personajes de religión $RELIGION$ no pueden casarse matrilinealmente;;;;;;;;;x
INTERACTION_CANNOT_GRANT_CAPITAL_IF_MOVED;Cannot give away the capital county after moving the capital;Impossible d'octroyer le comté accueillant votre capitale après le déplacement de celle-ci;Ihr könnt Eure Hauptstadt nicht abtreten, nachdem Ihr sie schon einmal verlegt habt.;;No puedes entregar el condado principal al trasladar la capital;;;;;;;;;x
INTERACTION_REVOKE_BEFORE_DATE;Cannot revoke this granted title before §Y$DATE$§!;Impossible de révoquer ce titre octroyé avant le §Y$DATE$§!;Ihr könnt diesen Titel nicht vor §Y$DATE$§! entziehen!;;No puedes revocar este título hasta §Y$DATE$§!;;;;;;;;;x
AIREASON_FIGHTING_FOR_THE_CHURCH;Fighting for the Church;Combat pour l'Église;Kämpft für die Kirche;;Luchando por la Iglesia;;;;;;;;;x
IS_NOT_MATRI_MARRIED;Is NOT matrilineally married;N'a pas de mariage matrilinéaire;Ist NICHT matrilinear verheiratet;;NO está casado matrilinealmente;;;;;;;;;x
IS_MATRI_MARRIED;Is matrilineally married;A un mariage matrilinéaire;Ist matrilinear verheiratet;;Está casado matrilinealmente;;;;;;;;;x
IS_RECENT_GRANT;Was recently granted;A été récemment octroyé;Vor kurzem gewährt;;Fue entregado recientemente;;;;;;;;;x
IS_NOT_RECENT_GRANT;Was NOT recently granted;N'a pas été récemment octroyé;NICHT vor kurzem gewährt;;NO fue entregado recientemente;;;;;;;;;x
AIREASON_AI_FLAG_REFUSE_CONVERSION;True believer;Véritable croyant;Wahrer Gläubiger;;Fiel creyente;;;;;;;;;x
INTERACTION_GRANT_THEOCRACY_LIMITS;Cannot give theocracies more than one duchy or kingdom;Impossible de donner aux théocraties plus d'un duché ou royaume;Ihr könnt nicht mehr als ein Herzogtum oder Königreich an Theokratien vergeben;;No puedes dar a las teocracias más de un ducado o reino;;;;;;;;;x
deposed_antipope;Deposed an Antipope;A déposé un antipape;Hat einen Gegenpapst entthront;;Depuso a un Antipapa;;;;;;;;;x
opinion_deposed_antipope;Deposed an Antipope;A déposé un antipape;Hat einen Gegenpapst entthront;;Depuso a un Antipapa;;;;;;;;;x
depose_antipope_desc;This Casus Belli can be used to depose an antipope in another realm.;Ce casus belli peut être utilisé pour déposer l'antipape d'un autre pays.;Mit diesem Casus Belli könnt Ihr einen Gegenpapst in einem anderen Reich absetzen;;Este casus belli puede usarse para deponer a un Antipapa en otro reino.;;;;;;;;;x
CB_NAME_DEPOSE_ANTIPOPE;Depose Antipope;Déposer l'antipape;Gegenpapst entthronen;;Deponer Antipapa;;;;;;;;;x
WAR_NAME_DEPOSE_ANTIPOPE;$FIRST_ADJ$-$SECOND_ADJ$ Antipapal War;Guerre $FIRST_ADJ$ de déposition de l'antipapauté $SECOND_ADJ$;$FIRST_ADJ$-$SECOND_ADJ$er Gegenpapst-Krieg;;Guerra Antipapal $FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x
CB_NAME_INSTALL_ANTIKING;Install Antiking;Installer l'antiroi;Gegenkönig einsetzen;;Instalar Antirrey;;;;;;;;;x
WAR_NAME_INSTALL_ANTIKING;$FIRST_ADJ$-$SECOND_ADJ$ Antiking War;Guerre de l'antiroyauté $FIRST_ADJ$ pour le trône de $SECOND$;$FIRST_ADJ$-$SECOND_ADJ$er Gegenkönig-Krieg;;Guerra Antirreal $FIRST_ADJ$-$SECOND_ADJ$;;;;;;;;;x
ANTIPOPE_RECENTLY_DEPOSED;§RAn antipope was recently forcibly deposed§!;§RUn antipape a été récemment déposé par la force§!;§REin Gegenpapst wurde erst kürzlich abgesetzt§!;;§RUn Antipapa fue depuesto recientemente por la fuerza de las armas§!;;;;;;;;;x
ANTIPOPE_CREATION_WRONG_RELIGION;§RIs not $RELIGION$§!;§RN'est pas de foi $RELIGION$§!;§RIst nicht $RELIGION$§!;;§RNo es de religión $RELIGION$§!;;;;;;;;;x
faction_antiking_short;Antiking [From.GetFirstName];[From.GetFirstName] antiroi;Gegenkönig [From.GetFirstName];;Antirrey [From.GetFirstName];;;;;;;;;x
faction_antiking_title;Antiking [From.GetFirstName] for [This.GetName];[From.GetFirstName] antiroi pour le trône de [This.GetName];Gegenkönig [From.GetFirstName] für [This.GetName] ;;Antirrey [From.GetFirstName] en [This.GetName];;;;;;;;;x
faction_antiking_desc;Members seek to restore Papal authority in [This.GetName] by installing §Y[From.GetBestName]§! on the throne, deposing any antipope and passing the Papal Investiture law.;Les membres de cette faction cherchent à restaurer l'autorité pontificale en [This.GetName] en installant §Y[From.GetBestName]§! sur le trône, en déposant tout antipape et en proclamant la loi d'investiture pontificale des évêques.;Mitglieder wollen die Autorität des Papsts in [This.GetName] wiederherstellen, §Y[From.GetBestName]§! auf den Thron setzen, den Gegenpapst entthronen und die päpstliche Investitur erzwingen.;;Sus miembros desean restaurar la autoridad pontificia en [This.GetName] instalando a §Y[From.GetBestName]§! en el trono, deponiendo al Antipapa y pasando la ley de Investidura Pontifica.;;;;;;;;;x
faction_antiking_ultimatum;Demand the Throne;Demander le trône;Den Thron fordern;;Demand the Throne;;;;;;;;;x
faction_antiking_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the throne, the overthrow of antipopes and the institution of Papal Investiture. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présenter un ultimatum à §Y[Root.Liege.GetBestName]§! demandant le trône. [Root.Liege.GetSilSielleCap] accepte, cela renversera également les antipapes et établira une investiture pontificale des évêques.\n[Root.Liege.GetSilSielleCap] refuse de s'y soumettre, notre faction se soulèvera.;Ein Ultimatum an §Y[Root.Liege.GetBestName]§! stellen, in dem wir den Thron, die Absetzung des Gegenpapstes und die Einführung der päpstlichen Investitur verlangen. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Presentar un ultimatum a §Y[Root.Liege.GetBestName]§!, demandándole el trono, la deposición del Antipapa y la institución de la Investidura Pontificia. Si rechaza aceptar estos términos, tu facción se levantará contra [Root.Liege.GetSubjectPronoun];;;;;;;;;x
EVTDESC8200;Your shameful backing of a false Pope must end now. The Holy Father has agreed that the throne of [Root.PrimaryTitle.GetName] should pass to me so that the realm can be brought back into the true [From.Religion.GetName] fold. Submit to this demand peacefully or face the consequences. The righteous stand behind me!\n\nSigned,\n[From.GetTitledName];Votre soutien honteux au faux pape doit prendre fin immédiatement.\nLe Saint-Père a reconnu que le trône de [Root.PrimaryTitle.GetName] doit nous être remis afin que le royaume puisse être ramené à sa véritable bergerie [From.Religion.GetName].\nSoumettez-vous paisiblement ou vous en subirez les conséquences. Les vertueux me suivent !\n\nAvec le soutien papal,\n[From.GetTitledName];Eure schändliche Unterstützung für den falschen Papst muss aufhören. Der Heilige Vater hat entschieden, dass der Thron von [Root.PrimaryTitle.GetName] an mich gehen muss, damit das Reich zur wahren Religion des [From.Religion.GetName]en Glaubens zurückgeführt werden kann. Akzeptiert diese Forderung oder spürt die Konsequenzen. Gott ist mit uns!\n\nGezeichnet,\n[From.GetTitledName];;Tu lamentable apoyo a un falso Papa debe terminar inmediatamente. El Santo Padre acordó que el trono de [Root.PrimaryTitle.GetName] debe ser mio para que el Reino pueda volver a la única y verdadera senda [From.Religion.GetName]. Acepta pacificamente esta propuesta o atente a las consecuencias. ¡Los justos están conmigo!\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTDESC8201;Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to relinquish the throne to me. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];Plutôt que de laisser le fléau de la guerre civile déchirer son pays, [From.GetTitledName] a accepté de renoncer au trône à mon profit.\nLe précieux soutient que vous nous avez apporté durant ce conflit ne sera pas oublié.\n\nSincèrement,\n[FromFrom.GetTitledName];Um zu verhindern, dass ein Bürgerkrieg das Reich zerreißt, hat [From.GetTitledName] beschlossen, mir den Thron zu überlassen. Ich werde Eure wertvolle Unterstützung in diesem Konflikt nicht vergessen.\n\nHochachtungsvoll\n[FromFrom.GetTitledName];;No queriendo llevar al Reino a una sangrienta Guerra Civil, [From.GetTitledName] ha aceptado entregarme la corona. Tu valioso apoyo en este conflicto no será olvidado.\n\nAtentamente,\n[FromFrom.GetTitledName];;;;;;;;;x
EVTDESC8202;Under pressure from the papally sanctioned Antiking Faction, [From.GetTitledName] has agreed to relinquish the throne.;Sous la pression de la faction de l'antiroi soutenue par le Pape, [From.GetTitledName] a accepté de renoncer à son trône.;Unter dem Druck der Antikönigsfraktion, welche die Unterstützung des Papstes genießt, hat [From.GetTitledName] entschieden, seinen Thron aufzugeben.;;Bajo la presión de la facción antirreal apoyada por el Papa, [From.GetTitledName] ha acordado abdicar al trono.;;;;;;;;;x
EVTDESC8203;Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and relinquish the throne. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName];Plutôt que de prendre le risque d'une guerre civile déchirant mon pays, j'ai décidé d'accéder à votre demande en renonçant à mon trône.\nSoyez cependant sûr que ce traître chantage ne sera pas oublié...\n\nVotre désormais vassal[From.GetNoneE],\n[From.GetTitledName];Um zu verhindern, dass ein Bürgerkrieg das Reich zerreißt, habe ich beschlossen, Eure Forderung zu akzeptieren und meinen Thron aufzugeben. Aber ich werde Eure Erpressung nicht vergessen...\n\nHochachtungsvoll\n[From.GetTitledName];;No queriendo arriesgar que el Reino se resquebraje en una Guerra Civil, he decidido aceptar tu demanda y ceder mi corona. Pero este vil acto de chantaje no será olvidado...\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
REL_HEAD_ALLY_CB;Religious Head War Ally;Allié au chef religieux;Verbündeter des im Krieg befindlichen Religionsoberhauptes;;Cabeza Religiosa aliada en guerra;;;;;;;;;x
ANTIPOPE_CREATOR_MUST_BE_INDEPENDENT;§RYou must be independent to create an antipope§!;§RVous devez être indépendant pour pouvoir nommer un antipape§!;§RIhr müsst unabhängig sein, um einen Gegenpapst zu ernennen§!;;§RDebes ser independiente para crear un Antipapa§!;;;;;;;;;x
ca_culture_jewish_1;Jewish Heavy Infantry Barracks;Camp d'infanterie lourde juive;Übungsplatz für jüdische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_2;Jewish Heavy Infantry Barracks;Camp d'infanterie lourde juive;Übungsplatz für jüdische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_3;Jewish Heavy Infantry Barracks;Camp d'infanterie lourde juive;Übungsplatz für jüdische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_4;Jewish Heavy Infantry Barracks;Camp d'infanterie lourde juive;Übungsplatz für jüdische Schwere Infanterie;;Barracas de Infantería Pesada judia;;;;;;;;;x
ca_culture_jewish_1_desc;This is where the elite infantry serving a Jewish ruler is trained. Special care is taken to equip the soldiers with the finest heavy armor that money can buy. This, combined with rigorous training and iron discipline, makes them an elite force to be truly feared.;C'est dans ces bâtiments que l'infanterie d'élite au service d'un seigneur juif peut s'entraîner.\nUne attention spéciale est donnée pour équiper les soldats avec les meilleures armures lourdes qui puissent être fabriquées. Cela, combiné avec un entraînement rigoureux et une discipline de fer, fait de ces soldats une terrifiante force de frappe.;Hier übt die Elite-Infanterie der jüdischen Herrscher. Besonderer Aufwand wird betrieben, um die Soldaten mit den besten und teuersten schweren Rüstungen auszustatten. Kombiniert mit rigorosem Training und eiserner Disziplin werden diese Soldaten zu einer gefürchteten Elitetruppe.;;Aquí es donde se entrena la infantería de élite que sirve a los señores judios. Se pone especial atención en equipar a los soldados con la mejor armadura que el dinero pueda comprar. Combinado esto con el entrenamiento riguroso y la disciplina férrea, hacen que estas fuerzas de élite sean realmente temidas.;;;;;;;;;x
RETTYPE_CUL_JEWISH;Bar Kochba Guards;Garde de Bar Kochba;Garde Bar Kochba;;Guardias Bar Kochba;;;;;;;;;x
narrow_flank_leader;Battlefield Terrain Master;Maître des champs de bataille;Meister im Geländekampf;;Maestro del Terreno del Campo de Batalla;;;;;;;;;x
narrow_flank_leader_desc;This character has mastered the craft of finding the perfect terrain for defensive battles.;Ce personnage maîtrise l'art de trouver une position parfaite lors des manœuvres de batailles défensives.;Dieser Charakter ist ein Meister im Geländekampf und kann oft das geeignete Terrain für eine defensive Schlacht finden.;;Este personaje se ha especializado en el arte de encontrar el terreno perfecto para las batallas defensivas.;;;;;;;;;x
NARROW_FLANK;Narrow Flank;Front étroit;Enge Flanke;;Flanco angosto;;;;;;;;;x
TITLE_CANNOT_USURP_COUNTIES;Not possible to Usurp County Rank Titles!;Impossible d'usurper des titres de rang comtal.;Titel von Grafschaften können nicht übernommen werden!;;¡No es posible usurpar condados!;;;;;;;;;x
EVTOPTC65155;What have I become? No more steak for me.;Que suis-je devenu ? C'est décidé, j'arrête de me goinfrer !;Was ist aus mir geworden? Kein Schnitzel mehr für mich.;;¿En qué me he convertido? Ni un solomillo más para mí.;;;;;;;;;x
