#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zurzeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x
CAN_ONLY_JOIN_X_FACTIONS;§ROnly allowed to join §Y$NUM$§! Factions!§!;§RVous ne pouvez rejoindre que §Y$NUM$§! Factions !§!;Ihr dürft nur §Y$NUM$§! Fraktionen beitreten!;;¡Solo puedes unirte a §Y$NUM$§! Facciones!;;;;;;;;;x
INTERACTION_REQUIRES_NO_ACTOR_TEMPORARY_TITLE;§Y[Actor.GetTitledFirstName]§! must not currently hold a Temporary title;§Y[Actor.GetTitledFirstName]§! ne doit pas détenir de titre temporaire;§Y[Actor.GetTitledFirstName]§! darf keinen temporären Titel besitzen.;;§Y[Actor.GetTitledFirstName]§! no debe ostentar ningún título temporal;;;;;;;;;x
INTERACTION_REQUIRES_NO_RECIPIENT_TEMPORARY_TITLE;§Y[Recipient.GetTitledFirstName]§! must not currently hold a Temporary title;§Y[Recipient.GetTitledFirstName]§! ne doit pas détenir de titre temporaire;§Y[Recipient.GetTitledFirstName]§! darf keinen temporären Titel besitzen.;;§Y[Recipient.GetTitledFirstName]§! no debe ostentar ningún título temporal;;;;;;;;;x
REBEL_TITLE;[Recipient.PrimaryTitle.GetAdjective] Revolt;Révolte [Recipient.PrimaryTitle.GetAdjective];[Recipient.PrimaryTitle.GetAdjective]e Revolte;;Revuelta [Recipient.PrimaryTitle.GetAdjective];;;;;;;;;x
opinion_rebel_leader;Leader of the Rebellion;Chef des rebelles;Anführer der Rebellion;;Líder de la Rebelión;;;;;;;;;x
opinion_fellow_rebel;Fellow Rebel;Rebelle allié;Befreundeter Rebell;;Hermano Rebelde;;;;;;;;;x
CHECKBOX_COMPRESSED_SAVEGAMES;Compress game data;Compresser les données du jeu;Spielstände komprimieren;;Comprimir datos de juego;;;;;;;;;x
EVTDESC75041;There's an infidel at your court, my liege!', my [Root.GetMyLordSpiritualName] [From.GetTitledFirstName] said.\n'I demand you burn the infidel at the stake!';« M[Root.GetOnA][Root.GetLordLady], votre Cour abrite un infidèle ! », a déclaré mon [Root.GetMyLordSpiritualName] [From.GetTitledFirstName].\n« J'exige que vous le condamniez au bûcher ! »;"Mein Lehnsherr, an Eurem Hof gibt es einen Ungläubigen!", berichtete mein [Root.GetMyLordSpiritualName] [From.GetTitledFirstName]. "Ich verlange, dass Ihr den Ungläubigen auf dem Scheiterhaufen verbrennen lasst!";;¡Mi señor, hay un infiel en vuestra corte!', mi [Root.GetMyLordSpiritualName] [From.GetTitledFirstName] dijo.\n'¡Exijo que queméis al infiel en la pira';;;;;;;;;x
EVTDESC75042;There's an infidel at your court, my liege!', my [Root.GetMyLordSpiritualName] [From.GetTitledFirstName] said.\n'I demand you banish the infidel!';« M[Root.GetOnA][Root.GetLordLady], votre cour abrite un infidèle ! », a déclaré mon [Root.GetMyLordSpiritualName] [From.GetTitledFirstName].\n« J'exige que vous le bannissiez ! »;"Mein Lehnsherr,an Eurem Hof gibt es einen Ungläubigen!", berichtete mein [Root.GetMyLordSpiritualName] [From.GetTitledFirstName]. "Ich verlange, dass Ihr den Ungläubigen verbannt!";;¡Mi señor, hay un infiel en vuestra corte!', mi [Root.GetMyLordSpiritualName] [From.GetTitledFirstName] dijo.\n'¡Exijo que expulséis al infiel!';;;;;;;;;x
EVTDESC75051;My liege, you have a heretic in your court!', my [Root.GetMyLordSpiritualName] [From.GetTitledFirstName] told me in confidence.\n'I recommend you set an example and burn the heretic on the stake!';« M[Root.GetOnA][Root.GetLordLady], votre cour abrite un hérétique ! », m'a confié mon [Root.GetMyLordSpiritualName] [From.GetTitledFirstName].\n « Je vous recommande de donner l'exemple en le condamnant au bûcher ! »;"Mein Lehnsherr, an Eurem Hof gibt es einen Ketzer!", redete mir mein [Root.GetMyLordSpiritualName] [From.GetTitledFirstName] ins Gewissen. "Ich empfehle Euch, ein Exempel zu statuieren und den Ketzer auf dem Scheiterhaufen verbrennen zu lassen!";;¡Mi señor, hay un hereje en vuestra corte!', mi [Root.GetMyLordSpiritualName] [From.GetTitledFirstName] me ha dicho en confianza.\n'¡Os recomiendo que lo uséis de ejemplo y lo queméis en la pira!';;;;;;;;;x
TITLE_HAS_NO_HOLDER;Cannot Revoke as this Title has no Holder.;Impossible de révoquer ce titre, il n'est porté par personne.;Aberkennung ist nicht möglich, da der Titel keinen Besitzer hat.;;No puedes revocar el título al no tener titular;;;;;;;;;x
LOADING_TIP_54;Muslims can get rid of the Decadent trait by going on the Hajj to Mecca.;Les musulmans peuvent perdre le trait de décadence en accomplissant le hajj à La Mecque.;Moslems können den Dekadent-Nachteil loswerden, indem sie sich auf Haddsch nach Mekka begeben.;;Los Musulmanes pueden perder el rasgo Decadente realizando un Hajj a la Meca.;;;;;;;;;x
TITLE_CANNOT_USURP_PRIMARY_OFF_OTHER_REL;§RCannot Usurp the sole primary title off a ruler of another religion who still holds land within it.§!;§RImpossible d'usurper le titre principal et unique d'un souverain d'une autre religion qui y détient encore des terres.§!;§RDie Übernahme des Haupttitels eines Herrschers einer anderen Religion, welcher Land besitzt, ist nicht möglich.§!;;§RNo puedes usurpar el único título primario de un gobernante de otra religión que mantiene tierras en él.§!;;;;;;;;;x
age_child;Child;Enfant;Kind;;Niño;;;;;;;;;x
age_teen;Teenager;Adolescent;Jugendlicher;;Adolescente;;;;;;;;;x
age_young;Young Adult;Jeune adulte;Junger Erwachsener;;Joven Adulto;;;;;;;;;x
age_adult;Adult;Adulte;Erwachsener;;Adulto;;;;;;;;;x
age_old;Old Age;Vieillard;Betagt;;Viejo;;;;;;;;;x
age_very_old;Old Age;Vieillard;Betagt;;Anciano;;;;;;;;;x
