#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_RoI_10011;My [GetFromRelation] [From.GetFirstName], [From.Reincarnation.GetTitledFirstName] reborn, is acting more like [From.GetPossPronoun] previous incarnation every day! [From.GetFirstName] is definitely expressing another of [From.Reincarnation.GetFirstName]'s personality traits...;M[From.GetOnA] [GetFromRelation] [From.GetFirstName], réincarnation de [From.Reincarnation.GetTitledFirstName], se comporte chaque jour davantage comme sa précédente incarnation ! [From.GetFirstName] est clairement en train d'exprimer un autre trait de caractère de [From.Reincarnation.GetFirstName]...;Mein [GetFromRelation] [From.GetFirstName], die Wiedergeburt von [From.Reincarnation.GetTitledFirstName] verhält sich mehr und mehr wie [From.GetPossPronoun]e vorherige Inkarnation! [From.GetFirstName] zeigt definitiv ein weiteres Persönlichkeitsmerkmal von [From.Reincarnation.GetFirstName].;; Mi [GetFromRelation] [From.GetFirstName], [From.Reincarnation.GetTitledFirstName] renacido, está actuando cada día más más como [From.GetPossPronoun] encarnación anterior.  [From.GetFirstName] está sin duda expresando otra de [From.Reincarnation.GetFirstName] características de personalidad ...;;;;;;;;;x
form_the_hre;Form the Holy Roman Empire;Constituer le Saint-Empire romain;Errichtet das Heilige Römische Reich;;Del Sagrado Imperio Romano;;;;;;;;;x
form_the_hre_desc;With a realm to rival that of Charlemagne, I could be recognized as his true successor and, invoking Translatio Imperii, have [Root.RelHead.GetBestName] crown me Emperor of a new Roman Empire in the west!;Si j'avais un royaume rivalisant avec celui de Charlemagne, on pourrait me reconnaître comme son véritable successeur. En invoquant le principe de Translatio Imperii (transfert de puissance), je pourrais même faire en sorte que [Root.RelHead.GetBestName] me couronne empereur d'un nouvel empire romain de l'Ouest !;Mit einem Reich, das dem von Karl dem Großen gleichkommt, könnte ich als sein wahrer Nachfolger gelten und mich durch die Anrufung der Translatio Imperii von [Root.RelHead.GetBestName] zum Kaiser des neuen Römischen Imperiums des Westens krönen lassen!;; Con un reino para rivalizar con el de Carlomagno, yo podría ser reconocido como su verdadero sucesor e, invocando a Translatio Imperii, que [Root.RelHead.GetBestName] me corone emperador de un Nuevo Imperio Romano en el oeste!;;;;;;;;;x
buddhist_DESC;Buddhism was founded by the Buddha, Siddhartha Gautama, in Northeast India in the 5th century BC. The religion flourished in India for more than 1500 years, building huge libraries and monastery complexes, until Muslim invasions and the growing power of the Brahmin caste drove Buddhism out of the subcontinent. In the game, Buddhists get a significant bonus to Learning, meaning that they will research technologies faster.;Le bouddhisme a été fondé par le Bouddha, Siddhartha Gautama, dans le nord de l'Inde au Ve siècle avant Jésus Christ. Cette religion s'est développée en Inde pendant plus de 1500 ans avec la construction de gigantesques bibliothèques et de grands monastères, jusqu'aux invasions musulmanes et le pouvoir grandissant de la caste brahmane chassant les bouddhistes hors du sous-continent. En jeu, les bouddhistes ont un bonus significatif en érudition impliquant que leus progrès technologiques se feront plus rapidement.;Der Buddhismus wurde von Buddha Siddhartha Gautama im nordöstlichen Indien im 5. Jahrhundert v. Chr. begründet. Die Religion gedieh in Indien mehr als 1500 Jahre lang, wobei große Bibliotheken und Klosterkomplexe erbaut wurden, bis die Buddhisten durch muslimische Invasionen und die wachsende Macht der Brahmanen vom Subkontinent vertrieben wurden. Im Spiel erhalten Buddhisten deutliche Vorteile auf Bildung. Dadurch werden Technologien schneller erforscht.;; El Budismo fue fundado por el Buda, Siddhartha Gautama, en el noreste de la India en el siglo quinto antes de Cristo. La religión floreció en la India hace más de 1500 años, construyendo enormes bibliotecas y complejos monásticos, hasta las invasiones Musulmanas y el creciente poder de la casta de los Brahmanes que llevaron al Budismo fuera del subcontinente. En el juego, los Budistas consiguen una bonificación significativa por aprendizaje, lo que significa que van a investigar las tecnologías más rápido. Definición de las características del juego: No hay jefe religioso.;;;;;;;;;x
jain_DESC;Jainism is a religion of incredible antiquity, stemming from the ascetic Sramana tradition of India, in opposition to the priestly Brahmins and the caste system. The guiding principle of Jainism is Ahimsa - non-violence - which is more radically interpreted than in any other religion. In the game, Jains have a hard time waging offensive wars, but their remarkable tolerance means Jain rulers are well liked by all.;Le jaïnisme est une religion qui remonte à la nuit des temps, à l'antique tradition des ascètes shramana en Inde, par opposition à la prêtrise brahmane et au système de castes. Le principe au cœur du jaïnisme s'appelle l'ahimsa, la non-violence, interprété de manière plus radicale que les autres religions. En jeu, les Jaïns ont du mal à mener des guerres offensives, mais leur remarquable tolérance implique est appréciée de tous.;Jainismus ist eine Religion mit unglaublich alten Ursprüngen und entstammt der asketischen Sramana-Tradition aus Indien, im Gegensatz zu den Brahmanen und dem Kastensystem. Das leitende Prinzip des Jainismus ist Ahimsa, die Gewaltlosigkeit, welches radikaler als in anderen Religionen ausgelegt wird. Im Spiel fällt es jainistischen Herrschern schwer, Angriffskriege zu führen, aber ihre bemerkenswerte Toleranz bedeutet, dass sie von allen gemocht werden.;; El jainismo es una religión increíblemente antigua, derivada de la tradición ascética Sramana de la India, en oposición a los sacerdotes Brahmanes  y el sistema de castas. La pauta principal del Jainismo es Ahimsa - la no violencia - que se interpreta más radicalmente que en cualquier otra religión. En el juego, los Jainistas tienen dificultades para librar guerras ofensivas, pero su notable tolerancia significa que los gobernantes Jainistas son muy apreciados por todos.;;;;;;;;;x
IndiaDLC;Rajas of India;Rajas d'Inde (Rajas of India);Rajas of India;;Rajás de la India;;;;;;;;;x
TurkishUnitPackDLC;Turkish Unit Pack;Pack d'unités turques;Turkish Unit Pack;;Paquete de unidad turco;;;;;;;;;x
TurkishPortraitDLC;Turkish Portraits;Portraits turcs;Turkish Portraits;;Retratos Turcos ;;;;;;;;;x
SongsOfIndiaDLC;Songs of India;Chants de l'Inde;Songs of India;; Cantos de India;;;;;;;;;x
#opinion_vassal_king;Vassal King;;Vasallenkönig;;Rey Vasallo;;;;;;;;;x
THREAT;Threat;Menace;Bedrohung;; Amenaza;;;;;;;;;x
THREAT_FACTION_LEADER;Faction Leader: §Y$FACTION$§!;Chef de faction : §Y$FACTION$§!;Fraktionsführer: §Y$FACTION$§!;;Jefe de la facción: §Y$FACTION$§!;;;;;;;;;x
THREAT_FACTION_MEMBER;Faction Member: §Y$FACTION$§!;Membre de faction : §Y$FACTION$§!;Fraktionsmitglied: §Y$FACTION$§!;; Miembro de la fracción: §Y$FACTION$§!;;;;;;;;;x
THREAT_ADVENTURER;Preparing an Adventure against me;Prépare une aventure contre moi;Bereiten ein Abenteuer gegen mich vor;;Preparando una aventura contra mí;;;;;;;;;x
THREAT_PREPARING_INVASION;Preparing an Invasion against me;Prépare une invasion contre moi;Bereiten eine Invasion gegen mich vor;;Preparando una invasión contra mí;;;;;;;;;x
alert_adventurer_threat_instant;§YAdventurer Threats§!;§YMenaces d'aventuriers§!;§YAbenteurerbedrohung§!;;Amenazas de Adventurero;;;;;;;;;x
alert_adventurer_threat_delayed;The following adventurers are targeting me:\n$LIST$;Ces aventuriers m'ont pris pour cible :\n$LIST$;Die folgenden Abenteurer haben mich zum Ziel auserkoren:\n$LIST$;;Los siguientes aventureros me han elegido como objetivo:\n$LIST$;;;;;;;;;x
alert_adventurer_threat_name;Adventurers Targeting me;Les aventuriers qui me ciblent;Abenteurer, die mich zum Ziel haben;;Los aventureros me tienen como objectivo;;;;;;;;;x
opinion_targeted_by_adventurer;Targeted for Invasion;Ciblé pour invasion;Für eine Invasion ausgewählt;;Objetivo para invasión;;;;;;;;;x
opinion_revoked_honorary_title;Revoked my Honorary Title;A révoqué mon titre honorifique;Mein Ehrentitel wurde mir entzogen;;Revocado mi título honorífico;;;;;;;;;x
holding_grand_hunt;Holding Grand Hunt;Organise une grande chasse;Eine Großjagd abhalten;;Celebrando la Gran Caza;;;;;;;;;x
TITLE_NOT_REVOKEABLE;Not Revokeable;N'est pas révocable;Nicht entziehbar;;No Revocable;;;;;;;;;x
MODIFIER_VASSAL_OPINION;Vassal Opinion;Opinion de la part des vassaux;Meinung der Vasallen;;Opinión de vasallo;;;;;;;;;x
