#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
vice_royalty_2_desc;Enables Kingdom and Duchy Viceroyalties.;Autorise la création de vice-royautés à partir de duchés et de royaumes.;Schaltet das Einsetzen von Vizekönigen in Königreichen und Herzogtümern frei.;;Activa los virreinatos en reinos y ducados.;;;;;;;;;x
duke_vice_royalties;Allows Kingdom and Duchy Viceroyalties;Autorise la création de vice-royautés à partir de duchés et de royaumes.;Gestattet das Einsetzen von Vizekönigen in Königreichen und Herzogtümern.;;Permite los virreinatos en reinos y ducados;;;;;;;;;x
PLOT_POWER_DESC;A plot gains strength by having more powerful backers. Higher Plot Power will unlock more special plot decisions and events. Having your spymaster Build Spy Network at your plot target location will further increase your Plot Power.;Un complot gagne en force grâce à des comploteurs plus puissants. Avoir une force de complot supérieure rend disponibles de nouveaux événements et décisions pour le complot. Avoir votre maître-espion en mission pour tisser un réseau d'espionnage dans le comté de votre cible augmente aussi la force du complot.;Die Verschwörungsstärke steigt, je mehr Unterstützer Ihr für Euren Plan gewinnen könnt. Dadurch werden spezielle Entscheidungen und Ereignisse ermöglicht. Der Aufbau eines Agentennetzwerks durch Euren Hofspitzel am Aufenthaltsort des Zieles wird ebenfalls die Verschwörungsstärke erhöhen.;;La fuerza de un complot incrementa si tiene partidarios poderosos. Com mayor Fuerza del Complot decisiones y eventos especiales se desbloquean para el complot. Si tu Maestro de Espías está creando una red de espías en el lugar del objetivo del complot, la Fuerza del Complot incrementa aún más.;;;;;;;;;x
LIEGE_ENDED_OTHER_WAR_PARTICIPATION_LOG;§Y$VASSAL$§! is no longer a participant in §YThe $VASSAL_WAR$§! as $PRONOUN$ liege §Y$LIEGE$§! joined §YThe $LIEGE_WAR$§! as §Y$SIDE$§!.;§Y$VASSAL$§! ne participe plus à la §Y$VASSAL_WAR$§! car son seigneur lige §Y$LIEGE$§! a rejoint la §Y$LIEGE_WAR$§! du coté §Y$SIDE$§!.;§Y$VASSAL$§! ist nicht mehr Teil des Kriegs §Y$VASSAL_WAR$§!, da $PRONOUN$ Lehnsherr §Y$LIEGE$§! als §Y$SIDE$§! in den Krieg §Y$LIEGE_WAR$§! eingetreten ist.;;§Y$VASSAL$§! ya no participa en la §YThe $VASSAL_WAR$§! ya que su señor §Y$LIEGE$§! se ha unido a la §YThe $LIEGE_WAR$§! como §Y$SIDE$§!.;;;;;;;;;x
LIEGE_ENDED_OTHER_WAR_LOG;§YThe $VASSAL_WAR$§! has ended as §Y$LIEGE$§! joined §YThe $LIEGE_WAR$§! as §Y$SIDE$§!.;§YThe $VASSAL_WAR$§! s'est terminée car §Y$LIEGE$§! a rejoint §YThe $LIEGE_WAR$§! en tant aue §Y$SIDE$§!.;Der Krieg §Y$VASSAL_WAR$§! endete, da §Y$LIEGE$§! als §Y$SIDE$§! in den Krieg §Y$LIEGE_WAR$§! eingetreten ist.;;§YThe $VASSAL_WAR$§! ha terminado ya que §Y$LIEGE$§! se ha unido a la §YThe $LIEGE_WAR$§! como §Y$SIDE$§!.;;;;;;;;;x
NOT_ANY_WAR_STARTS;No war;Pas de guerre;Kein Krieg;;No está en guerra;;;;;;;;;x
not_under_attack;Not defender in a war;Pas défenseur dans une guerre;Ist kein Verteidiger in einem Krieg;;No es un defensor en una guerra;;;;;;;;;x
temple_king_pagan_group;King-Priest;Prêtre-roi;Priesterkönig;;Sacerdote-Rey;;;;;;;;;x
EVTTITLE_CM_1402;The Rebellious [From.PrimaryTitle.GetRulerTitle];L'insoumis [From.PrimaryTitle.GetRulerTitle];Der rebellische [From.PrimaryTitle.GetRulerTitle];;El revoltoso [From.PrimaryTitle.GetRulerTitle];;;;;;;;;x
EVTDESC_CM_1410;My [Root.GetLordLady], the treacherous [From.GetTitledName] has gone back on [From.GetHerHis] word and refused to aid you against the Umayyads!;M[Root.GetOnA][Root.GetLordLady], \n\n[From.GetTitledName] manque à sa parole et refuse de vous aider contre les Omeyyades !;Mein [Root.GetLordLady], [From.GetTitledName] hat [From.GetHerHis] Versprechen gebrochen und weigert sich, Euch gegen die Umayyaden zu unterstützen!;;Mi [Root.GetLordLady], ¡El traidor [From.GetTitledName] ha incumplido su palabra y se ha negado a ayudarnos contra los Omeyas!;;;;;;;;;x
