#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_WOL_431;Arm in arm, [FromFrom.GetFirstName] and I wandered off to a nearby stream. We have laughed and shared confidences for an hour at least. This is the moment of truth... Is [FromFrom.GetSubjectPronoun] ready to fall for another [FromFrom.GetManWoman]? I lean in to whisper in [FromFrom.GetPossPronoun] ear...;Bras dessus bras dessous, [FromFrom.GetFirstName] et moi nous sommes retrouvés au bord d'un ruisseau voisin. Nous avons ri ensemble et partagé des secrets pendant au moins une heure. C'est le moment de vérité... Est-[FromFrom.GetIlElle] dans de bonnes dispositions pour une histoire d'amour ? Je me penche et chuchote à son oreille...;Arm in Arm schlendere ich mit [FromFrom.GetFirstName] zu einem nahe gelegenen Fluss. Mehr als eine Stunde haben wir uns angeregt unterhalten. Und nun ist er da, der Moment der Wahrheit ... Wird [FromFrom.GetSubjectPronoun] zur Liebe zwischen [FromFrom.GetManWoman] und [FromFrom.GetManWoman] bereit sein? Flüsternd formuliere ich den entscheidenden Satz ...;;Brazo en brazo, [FromFrom.GetFirstName] y yo fuimos a un arroyo cercano. Nos hemos reido y compartido detalles íntimos durante una hora. Esto es el momento de la verdad... Puede ser que [FromFrom.GetSubjectPronoun] se enamoraría de un [FromFrom.GetManWoman]? Me acerco para susurrarle al oido...;;;;;;;;;x
EVTDESC_WOL_431_CR;Arm in arm, [FromFrom.GetFirstName] and I wandered off to a nearby stream. We have laughed and shared confidences for hours. In a companionable moment of silence, I decide to reveal the most terrible secret of all - my true feelings for [FromFrom.GetObjectPronoun]. I lean in to whisper in [FromFrom.GetPossPronoun] ear...;Bras dessus bras dessous, [FromFrom.GetFirstName] et moi nous nous sommes retrouvés au bord d'un ruisseau voisin. À l'occasion d'un moment de silence en cette bonne compagnie, je décide de lui révéler le plus terrible des secrets : mes sentiments pour [FromFrom.GetLuiElle]. Je me penche et chuchote à son oreille...;Arm in Arm schlendere ich mit [FromFrom.GetFirstName] zu einem nahe gelegenen Fluss. Stundenlang haben wir uns angeregt unterhalten. Dann, in einem Moment, da wir einträchtig schweigen, sammele ich all meinen Mut, um [FromFrom.GetFirstName] meine wahren Gefühle zu gestehen. Flüsternd formuliere ich den entscheidenden Satz ...;;Brazo en brazo, [FromFrom.GetFirstName] y yo fuimos a un arroyo cercano. Nos hemos reido y compartido detalles íntimos durante horas. En un momento de silencio y complicidad, decido revelar el secreto más terrible de todos - mi verdaderos sentimientos. Me acerco para susurrarle al oido...;;;;;;;;;x
EVTDESC_WOL_1003_SPY_RESULT;One of the servant boys I had shadowing [target_spy_on.GetFirstName] stutters his words as he reports, whitefaced, what he saw my [GetFromFromRelation] doing with [From.GetTitledName] in one of the guest rooms! The boy was hiding behind a tapestry the whole time...;Un des jeunes serviteurs à qui j'avais demandé de suivre [target_spy_on.GetFirstName] m'informe en bredouillant, le visage blême, qu'il a vu m[FromFrom.GetOnA] [GetFromFromRelation] faire des choses en compagnie de [From.GetTitledName] dans une chambre réservée aux invités ! Le garçon était dissimulé derrière une tenture pendant tout ce temps...;Der Dienstbote, der ein Auge auf [target_spy_on.GetFirstName] haben sollte, berichtet verstört, was m[From.Geteineine] [GetFromFromRelation] mit [From.GetTitledName] in einem der Gästezimmer trieb! Aus seinem Versteck hinter dem Wandteppich konnte der Junge alles genau beobachten ...;;Uno de los jóvenes sirvientes que había mandado a espiar a [target_spy_on.GetFirstName] me cuenta, tartamudeando, lo que ha visto a mi [GetFromFromRelation] hacer con [From.GetTitledName] en una de las habitaciones de invitados! El chico lo vio todo escondido detrás de un tapiz.;;;;;;;;;x
student_of_strategy;Student of Strategy;Étudiant en stratégie;Schüler der Militärstrategie;;Estudiante de Estrategia;;;;;;;;;x
student_of_strategy_desc;This character is dedicated to studying the military wisdom of history's great commanders.;Ce personnage se consacre à l'étude de la sagesse militaire des grands commandants de l'histoire.;Diese Person strebt danach, das militärische Wissen großer historischer Befehlshaber zu erlangen.;;Este personaje se dedica a estudiar la sabiduría militar de los grandes comandantes de la historia.;;;;;;;;;x
adept_of_strategy;Adept of Strategy;Adepte en stratégie;Kenner der Militärstrategie;;Adepto de Estrategia;;;;;;;;;x
adept_of_strategy_desc;This character has spent time studying the military wisdom of history's great commanders.;Ce personnage a consacré du temps à l'étude de la sagesse militaire des grands commandants de l'histoire.;Diese Person hat einige Zeit mit dem Studium des militärischen Wissens großer historischer Befehlshaber zugebracht.;;Este personaje ha dedicado mucho tiempo a estudiar la sabiduría militar de los grandes comandantes de la historia.;;;;;;;;;x
EVTDESC94018_india;History is a subject that has always fascinated you, and you have spent the last few weeks studying the campaigns of Ashoka the Great. There are many lessons to be learned from his conquests.;L'histoire est un domaine qui vous a toujours fasciné, et vous avez passé les dernières semaines à étudier les campagnes d'Ashoka le Grand. Ses conquêtes sont riches de nombreux enseignements.;Schon immer war die Geschichte ein Fach, dem Euer besonderes Interesse galt, und so habt Ihr Euch in den letzten Wochen eingehend mit den Feldzügen Ashokas des Großen befasst. Das Studium seiner Eroberungen war höchst aufschlussreich.;;Siempre te ha fascinado la historia, y en las últimas semanas has pasado muchos ratos estudiando las campañas de Ashoka el Grande. Se puede aprender mucho de sus conquistas.;;;;;;;;;x
EVTOPTB_94018;Perhaps I, too, could achieve such greatness.;Je pourrais peut-être, moi aussi, connaître une telle gloire.;Vielleicht ist es auch mir vergönnt, solchen Ruhm zu erlangen.;;Quizás yo, también, podría ser tan grande.;;;;;;;;;x
EVTOPTC_94018;I should devote more time to studying this...;Je dois consacrer davantage de temps à ces études...;Ich sollte mich weiter mit dieser Materie befassen ...;;Debería dedicar más tiempo a estudiar esto...;;;;;;;;;x
