#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ONLY_ONE_TRIBAL;Only one tribe can live in each county.;Chaque comté ne peut héberger qu'une seule tribu.;In jeder Provinz kann nur ein Stamm leben.;;Sólo una tribu puede vivir en cada provincia.;;;;;;;;;x
#HT_HONORARY_TITLES;Honorary Titles;;Ehrentitel;;Títulos honoríficos;;;;;;;;;x
#HT_SHOW_HONORARY_TITLES;Show Honorary Titles;Afficher les titres honorifiques;Ehrentitel anzeigen;;Muestra títulos honoríficos;;;;;;;;;x
#HT_SHOW_COMMANDERS;Show Commanders;Afficher les commandants;Kommandanten anzeigen;;Mostrar los comandantes;;;;;;;;;x
INTERACTION_INVALID_CB;Valid Casus Belli;Casus belli valide;Gültiger Kriegsgrund;;Casus Belli válido;;;;;;;;;x
lappish;Sami;same;Samen;;Sami;;;;;;;;;x
d_lappish_band;Sami Band;Bande armée sami;Samischer Trupp;;Banda sami;;;;;;;;;x
d_lappish_band_adj;Sami;samie;Samisch;;Sami;;;;;;;;;x
IRONMAN_MODE_CHECKSUM_DESC;The game data files have been altered in some way, disabling achievements in Ironman mode. Check so you don't have a mod loaded or verify your game files. Using the Ruler Designer will also disable achievments.;Les fichiers du jeu ont été modifiés, les accomplissements en mode Iron Man ont été désactivés. Assurez-vous de n'avoir activé aucun mode ou vérifiez les fichiers du jeu. Utiliser le créateur de personnage désactive aussi les accomplissements.;Die Spieldateien wurden verändert und die Errungenschaften aus dem Ironman-Modus deaktiviert. Überprüfen Sie die Integrität der Installation oder deaktivieren Sie etwaige Mods. Auch durch die Verwendung des Herrscher-Baukastens werden Errungenschaften deaktiviert.;;Los archivos de datos del juego han sido alterados de alguna manera, desactivando los logros en el modo Ironman. Verifica si no tienes mods cargados, o tus archivos de juego. Utilizar el diseñador del gobernante también desactivará logros.;;;;;;;;;x
NAND_TRIGGER_STARTS;All of the following must NOT be true;Toutes ces conditions doivent être invalides;KEINE der folgenden Bedingungen darf erfüllt sein;;Todo lo siguiente NO debe ser verdad;;;;;;;;;x
MATCHMAKING_SERVER_DENIED;Denied;Refusé;Verweigert;;Denegado;;;;;;;;;x
PROVINCE_EXTEND;Extend;Étendu;Erweiterung;;Ampliar;;;;;;;;;x
CONFIRM_BUILD_EXTRA_HOLDING_TITLE;Build $TYPE$;Établir une propriété de type '$TYPE$';$TYPE$ bauen;;Construye $TYPE$;;;;;;;;;x
CONFIRM_BUILD_EXTRA_HOLDING_DESC;Are you sure you want to build a $TYPE$?\nIt will cost you §Y$COST$§!¤ and will be finished on §Y$FINISHED$§!;Voulez-vous vraiment établir votre $TYPE$?\nVous devrez payer §Y$COST$§!¤ et la construction s'achèvera le §Y$FINISHED$§!;$TYPE$ wirklich bauen?\nDies kostet §Y$COST$§!¤, Fertigstellung am §Y$FINISHED$§!.;;¿Estás seguro/a de que desea construir un/a $TYPE$?\n Te costará §Y$COST$§!¤ estará terminado en §Y$FINISHED$§!;;;;;;;;;x
GOVERNMENT_ALLOWS_BUILDING;§Y$GOVERNMENT$§! Government allows building §Y$TYPE$§!;Un gouvernement de type '§Y$GOVERNMENT$§!' permet de construire '§Y$TYPE$§!';§Y$GOVERNMENT$§! ermöglicht Bau von §Y$TYPE$§!;;§Y$GOVERNMENT$§! Gobierno permite construir §Y$TYPE$§!;;;;;;;;;x
CONTROLS_PROVINCE;Controls §Y$PROVINCE$§!;Contrôle §Y$PROVINCE$§!.;Kontrolliert §Y$PROVINCE$§!.;;Controla §Y$PROVINCE$§!.;;;;;;;;;x
EXTRA_HOLDING_UNDER_CONSTRUCTION;$TYPE$ under construction by §Y$BUILDER$§!\nWill be finished on §Y$DATE$§!;§Y$BUILDER$§! est en train d'établir une propriété de type '$TYPE$'.\nCe sera terminé le §Y$DATE$§!;§Y$BUILDER$§! baut $TYPE$\nFertigstellung am §Y$DATE$§!;;$TYPE$ en construcción por §Y$BUILDER$§!\n Estará terminado en §Y$DATE$§!;;;;;;;;;x
BUILD_EXTRA_HOLDING;§YBuild a new $TYPE$§!;Établir une nouvelle propriété de type '$TYPE$';Neu bauen: $TYPE$;;Construir un nuevo / una nueva $TYPE$;;;;;;;;;x
NO_EXTRA_HOLDING_BUILT;No $TYPE$ Built;Aucune propriété de type '$TYPE$' établie;$TYPE$ wurde noch nicht gebaut;;No $TYPE$ construido/a;;;;;;;;;x
EXTRA_HOLDING_UNDER_CON;$TYPE$ Under Construction;$TYPE$ en construction;$TYPE$ wird gebaut;;$TYPE$ en construcción;;;;;;;;;x
CREATE_EXTRA_HOLDING_EFFECT;Creates a $TYPE$ in $LOCATION$;Crée une propriété de type '$TYPE$' en $LOCATION$;Baut $TYPE$ in $LOCATION$;;Crear $TYPE$ en $LOCATION$;;;;;;;;;x
NOMAD_TAX_MODIFIER;Nomad Tax;Impôt nomade;Nomadensteuer;;Impuesto de nómadas;;;;;;;;x
FROM_FORTS;From Forts: §G$AMOUNT$§!\n;Provenant des forts : §G$AMOUNT$§!\n;Von Festungen: §G$AMOUNT$§!\n;;De fortalezas: §G$AMOUNT$§!\n;;;;;;;;x
DESTROY_EXTRA_HOLDING_EFFECT;The $TYPE$ in $LOCATION$ is destroyed;La propriété de type '$TYPE$' détruite en $LOCATION$;$TYPE$ in $LOCATION$ wurde zerstört;;El $TYPE$ en $LOCATION$ fue destruido;;;;;;;;x
SEIZE_EXTRA_HOLDING_EFFECT;§Y$TAKER$§! seizes the §Y$PROV$§! $TYPE$;§Y$TAKER$§! s'empare de la propriété de type '$TYPE$' en §Y$PROV$§!;§Y$TAKER$§! beschlagnahmt $TYPE$ in §Y$PROV$§!;;§Y$TAKER$§! toma §Y$PROV$§! $TYPE$;;;;;;;;x
ANY_FORT_STARTS;Any Fort;Tout fort;Beliebige Festung;;Cualquier fortaleza;;;;;;;;x
num_fort_diff_lower_than;Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Forts lower than §Y$VAL$§!;La différence entre le nombre de forts de §Y$FIRST$§! et de §Y$SECOND$§! est inférieure à §Y$VAL$§!;Unterschied zwischen der Anzahl der Festungen von §Y$FIRST$§! und §Y$SECOND$§! kleiner als §Y$VAL$§!;;Diferencia entre las fortalezas §Y$FIRST$§! y §Y$SECOND$§! menor que §Y$VAL$§!;;;;;;;;x
num_fort_diff_at_least;Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Forts at least §Y$VAL$§!;La différence entre le nombre de forts de §Y$FIRST$§! et de §Y$SECOND$§! est d'au moins §Y$VAL$§!;Unterschied zwischen der Anzahl der Festungen von §Y$FIRST$§! und §Y$SECOND$§! mindestens §Y$VAL$§!;;Diferencia entre las fortalezas §Y$FIRST$§! y §Y$SECOND$§! por lo menos §Y$VAL$§!;;;;;;;;x
has_fewer_fort_than;Has fewer than §Y$NUM$§! Forts;Possède moins de §Y$NUM$§! forts;Hat weniger als §Y$NUM$§! Festungen;;Tiene menos de §Y$NUM$§! fortalezas;;;;;;;;x
has_more_fort_than;Has at least §Y$NUM$§! Forts;Possède au moins §Y$NUM$§! forts;Hat mindestens §Y$NUM$§! Festungen;;Tiene por lo menos §Y$NUM$§! fortalezas;;;;;;;;x
HAS_EXTRA_HOLDING;Has $TYPE$;Possède une propriété de type '$TYPE$';Hat $TYPE$;;Tiene $TYPE$;;;;;;;;x
HAS_NOT_EXTRA_HOLDING;Does NOT have $TYPE$;Ne possède pas une propriété de type '$TYPE$';Hat KEINE $TYPE$;;NO tiene $TYPE$;;;;;;;;x
TRIGGER_FORT_OWNER;Fort Owner;Propriétaire du fort;Eigentümer der Festung;;Dueño de Fortaleza ;;;;;;;;x
FORT_PROV;Fort of $PROV$;Fort de $PROV$;Festung in $PROV$;;Fortaleza de $PROV$;;;;;;;;x
strengthened_loyalty;Strengthened Loyalty;Loyauté renforcée;Verbesserte Loyalität;;Lealtad reforzada;;;;;;;;;x
proud_parent;Proud Parent;Fier parent;Stolze Eltern;;Padre orgulloso;;;;;;;;;x
