#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTA_HL_121;My friend, gold is the sign of nobility!;Mon ami, l'or est un signe de noblesse !;Mein Freund, Gold ist das Zeichen des Adels!;;¡Amigo mío, el oro es el signo de nobleza!;;;;;;;;;x
abandon_province;Abandon Province;Abandonner la province;Provinz aufgeben;;Abandonar provincia;;;;;;;;;x
abandon_province_desc;It is time to abandon this land and move on to greener pastures.;Il est temps d'abandonner cette terre et de faire route vers de verts pâturages.;Es ist an der Zeit, dieses Land zu verlassen und ein besseres Gebiet zu finden.;;Es hora de abandonar esta tierra y pasar a pastos más verdes.;;;;;;;;;x
nomads_exploited_land;Nomads Exploited Land;Les nomades ont exploité la terre;Nomaden beuteten das Land aus;;Tierra explotada por los nómadas;;;;;;;;;x
nomad_population_boom;Population Boom;Explosion de population;Bevölkerungsexplosion;;Auge de población;;;;;;;;;x
nomad_population_boom_spillover;Population Boom Spillover;Retombées de l'explosion de population;Begleiterscheinung der Bevölkerungsexplosion;;Excesos del auge de población.;;;;;;;;;x
PROVINCE_ABANDONED_TOOLTIP;Abandon the county and let one of the neighbors grab it;Abandonner le comté et laisser un voisin s'en emparer;Provinz aufgeben und einem der Nachbarn überlassen;;Abandona la provincia y deja que se la quede uno de los vecinos.;;;;;;;;;x
ANY_SETTLEMENT;Any Holding;N'importe quelle propriété;Beliebiges Besitztum;;Cualquier posesión;;;;;;;;;x
CB_NAME_INSTALLKHAN;Install Khagan;Instituer un khagan;Khagan einsetzen;;Imponer kagan;;;;;;;;;x
cb_install_khan_desc;The clans can forcefully depose the Khagan and replace him with someone more powerful.;Les clans peuvent destituer un khan de force et le remplacer par un individu plus puissant.;Die Klans können den Khagan gewaltsam absetzen und durch einen mächtigeren Kandidaten ersetzen.;;Los clanes pueden deponer a la fuerza al kagan y sustituirlo por alguien más poderoso.;;;;;;;;;x
elephant_trample_tactic;Elephant Trample Tactic;Piétinement par éléphant;Trampelangriff der Elefanten;;Táctica del pisotón del elefante;;;;;;;;;x
INTERACTION_NOT_ALREADY_ENEMIES;Is not an enemy;N'est pas un ennemi;Ist kein Feind;;No es enemigo;;;;;;;;;x
CLAN_SAME_FAITH;Same Faith;Même religion;Gleiche Religion;;Misma fe;;;;;;;;;x
DOES_NOT_RISK_MINOR_CLAN_RISING;Does NOT risk a Minor Clan Rising;Ne risque pas un soulèvement de clan mineur;Birgt KEIN Risiko des Aufstands eines kleineren Stammes;;No se arriesga a la rebelión de un clan menor;;;;;;;;;x
RISKS_MINOR_CLAN_RISING;Risks a Minor Clan Rising;Risque un soulèvement de clan mineur;Birgt das Risiko eines Aufstands eines kleineren Stammes;;Arriesga la rebelión de un clan menor;;;;;;;;;x
nomad_expansion_desc;If we have enough Prestige, we can subdue large foreign areas in a single war.;Si nous avons suffisamment de prestige, nous pouvons conquérir de grands territoires étrangers en une seule guerre.;Wenn wir genug Prestige haben, können wir große fremde Gebiete in einem einzigen Krieg erobern.;;Si tenemos suficiente prestigio, podemos dominar grandes zonas extranjeras con una sola guerra.;;;;;;;;;x
CB_NAME_NOMAD_EXPANSION;Subordination of [Title.GetBaseName];Subordination de [Title.GetBaseName];Unterwerfung von [Title.GetBaseName];;Subordinación de [Title.GetBaseName];;;;;;;;;x
WAR_NAME_NOMAD_EXPANSION;$ORDER$$FIRST_ADJ$ War for $OTHER_TITLE$;$ORDER$Guerre $FIRST_ADJ$ pour $OTHER_TITLE$;$ORDER$$FIRST_ADJ$er Krieg um $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ Guerra por $OTHER_TITLE$;;;;;;;;;x
