#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
TOOLTIP_DISALLOW_TRUE_COGNATIC;Disallows Absolute Cognatic succession laws\n;Empêche la loi de succession cognatique\n;Verbietet absolut kognatische Erbfolgerechte\n;;No permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
TOOLTIP_ALLOW_TRUE_COGNATIC;Allows Absolute Cognatic succession laws\n;Autorise les lois de succession cognatique\n;Erlaubt absolut kognatische Erbfolgerechte\n;;Permite las leyes de sucesión absoluta consanguínea\n;;;;;;;;x
#TOOLTIP_ALLOW_ADDITIONAL_SUCCESSION_LAWS;Allows additional succession laws\n;Autorise les lois de succession supplémentaires.\n;Erlaubt zusätzliche Erbfolgerechte.\n;;Permite las leyes de sucesión adicional\n;;;;;;;;;x
#TOOLTIP_DISALLOW_ADDITIONAL_SUCCESSION_LAWS;Disallows additional succession laws\n;Empêche les lois de succession supplémentaires.\n;Verbietet zusätzliche Erbfolgerechte.\n;;No permite las leyes de sucesión adicional\n;;;;;;;;;x
opinion_powerful_vassal_not_voter;Wants Seat on the Council;Veut un siège au Conseil;Möchte einen Sitz im Rat;;Quiere un sitio en el Consejo;;;;;;;;;x
REQUEST_SUPPORT_INTERACTION_TITLE;Request Council Support;Demander du soutien au vote;Rat um Unterstützung bitten;;Solicitar el apoyo del Consejo;;;;;;;;;x
ASK_TO_DECLARE_WAR_INTERACTION_TITLE;Ask to Press Claims;Demander d'appuyer une revendication;Um Durchsetzung von Ansprüchen bitten;;Pedir presentar reclamaciones;;;;;;;;;x
change_council_job_desc;If you think that §Y[Root.GetTitledName]§! is better suited for another job on the council you can exchange [Root.GetHerHis] current council job for another one.;Si vous pensez qu'une autre fonction au sein du Conseil conviendrait mieux à §Y[Root.GetTitledName]§!, vous pouvez librement modifier celle-ci.;Wenn Ihr denkt, dass §Y[Root.GetTitledName]§! für eine andere Stelle im Rat besser geeignet ist, könnt Ihr die aktuelle Stelle dieser Person ändern.;;Si crees que §Y[Root.GetTitledName]§! es más adecuado para otro trabajo en el Consejo puedes cambiar [Root.GetHerHis] trabajo actual en el Consejo por otro.;;;;x
IS_AFFECTED_BY_AN_ACTIVE_REALM_PEACE;Is being affected by an active Realm Peace.;Est sous l'effet d'une paix imposée dans le pays.;Ist von einem aktiven Reichsfrieden betroffen.;;Se ve afectado por una Paz del Reino activa.;;;;;;;;;x
IS_NOT_AFFECTED_BY_AN_ACTIVE_REALM_PEACE;Is NOT being affected by an active Realm Peace.;N'est pas sous l'effet d'une paix imposée dans le pays.;Ist NICHT von einem aktiven Reichsfrieden betroffen.;;NO se ve afectado por una Paz del Reino activa.;;;;;;;;;x
#alert_high_infamy_instant;§YHigh Infamy§!;;§YHohe Infamie§!;;§YAlta Infamia§!;;;;;;;;;x
#alert_high_infamy_delayed;With §YInfamy§! over §Y25%§! you risk having a coalition forming against you! It will decline slowly over time but you can manually lower it by granting independence to non-dejure land.;;Bei mehr als §Y25 %§! §YInfamie§! riskiert Ihr, dass sich eine Koalition gegen Euch bildet! Sie sinkt mit der Zeit, aber Ihr könnt sie manuell verringern, indem Ihr nicht rechtmäßigem Land die Unabhängigkeit gewährt.;;¡Con una §YInfamia§! superior al §Y25% §! corres el riesgo que se forme una coalición contra ti!  Disminuirá lentamente con el tiempo pero puedes reducirla manualmente concediendo independencia a tierras no de jure.;;;;;;;;;x
#RELEASE_VASSAL_INTERACTION_0;Grant Independence to §Y[Recipient.GetTitledFirstName]§W. [Recipient.GetSubjectPronounCap] will be duly grateful (§G+$OPINION$§! Opinion, §G$INFAMY$%§! Infamy);;Gewährt §Y[Recipient.GetTitledFirstName]§W Unabhängigkeit. [Recipient.GetSubjectPronounCap] wird gebührend dankbar sein. (§G+$OPINION$§! Meinung, §G$INFAMY$ %§! Infamie);;Conceder la independencia a §Y[Recipient.GetTitledFirstName]§W. [Recipient.GetSubjectPronounCap] será debidamente agradecido (§G+$OPINION$§! Opinión, §G$INFAMY$%§! Infamia);;;;;;;;;x
#GRANT_LANDED_TITLE_INTERACTION_6;Grant the §Y[ThirdPartyTitle.GetFullName]§W and all titles under it to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§! and lower your infamy by §G$INFAMY$%§!.;;Die §Y[ThirdPartyTitle.GetFullName]§W und alle damit verbundenen Titel werden §Y[Recipient.GetTitledFirstName]§W gewährt, sodass sich seine/ihre Meinung von Euch um §G$OPINION$§! verbessert und Eure Infamie um §G$INFAMY$ %§! sinkt.;;Concede el §Y[ThirdPartyTitle.GetFullName]§W y todos los títulos que contenga a §Y[Recipient.GetTitledFirstName]§W, aumentando [Recipient.GetPossPronoun] opinión hacia en §G$OPINION$§! y bajando tu infamia en §G$INFAMY$%§!.;;;;;;;;;x
#GRANT_LANDED_TITLE_INTERACTION_1;Grant the §Y[ThirdPartyTitle.GetFullName]§W to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§! and lower your infamy by §G$INFAMY$%§!.;;Die §Y[ThirdPartyTitle.GetFullName]§W wird §Y[Recipient.GetTitledFirstName]§W gewährt, sodass sich [Recipient.GetTitledHerHis]e Meinung von Euch um §G$OPINION$§! verbessert und Eure Infamie um §G$INFAMY$ %§! sinkt.;;Concede el §Y[ThirdPartyTitle.GetFullName]§W  a §Y[Recipient.GetTitledFirstName]§W, aumentando [Recipient.GetPossPronoun] opinión hacia ti en §G$OPINION$§! y bajando tu infamia en §G$INFAMY$%§!.;;;;;;;;;x
