#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisiteur;[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;;;;;;;;;x
nick_the_purifier;the Purifier;l'Épurat[This.GetEurRice];der Läuterer;;el Purificador;;;;;;;;;x
String_man_at_arm;man at arm;homme d'armes;Bewaffneter;;hombre de armas;;;;;;;;;x
String_spahi;spahi;spahi;Spahi;;cipayo;;;;;;;;;x
MNM.6668.d;You have not exactly been discreet as of late - frequent and often times blatant use of [Root.Society.GetName]'s powers without any concern for secrecy has caused the [Root.Religion.GetPriestTitle]s to openly accuse you of apostasy!;Vous n'avez pas été discr[Root.GetEtEte] dernièrement - l'utilisation fréquente et souvent flagrante des pouvoirs [Root.GetSocietyNameDuDelaDes] a comme conséquence que les [Root.Religion.GetPriestTitle]s vous accusent ouvertement d'apostasie !;Ihr wart in letzter Zeit nicht gerade diskret. Euer häufiger und oft unverhohlener Gebrauch der Mächte des [Root.Society.GetName]-Zirkels ohne jegliche Geheimhaltung hat der/die [Root.Religion.GetPriestTitle] dazu gebracht, Euch öffentlich der Abtrünnigkeit zu bezichtigen!;;Últimamente no has mostrado mucha discreción. ¡Tu uso descarado de los poderes de [Root.Society.GetName] sin ningún cuidado ha provocado que los [Root.Religion.GetPriestTitle] te acusen abiertamente de apostasía!;;;;;;;;;x
opinion_accused_apostate;Accused of Apostasy;Accusation d'apostasie;Der Abtrünnigkeit bezichtigt;;Acusado de apostasía;;;;;;;;;x
accused_apostate;Branded Apostate;Marque d'apostasie;Als Abtrünniger gebrandmarkt;;Apóstata estigmatizado;;;;;;;;;x
accused_apostate_desc;This character has been accused of apostasy, whether or not the claim has any truth to it is another matter entirely...;Ce personnage a été accusé d'apostasie. Que l'affirmation soit vraie ou fausse est une autre histoire...;Diese Person wurde der Abtrünnigkeit bezichtigt, doch ob dieser Vorwurf der Wahrheit entspricht, ist eine gänzlich andere Frage ...;;Este personaje ha sido acusado de apostasía. Si la afirmación tiene algo de verdad, es otro tema completamente distinto...;;;;;;;;;x
accuse_rival_tooltip;Take this opportunity to get back at your rival and accuse [rival_target.GetHerHim] of apostasy. §Y[rival_target.GetBestName]§! might not be guilty - but your liege will be none the wiser either way...;Profitez de cette occasion pour prendre votre revanche contre votre rival en l'accusant d'apostasie. §Y[rival_target.GetBestName]§! pourrait ne pas être coupable, mais votre [Root.Liege.GetLordLady] lige ne s'en apercevra pas de toute façon...;Ergreift diese Gelegenheit, es Eurem Rivalen heimzuzahlen, beim Schopfe und bezichtigt [rival_target.GetBestName] der Abtrünnigkeit. §Y[rival_target.GetBestName]§! mag zwar unschuldig sein, doch Euer Lehnsherr wird auch nicht schlauer sein ...;;Aprovecha la oportunidad para acusar a tu rival de apostasía. Puede que §Y[rival_target.GetBestName]§! no sea culpable..., pero de todas formas, tu señor/a tampoco se enterará...;;;;;;;;;x
apostate_found_tooltip;You bring §Y[accused_apostate.GetBestName]§! to the court of §Y[Root.Liege.GetTitle] [Root.Liege.GetFirstName]§!, [Root.Liege.GetSheHe] will decide the fate of the apostate!;Vous amenez §Y[accused_apostate.GetBestName]§! à la cour de §Y[Root.Liege.GetTitle] [Root.Liege.GetFirstName]§!, [Root.Liege.GetIlElle] décidera du sort de l'apostat[accused_apostate.GetNoneE] !;Ihr bringt §Y[accused_apostate.GetBestName]§! an den Hof von §Y[Root.Liege.GetTitle] [Root.Liege.GetFirstName]§!, damit [Root.Liege.GetSheHe] über das Schicksal des Abtrünnigen entscheidet!;;Llevas a §Y[accused_apostate.GetBestName]§! a la corte de §Y[Root.Liege.GetTitle] [Root.Liege.GetFirstName]§! para que decida su destino.;;;;;;;;;x
MNM.70110.d.highly_suspected_society_member;After taking statement from multiple witnessess and closely examining [accused_apostate.GetHerHis] every move, you have gathered enough damning evidence to accuse [accused_apostate.GetBestName] of apostasy - [accused_apostate.GetSheHe] has obviously sworn allegiance to [accused_apostate.Society.GetName]! Your [Root.GetReligionWarriorPlural] are poised and ready to bring [accused_apostate.GetHerHim] to you in chains.;Après avoir écouté les multiples témoignages et examiné avec attention toutes ses allées et venues, vous avez rassemblé suffisamment de preuves accablantes pour accuser [accused_apostate.GetBestName] d'apostasie - [accused_apostate.GetIlElle] a juré allégeance à [accused_apostate.Society.GetName] ! Vos [Root.GetReligionWarriorPlural] sont prêts à vous l'amener enchaîné[accused_apostate.GetNoneE].;Nachdem Ihr mehrere Zeugen befragt und jeden [accused_apostate.GetHerHis]er Schritte genauestens untersucht habt, konntet Ihr genug belastendes Beweismaterial zusammentragen, um [accused_apostate.GetBestName] der Abtrünnigkeit zu bezichtigen. [accused_apostate.GetSheHeCap] hat ohne jeden Zweifel dem [accused_apostate.Society.GetName]-Zirkel die Treue geschworen! Eure [Root.GetReligionWarrior] stehen bereit, um [accused_apostate.GetBestName] in Ketten zu Euch zu bringen.;;Tras tomar declaración de varios testigos y escrutar sus actos, has reunido suficientes pruebas incriminatorias para acusar a [accused_apostate.GetBestName] de apostasía. ¡No hay duda de que le juró lealtad a [accused_apostate.Society.GetName]! Tus [Root.GetReligionWarrior]s están listos para traerte a esta persona encadenada.;;;;;;;;;x
