#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eunuch;Eunuch;Eunuque;Eunuch;;Eunuco;;;;;;;;;x
eunuch_desc;This character has been castrated and is a eunuch.;Ce personnage a été castré et est donc un eunuque.;Dieser Charakter wurde kastriert und ist ein Eunuch.;;Este personaje ha sido castrado y es un eunuco.;;;;;;;;;x
blinded;Blinded;La vue lui a été ôtée;Geblendet;;Cegado;;;;;;;;;x
blinded_desc;This character has been permanently blinded and cannot see.;Ce personnage a été aveuglé.;Dieser Charakter wurde seines Augenlichts beraubt und kann nicht sehen.;;Este personaje ha sido permanentemente cegado y no puede ver.;;;;;;;;;x
born_in_the_purple;Born in the Purple;Né dans la pourpre;Purpurgeboren;;Nacido en la púrpura;;;;;;;;;x
born_in_the_purple_desc;This character is porphyrogennetos - literally "born in the purple." It is an honor bestowed only to children born of a ruling Basileus or Basilissa in the Purple Chamber of the Imperial Palace. Their succession claim is stronger than that of older siblings born before their parents ascended the throne.;Ce personnage est un porphyrogénète - littéralement : 'né dans la pourpre'. C'est un honneur conféré seulement aux enfants nés dans la chambre pourpre d'un palais impérial et issus d'un basileus ou d'une basilissa. Leur prétention à la succession est plus forte que celle de leurs aînés nés avant que leurs parents ne deviennent empereurs.;Dieser Charakter ist porphyrogennetos – wortwörtlich purpurgeboren. Diese Ehre wird nur den Kindern eines regierenden Basileus oder einer regierenden Basilissa der Porphyra des Kaiserpalastes zuteil. Ihr Erbfolgeanspruch ist stärker als der älterer Geschwister, die geboren wurden, bevor ihre Eltern den Thron bestiegen.;;Este personaje es porphyrogennetos - literalmente "nacido en la púrpura". Es un honor otorgado sólo a los niños nacidos para reinar Brasileirus o Basileia en la Cámara Púrpura del Palacio Imperial. Su derecho de sucesión es más fuerte que el de sus hermanos mayores nacidos antes de que sus padres ascendieran al trono.;;;;;;;;;x
augustus;Augustus;Augustus;Augustus;;Augustus;;;;;;;;;x
augustus_desc;This character is the current ruler of the restored Roman Empire and commands the respect an office of such magnitude is due.;Ce personnage est l'actuel Empereur de l'Empire romain restauré. La grandeur de sa fonction impose le respect à tous.;Dieser Charakter ist der gegenwärtige Herrscher des wiederhergestellten Römischen Reiches und gebietet den Respekt, der einem Amt solcher Bedeutung gebührt.;;Este personaje es el gobernante actual del restaurado Imperio Romano e inspira el respeto que se debe a un cargo con tal magnitud.;;;;;;;;;x
title_imperial_eunuch;Parakoimomenos;Parakimomène;Parakoimomenos;;Parakoimomenos;;;;;;;;;x
title_imperial_eunuch_desc;The Parakoimomenos, "the one who sleeps beside the Emperor's chamber," is a prestigious office at the Imperial Court reserved for eunuchs, who are valued for their perceived loyalty and discretion.;Le Parakimomène, 'celui qui dort à côté de la chambre de l'Empereur', désigne une fonction prestigieuse de la Cour Impériale, réservée aux seuls eunuques. Ceux-ci sont reconnus pour leur loyauté et leur discrétion.;Der Parakoimomenos, "der neben der Kammer des Herrschers schläft", ist ein hochangesehenes Amt am Kaiserlichen Hof, das ausschließlich für Eunuchen reserviert ist, die für ihre erwiesene Loyalität und Diskretion geschätzt werden.;;El Parakoimomenos, "el que duerme al lado de la Cámara del Emperador", es un servicio prestigioso de la Corte Imperial reservado para los eunucos, que son valorados por su lealtad y discreción.;;;;;;;;;x
title_court_eunuch;Court Eunuch;Eunuque de la Cour;Hof-Eunuch;;Eunuco de la corte;;;;;;;;;x
title_court_eunuch_desc;Eunuchs perform many valued court functions and can be trusted in the presence of women.;Les eunuques remplissent de précieuses fonctions et avec la gent féminine on peut leur faire confiance.;Eunuchen nahmen eine Vielzahl hochangesehener Funktionen am Hofe wahr und man vertraute ihnen in der Gegenwart von Frauen.;;Los eunucos realizan muchas functiones valoradas de la corte y son de confiansa en presencia de mujeres.  ;;;;;;;;;x
vassal_castrate_decision;Castrate [Root.GetTitledFirstName];Castrer [Root.GetTitledFirstName];[Root.GetTitledFirstName] kastrieren;;Castrado [Root.GetTitledFirstName];;;;;;;;;x
