#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INSULT_PIGFACE;pigface;de face de cochon;[Root.GetGesichtskrapfenHackfresse];;caracerdo;;;;;;;;;x # child - chaste gluttonous
IDLE;Idle;§GAttend nos ordres§!;Untätig;;holgazán;;;;;;;;;x
ISNT_WICKED;Is not wicked;N'est pas une mauvaise personne;Ist nicht ruchlos;;No es malvado;;;;;;;;;x
IS_WICKED;Is wicked;Est une mauvaise personne;Ist ruchlos;;Es malvado;;;;;;;;;x
ISNT_VIRTOUS;Is not virtuous;N'est pas une personne vertueuse;Ist nicht tugendhaft;;No es virtuoso;;;;;;;;;x
IS_VIRTOUS;Is virtuous;Est une personne vertueuse;Ist tugendhaft;;Es virtuoso;;;;;;;;;x
ISNT_NEUTRAL;Is not neutral;N'est pas neutre;Ist nicht neutral;;No es neutral;;;;;;;;;x
IS_NEUTRAL;Is neutral;Est neutre;Ist neutral;;Es neutral;;;;;;;;;x
#SUCCESSION_DESC;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ at age [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. $DEATH_TRAIT_DESC$. Long live $NEW_TITLE$ $NEW_NAME$!;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$. Votre prédécesseur [GetDeathReason], à l'âge de [GetAgeYears] ans. $DEATH_TRAIT_DESC$. Longue vie à $NEW_NAME$, désormais notre $NEW_TITLE$ !;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ im Alter von [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. $DEATH_TRAIT_DESC$. Lang lebe $NEW_TITLE$ $NEW_NAME$!;;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ a los [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. $DEATH_TRAIT_DESC$. ¡Viva $NEW_TITLE$ $NEW_NAME$!;;;;;;;;;x
SM_EFFECT_VOLUME;Effect;Effets;Effekte;;Efecto;;;;;;;;;x
SM_MASTER_VOLUME;Master;Principal;Hauptlautstärke;;Principal;;;;;;;;;x
SM_MUSIC_VOLUME;Music;Musique;Musik;;Música;;;;;;;;;x
SM_DEATH_SOUND;Death Sounds;Sons des décès;Sterbegeräusche;;Sonidos de Muerte;;;;;;;;;x
ReapersDLC;The Reaper's Due;Notre dû à la Faucheuse (The Reaper's Due);Reaper's Due;;Reaper's Due;;;;;;;;;x
INSULT_OCCULTIST;occultist;de vil[Root.GetNoneE] occultiste;Okkultist[Root.GetinFemale];;ocultista;;;;;;;;;x # male female - mystic
INSULT_CORRUPT;corrupt;dépravée;korrupte;;corrupto;;;;;;;;;x # female - (bad_priest)
release_tributary;Release Tributary;Libérer le pays tributaire;Tributpflichtiges Reich entlassen;;Liberar tributario;;;;;;;;;x
release_tributary_desc;You can choose to stop protecting Tributary Realms sworn to you. Doing so will hurt your prestige, but will make you able to attack them again;Vous pouvez choisir de ne plus protéger un de vos pays tributaires. Le faire diminuera votre prestige, mais il sera possible de l'attaquer à nouveau.;Ihr könnt den Schutz von tributpflichtigen Reichen, die Euch die Treue geschworen haben, einstellen. Dadurch verliert Ihr zwar an Prestige, Ihr könnt sie dann jedoch wieder angreifen.;;Puedes elegir dejar de proteger los reinos tributarios que te juraron lealtad. Hacerlo dañará tu prestigio pero te permitirá volver a atacarlo.;;;;;;;;;x
employ_court_physician;Recruit Court Physician;Embaucher un physicien de la Cour;Hofarzt anheuern;;Contratar Médico de la corte;;;;;;;;;x
employ_court_physician_desc;Send out messengers in order to find a candidate for the position of §YCourt Physician§!. You will likely have to pay the candidate in order to entice them to your court. If you already have a §YCourt Physician§! and choose to employ a new one, the old one will be resigned from his or her post.;Envoyer des messagers afin de trouver un candidat pour le poste de §Yphysicien de la Cour§!. Vous aurez très probablement à payer le candidat afin qu'il rejoigne votre Cour. Si vous en avez déjà un et choisissez d'en employer un nouveau, l'ancien perdra son poste.;Sendet Boten aus, um einen Anwärter für die Stelle des §YHofarztes§! zu finden. Ihr müsst den Anwärter vermutlich bezahlen, um ihn dazu zu bewegen, an Euren Hof zu kommen. Solltet Ihr bereits einen §YHofarzt§! haben und einen neuen einstellen, wird der derzeitige von seinem Posten entlassen.;;Envías mensajeros para encontrar un/a candidato/a al puesto de §YMédico de la corte§!. Es probable que tengas que pagar al candidato/a para atraerlo/a a tu corte. Si ya tienes §YMédico de la corte§! y eliges contratar a uno nuevo, el anterior dimitirá de su cargo.;;;;;;;;;x
