#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC72056;Some gold will keep the servants quiet.;Un peu d'or rendra les serviteurs muets.;Etwas Gold wird die Bediensteten ruhigstellen.;;Algo de oro mantendrá a los siervos a raya.;;;;;;;;;x
VASSAL_RAISE_OPINION_DESC;For every §Y$DAYS$§! days that a vassal levy is raised during an offensive non-Crusade war, the vassal will get a §R-1§! Opinion of you;Lorsque les troupes d'un vassal sont levées durant une guerre offensive qui n'est pas une croisade, le vassal verra son opinion à votre égard changer de §R-1§! tous les §Y$DAYS$§! jours;Für alle §Y$DAYS$§! Tage, an dem ein Vasallen-Aufgebot während eines offensiven, nicht-Kreuzzugsbedingten Krieges ausgehoben ist, bekommt der Vasall eine Meinung von §R-1§! zu Euch;;Por cada §Y$DAYS$§! días que la leva de un vasallo es reclutada durante una ofensiva que no sea una cruzada, el vasallo obtendrá una opinión §R-1§! de tí.;;;;;;;;;x
WAR_START_YEAR;Start year: $YEAR$;Début du conflit : $YEAR$;Startjahr: $YEAR$;;Año de inicio: $YEAR$;;;;;;;;;x
WAR_START_YEAR_DESC;This war has lasted $YEARS$ years(s) and $MONTHS$ month(s);Cette guerre dure depuis $YEARS$ an(s) et $MONTHS$ mois;Dieser Krieg dauert $YEARS$ Jahr(e) und $MONTHS$ Monat(e) an;;Esta guerra ha durado $YEARS$ año(s) y $MONTHS$ mes(es);;;;;;;;;x
LEVY_PERC_DESC3;$THEM$ reserves §Y$PERC$%§! of each troop type as personal levy;$THEM$ se réserve §Y$PERC$%§! de chaque type de troupe comme contribution personnelle;$THEM$ behält §Y$PERC$%§! jedes Truppentyps als persönliches Aufgebot zurück;;$THEM$ reserva §Y$PERC$%§! de cada tipo de tropa como recluta personal.;;;;;;;;;x
DYNFAIL_DESC;With a score of $SCORE$, you have not accomplished anything of note.;Avec un score de $SCORE$, vous n'avez rien accompli de spécial.;Mit einem Ergebnis von $SCORE$ habt Ihr nichts Bemerkenswertes erreicht. ;;Con una puntuación de $SCORE$, no has conseguido nada notable.;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2B;Since we have a claim on it, our vassals will not object.;Puisque que nous avons une revendication, nos vassaux ne s'y opposeront pas.;Da wir Anspruch darauf haben, werden unsere Vasallen keinen Einspruch erheben.;;Tenemos derechos sobre ello, nuestros vasallos no pueden objetar nada.;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2C;Thanks to the crown authority in the §Y$CROWN_TITLE$§!, our vassals cannot object.;Grâce à l'autorité de la Couronne dans §Y$CROWN_TITLE$§!, nos vassaux ne s'y opposeront pas.;Dank der Autorität der Krone durch §Y$CROWN_TITLE$§! können unsere Vasallen keinen Einspruch erheben.;;Gracias a la autoridad de la corona en el §Y$CROWN_TITLE$§!, nuestros vasallos no pueden objetar nada.;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2D;Since §Y[Recipient.GetTitledFirstName]§! is a traitor, our vassals will not object.;Puisque §Y[Recipient.GetTitledFirstName]§! est coupable de trahison, nos vassaux ne s'y opposeront pas.;Da §Y[Recipient.GetTitledFirstName]§! ein Verräter ist, werden unsere Vasallen keinen Einspruch erheben.  ;;§Y[Recipient.GetTitledFirstName]§! es un traidor, nuestros vasallos no pueden objetar nada.;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2E;Since §Y[Recipient.GetTitledFirstName]§! is an infidel, only §Y[Recipient.Religion.GetName]§! vassals will object (§R$OPINION$§!).;Puisque §Y[Recipient.GetTitledFirstName]§! est un[Recipient.GetNoneE] infidèle, seuls nos vassaux de religion §Y[Recipient.Religion.GetName]§! s'y opposeront (§R$OPINION$§!).;Da §Y[Recipient.GetTitledFirstName]§! ungläubig ist, werden nur Vasallen, die Anhänger des §Y[Recipient.Religion.GetName]en§! Glaubens sind, Einspruch erheben (§R$OPINION$§!).;;§Y[Recipient.GetTitledFirstName]§! es un sucio §Y[Recipient.Religion.GetName]§!, nuestros vasallos no pueden objetar nada.;;;;;;;;;x
#VASSAL_OPINION_CHANGE;All vassals' opinion of §Y$ABOUT$§! changed by $MUCH$.\n;;Die Meinung aller Vasallen zu §Y$ABOUT$§! hat sich um $MUCH$ geändert.\n;;Las opiniones de todos los vasallos sobre §Y$ABOUT$§! han cambiado en $MUCH$.\n;;;;;;;;;x
LOADING_TIP_28;Buy a Papal Indulgence to gain more Piety.;Achetez une indulgence papale pour gagner plus de Piété.;Erwerbt einen päpstlichen Ablass, um die Frömmigkeit zu erhöhen.;;Comprar una Indulgencia Papal para ganar Piedad.;;;;;;;;;x
#LOADING_TIP_49;A 'demesne' is the collection of Castles, Cities and Temples held by one person.;;Ein "Herrschaftsgebiet" ist die Ansammlung von Burgen, Städten und Tempeln, die einer Person gehören.;;Una «heredad» es un conjunto de Castillos, Ciudades y Templos pertenecientes a una persona.;;;;;;;;;x
mission_holy_war_desc;The $ROOT_CHARACTERTITLE$has called for a $CRUSADE_NAME$ to take §Y$PROVINCE$§! from the §Y$TOPOWNERFULLNAME$§W!;Le $ROOT_CHARACTERTITLE$ a appelé à la $CRUSADE_NAME$ pour prendre §Y$PROVINCE$§! à §Y$TOPOWNERFULLNAME$§W!;Der $ROOT_CHARACTERTITLE$ hat einen $CRUSADE_NAME$ ausgerufen, um §Y$PROVINCE$§! von §Y$TOPOWNERFULLNAME$§W zu erobern!;;El $ROOT_CHARACTERTITLE$ ha llamado a $CRUSADE_NAME$ para tomar §Y$PROVINCE$§! de §Y$TOPOWNERFULLNAME$§W!;;;;;;;;;x
TOO_MANY_HELD_DUCHIES;Too Many Held Duchies;Trop de duchés possédés;Zu viele Herzogtümer in Besitz;;Demasiados Ducados mantenidos.;;;;;;;;;x
opinion_failed_plot;Failed Plot;Échec de la conspiration;Fehlgeschlagene Verschwörung;;Complot fallido.;;;;;;;;;x
e_il-khanate_adj;Mongol;mongole;Mongolisch;;Mongola;;;;;;;;;x
AIREASON_WILL_NOT_PLOT_AGAINST_OFFSPRING;Will not Plot against Offspring.;Ne conspirera pas contre sa descendance;Wird keine Verschwörung gegen die Nachkommen anzetteln.;;No haremos un Complot contra la descendencia.;;;;;;;;;x
AIREASON_CLAIM_ON_MY_TITLES;§Y[GetBestName]§! has claims on my titles.;§Y[GetBestName]§! revendique mes titres.;§Y[GetBestName]§! erhebt Ansprüche auf meine Titel.;;§Y[GetBestName]§! ha reclamado mis títulos.;;;;;;;;;x
AIREASON_HOSTAGE_SITUATION;Child would be a hostage in a foreign power;L'enfant serait otage d'une puissance étrangère;Das Kind wäre eine Geisel fremder Mächte;;El niño sería un rehén en manos de un poder extranjero;;;;;;;;;x
ASK_TO_LIFT_EXCOMMUNICATION_INTERACTION_0;Ask §Y[Actor.RelHead.GetTitledFirstName]§W to lift the excommunication of §Y[ThirdPartyCharacter.GetBestName]§W. This will cost you §R$COST$§W Piety.;Demander au §Y[Actor.RelHead.GetTitledFirstName]§W de lever l'excommunication de §Y[ThirdPartyCharacter.GetBestName]§W. Cela vous coûtera §R$COST$§W points en piété.;Bittet §Y[Actor.RelHead.GetTitledFirstName]§W darum, die Exkommunikation von §Y[ThirdPartyCharacter.GetBestName]§W aufzuheben. Dies wird Euch §R$COST$§W Frömmigkeit kosten.;;Pregunta a §Y[Actor.RelHead.GetTitledFirstName]§W para revocar la excomunión de §Y[ThirdPartyCharacter.GetBestName]§W. Esto te costará §R$COST$§W de Piedad.;;;;;;;;;x
ASK_FOR_DIVORCE_INTERACTION_0;Ask §Y[Actor.RelHead.GetTitledFirstName]§W for a divorce from §Y[Actor.Spouse.GetFirstName]§W. This will cost you §R$COST$§W [Player.Religion.GetPietyName] and, if granted, will be viewed as an insult by [Actor.Spouse.GetPossPronoun] relatives.;Demander au §Y[Actor.RelHead.GetTitledFirstName]§W l'annulation du mariage avec §Y[Actor.Spouse.GetFirstName]§W. Cela vous coûtera §R$COST$§W points de [Player.Religion.GetPietyName] et, si l'annulation est prononcée, cela sera considéré comme une insulte par sa famille.;Bittet §Y[Actor.RelHead.GetTitledFirstName]§W um eine Scheidung von §Y[Actor.Spouse.GetFirstName]§W. Dies wird Euch §R$COST$§W [Player.Religion.GetPietyName] kosten und sofern die Scheidung gewährt wird, wird dies von den Verwandten von [Actor.Spouse.GetFirstName] als Beleidigung aufgefasst werden.;;Solicita a §Y[Actor.RelHead.GetTitledFirstName]§W el divorcio de §Y[Actor.Spouse.GetFirstName]§W. Esto te costará §R$COST$§W de [Player.Religion.GetPietyName] y, si se te concede, será visto como un insulto a su familia.;;;;;;;;;x
#EVTNAME620;Successful [New.Religion.GetCrusadeName] for [Root.GetName]!;;Erfolgreiche [New.Religion.GetCrusadeName] für [Root.GetName]!;;¡[New.Religion.GetCrusadeName] satisfactorio para [Root.GetName]!;;;;;;;;;x
