#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AIREASON_ALL_HELP_IS_APPRECIATED;All help is appreciated;Toute aide est appréciable;Jegliche Hilfe ist willkommen;;Toda ayuda se agradece;;;;;;;;;x
RULER_JOINS_ENEMY_WAR_SETUP;A Ruler Joins a War against us;Un chef nous déclare la guerre ;Ein Herrscher schließt sich einem Krieg gegen uns an;;Un gobernante se une a una guerra contra nosotros;;;;;;;;;x
RULER_JOINS_ENEMY_WAR_LOG;§Y$WHO$§! has joined §Y$ENEMY$§! in the §Y$WAR$§!;§Y$WHO$§! a rejoint §Y$ENEMY$§! dans la §Y$WAR$§!;§Y$WHO$§! schließt sich §Y$ENEMY$§! im als §Y$WAR$§! bekannten Krieg an.;;§Y$WHO$§! Se ha unido a §Y$ENEMY$§! en la §Y$WAR$§!;;;;;;;;;x
joined_my_war;Joined my War;A rejoint ma guerre;Schloss sich meinem Krieg an;;Se ha unido a mi guerra;;;;;;;;;x
#d_venetian_navy;Venetian Navy;;Venezianische Marine;;Armada Veneciana;;;;;;;;;x
#d_venetian_navy_adj;Venetian;;Venezianisch;;Veneciana;;;;;;;;;x
#d_genoese_navy;Genoese Navy;;Genuesische Marine;;Armada Genovés;;;;;;;;;x
#d_genoese_navy_adj;Genoese;;Genuesisch;;Genovés;;;;;;;;;x
#d_hanseatic_navy;Hanseatic Navy;;Hanseatische Marine;;Armada Hanseática;;;;;;;;;x
#d_hanseatic_navy_adj;Hanseatic;;Hanseatisch;;Hanseática;;;;;;;;;x
#d_frisian_navy;Frisian Navy;;Friesische Marine;;Armada Frisia;;;;;;;;;x
#d_frisian_navy_adj;Frisian;;Friesisch;;Frisio;;;;;;;;;x
d_maghreb_corsairs;Maghreb Navy;Marine barbaresque;Maghreb Marine;;Armada Magrebí;;;;;;;;;x
d_maghreb_corsairs_adj;Maghreb;barbaresque;Maghrebinisch;;Magreb;;;;;;;;;x
k_frisia;Frisia;Frise;Friesland;;Frisia;;;;;;;;;x
k_frisia_adj;Frisian;frisonne;Friesisch;;Frisio;;;;;;;;;x
#k_lotharingia;Lotharingia;;Lothringen;;Lotaringia;;;;;;;;;x
#k_lotharingia_adj;Lotharingian;;Lothringisch;;Lotaringia;;;;;;;;;x
k_pomerania;Pomerania;Poméranie;Pommern;;Pomerania;;;;;;;;;x
k_pomerania_adj;Pomeranian;poméranienne;Pommersch;;Pomerania;;;;;;;;;x
k_bavaria;Bavaria;Bavière;Bayern;;Baviera;;;;;;;;;x
k_bavaria_adj;Bavarian;bavaroise;Bayerisch;;Bávaro;;;;;;;;;x
PLOT_TO_MURDER;Plot to Murder;Comploter pour assassiner;Mordanschlag;;Complot para asesinar a ;;;;;;;;;x
INITIAL_PLOT_POWER;Initial Plot Power;Puissance initiale du complot;Anfängliche Verschwörungsstärke;;Poder del complot inicial;;;;;;;;;x
TITLE_RATING_LOWER_THAN;Held Title Rating less than ;Rang du titre détenu inférieur à;Hielt Titel-Berechtigung weniger als;;Valoración del título en propiedad es menor de;;;;;;;;;x
TITLE_RATING_AT_LEAST;Held Title Rating at least ;Rang du titre détenu au moins égal à;Hielt Titel-Berechtigung mindestens;;Valoración del título en propiedad es al menos de;;;;;;;;;x
LOADING_TIP_48;Nominating someone a Bishop will disqualify him from succession;La nomination de quelqu'un comme évêque va le disqualifier de la succession;Jemanden als Bischof einzusetzen, entfernt ihn aus jeder Erblinie.;;Nombrar a alguien obispo le descalifica para la sucesión ;;;;;;;;;x
LOADING_TIP_50;Greedy and generally indulgent characters like gifts more;Les sujets gourmands et généralement indulgents aiment beaucoup les cadeaux ;Geizige und allgemein verschwenderische Charaktere mögen Geschenke mehr.;;Personajes codiciosos e indulgente generalmente les gustan más los regalos ;;;;;;;;;x
AIREASON_EAGER_TO_MURDER;Amoral;Amoral;Amoralisch;;Inmoral;;;;;;;;;x
AIREASON_RELUCTANT_TO_MURDER;Moral Qualms;Scrupules ;Moralische Skrupel;;Escrúpulos morales;;;;;;;;;x
TITLE_CANNOT_USURP_SAME_REALM;Cannot usurp a title from anyone in the same Realm unless you have a Strong Claim;Ne peut usurper un titre de quelqu'un dans le même Royaume, sauf si vous avez une Revendication;Man kann nicht einen Titel von jemandem desselben Reiches an sich reißen, außer man hat einen starken Anspruch;;No se puede usurpar un título de cualquier persona en el mismo reino a menos que tengas una reclamación ;;;;;;;;;x
REASONING;Reasoning;Raisonnement;Beweggründe;;Razonamiento;;;;;;;;;x
RulerDesignerDLC;Ruler Designer;Créateur de personnage (Ruler Designer);Ruler Designer;;Diseñador de las Reglas;;;;;;;;;x
PLOT_CONDITION_FOR_YOU;Must be true for you;Doit être vrai pour vous;Muss zutreffen auf:;;Debe ser cierto para ti;;;;;;;;;x
PLOT_CONDITION_FOR_TARGET;Must be true for $TARGET$;Doit être vrai pour $TARGET$;Muss auf $TARGET$ zutreffen;;Debe ser cierto para $TARGET$;;;;;;;;;x
ALREADY_HAVE_AMBITION;Already striving to $PLOT$;S'efforce déjà de $PLOT$;Strebt bereits einen $PLOT$ an;;Tratando de $PLOT$;;;;;;;;;x
SEND_GIFT_INTERACTION_LONG_DESC;Sending an expensive gift to characters will improve their opinion of you by an amount depending on your State Diplomacy and their greed. Characters in your realm will not be quite as appreciative of gifts as outsiders.;Envoyer un cadeau coûteux à des sujets permet de mieux vous apprécier selon votre diplomatie d'État et leur cupidité. Les sujets de votre Royaume ne seront un peu moins reconnaissants de vos dons que les étrangers.;Das Versenden teurer Geschenke an Charaktere wird deren Meinung über Euch um einen Wert, der von deren Gier und Eurer Staats-Diplomatie abhängig ist, erhöhen. Charaktere in Eurem Reich werden Geschenken nicht so anerkennend gegenüberstehen wie Reichsfremde.;;El envío de un regalo costoso a los personajes mejorará su opinión de ti, por una cantidad en función de su diplomacia del Estado y su codicia. Los personajes en su reino no serán tan agradecidos de los regalos como los extranjeros.;;;;;;;;;x
JOIN_ATTACKER_WARS_EFFECT;Will join [GetTitledName] in [GetPossPronoun] offensive wars;Rejoindra [GetTitledName] dans sa guerre offensive ;Wird sich [GetTitledName] in [GetPossPronoun]en offensiven Kriegen anschließen;;Se unirá a [GetTitledName] en [GetPossPronoun] guerras ofensivas ;;;;;;;;;x
JOIN_DEFENDER_WARS_EFFECT;Will join [GetTitledName] in [GetPossPronoun] defensive wars;Rejoindra [GetTitledName] dans sa guerre défensive ;Wird sich [GetTitledName] in [GetPossPronoun]en defensiven Kriegen anschließen;;Se unirá a [GetTitledName] en [GetPossPronoun] guerras defensivas ;;;;;;;;;x
IS_NOT_PRIMARY_WAR_ATTACKER;Is NOT the main attacker in a war;N'est pas l'attaquant principal dans une guerre;Ist NICHT der Hauptangreifer in einem Krieg;;NO es el atacante principal en una guerra;;;;;;;;;x
IS_PRIMARY_WAR_ATTACKER;Is the main attacker in a war;Est l'attaquant principal dans une guerre;Ist der Hauptangreifer in einem Krieg;;Es el principal atacante en una guerra;;;;;;;;;x
IS_NOT_PRIMARY_WAR_DEFENDER;Is NOT the main defender in a war;N'est pas le défenseur principal dans une guerre;Ist NICHT der Hauptverteidiger in einem Krieg;;NO es el principal defensor de una guerra;;;;;;;;;x
IS_PRIMARY_WAR_DEFENDER;Is the main defender in a war;Est le défenseur principal dans une guerre;Ist der Hauptverteidiger in einem Krieg;;Es el principal defensor de una guerra ;;;;;;;;;x
SET_DE_JURE_LIEGE_EFFECT;The §Y$LIEGE$§! becomes the new De Jure liege title of the §Y$VASSAL$§!;Le §Y$LIEGE$§! devient le nouveau seigneur de jure de §Y$VASSAL$§!;Der §Y$LIEGE$§! erhält den neuen De-jure-Titel eines Lehnsherren von den §Y$VASSAL$§!;;El §Y$LIEGE$§! se convierte en el nuevo señor de feudal de facto de los §Y$VASSAL$§!;;;;;;;;;x
CONTRIBUTION_PERC_IRO;$CHAR$'s Contribution: §Y$PERC$%§! (§Y$SCORE$§!);Contribution de $CHAR$ : §Y$PERC$%§! (§Y$SCORE$§!);$CHAR$s Beitrag: §Y$PERC$%§! (§Y$SCORE$§!);;Contribución de $CHAR$: §Y$PERC$%§! (§Y$SCORE$§!);;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_TITLE;Offer to Join War;Offrir de se joindre à la guerre;Kriegsbeitritt anbieten;;Oferta para unirse a la guerra;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_DESC;Offer to join §Y[Recipient.GetBestName]§! in one of [Recipient.GetPossPronoun] wars.;Offre de se joindre à §Y[Recipient.GetBestName]§! dans l'une de ses guerres.;Bietet an, Euch §Y[Recipient.GetBestName]§! in einem [Recipient.GetPossPronoun]er Kriege anzuschließen.;;Oferta para unirse a §Y[Recipient.GetBestName]§! en una de las guerras [Recipient.GetPossPronoun].;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_LONG_DESC;You can offer to join rulers of your own religion in many types of wars.;Vous pouvez proposer de rejoindre les souverains coreligionnaires dans de nombreux types de guerres.;Ihr könnt Herrschern Eurer eigenen Religion in vielen verschiedenen Kämpfen anbieten, sich ihnen anzuschließen.;;Puedes ofrecerte a unirte a gobernadores de tu misma religión en muchos tipos de guerras;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_0;Offer to join §Y[Recipient.GetBestName]§! in §Y$WAR$§!.;Offre de se joindre à §Y[Recipient.GetBestName]§! dans la §Y$WAR$§!.;Bietet §Y[Recipient.GetBestName]§! an, dass Ihr Euch in §Y$WAR$§! anschließt.;;Oferta para unirte a  §Y[Recipient.GetBestName]§! en §Y$WAR$§!.;;;;;;;;;x
ASK_TO_JOIN_WAR_INTERACTION_ACCEPT_SETUP;Offer to Join War Accepted;Offre de se joindre à la guerre acceptée;Angebot, sich dem Krieg anzuschließen, angenommen;;Oferta para unirte a la guerra aceptada;;;;;;;;;x
