#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HOLDINGS_DEC_LOSS;Holdings: ;Propriétés : ;Besitztümer: ;;Posesiones: ;;;;;;;;;x
TOTAL_DEC_DELTA;Total Decadence Contribution: ;Contribution totale à la Décadence : ;Gesamtbeitrag zur Dekadenz: ;;Contribución a la Decadencia Total: ;;;;;;;;;x
HAS_A_JOB_DEC;Has a Job: ;Possède une charge;Hat ein Amt: ;;Tiene un Trabajo: ;;;;;;;;;x
ON_JOB_DEC;Is on Job Action: ;Est en mission : ;führt eine Amtsaufgabe aus: ;;Está en una Misión: ;;;;;;;;;x
CHAR_STATUS_PILGRIM;§Y$NAME$§! is on a Pilgrimage;§Y$NAME$§! est en pèlerinage;§Y$NAME$§! ist auf Pilgerfahrt;;§Y$NAME$§! está peregrinando;;;;;;;;;x
EVTDESC1070;As I listened to the Hafiz correctly continue the recitation of a passage taken randomly from the Qur'an, I marveled at the piety of the man. To submit the whole Qur'an to memory, all 114 Surahs, is a feat only the most zealous Muslim could perform.;Tout en écoutant le Hafiz réciter sans fautes un verset du Coran, choisi au hasard, je m'émerveillais de sa piété : Seuls les musulmans les plus zélés sont capables de mémoriser les cent quatorze sourates du Coran.;Als ich dem Hafiz zuhörte, wie er eine zufällige Passage aus dem Qur'an aufsagte, war ich von seiner Pietät beeindruckt. Sich den gesamten Qur'an, alle 114 Suren, einzuprägen ist eine Leistung, die nur die frömmsten Muslime vollbringen können.;;Mientras escuchaba como el Hafiz continuaba recitando correctamente un pasaje al azar del Corán, me maravillé de la piedad de aquel hombre. Conocer el Corán de memoria, sus 114 Suras, es una labor que sólo el musulmás más fiel puede realizar.;;;;;;;;;x
EVTOPTA1070;May Allah hear my words, I will memorize the whole Qur'an!;Qu'Allah m'en soit témoin : j'apprendrai le Coran dans son intégralité !;Bei Allah, ich werde den gesamten Qur'an auswendig lernen!;;Que Alá escuche mis palabras, ¡Voy a memorizarme todo el Corán!;;;;;;;;;x
EVTOPTB1070;Marvelous! But it must be such a chore...;Merveilleux ! Mais quelle corvée...;Fantastisch! Aber das muss eine Heidenarbeit sein...;;¡Maravilloso! Pero debe ser tan tedioso...;;;;;;;;;x
aspiring_hafiz;Aspiring Hafiz: committing the Qur'an to memory;Apprenti Hafiz : engagé dans l'apprentissage du Coran;aufstrebender Hafiz: lernt den Qur'an auswendig;;Aspirante a Hafiz: Aprendiendo el Corán de memoria;;;;;;;;;x
EVTDESC1071;I feel nervous as I stand before the imam, waiting for him to choose and start reciting a random passage from the Qur'an which I must then continue reciting correctly. He has chosen:\n\nWhen the Qur'an is read...;Me tenir en face de l'Imam me rend nerveux. J'attends qu'il choisisse et débute la récitation d'un verset du Coran choisi au hasard. Je devrais en poursuivre la récitation sans fautes. Il a choisi : \n\n« Et quand on récite le Coran...;Ich stehe nervös vor dem Imam und warte darauf, dass er eine zufällige Passage aus dem Qur'an auswählt und beginnt, sie aufzusagen, woraufhin ich sie dann korrekt beenden muss. Er hat sich für eine entschieden:\n\n Und wenn der Qur'an vorgetragen wird...;;Me muero de los nervios mientras me encuentro ante el Imám, esperando a que escoja y comience a recitar un pasaje aleatorio del Corán que yo debo continuar recitando correctamente. Ya ha hecho su elecion: \nCuando el Corán está siendo leido...;;;;;;;;;x
EVTOPTA1071;...listen to it with attention and hold your peace that ye may receive Mercy;...prêtez-lui l'oreille attentivement et observez le silence, afin que vous obteniez la miséricorde;...dann hört ihm zu und horcht hin, auf dass ihr Erbarmen finden möget!;;...escucha con atención y mantente en paz y así recibirás la Gracia;;;;;;;;;x
aspiring_faqih;A Student of Fiqh, Islamic Law;Un étudiant du Fiqh, la loi islamique;Ein Gelehrter des Fiqh, des islamischen Rechts;;Estudiante de la Fiqh, la Ley Islámica;;;;;;;;;x
EVTDESC5080;A faqih is an expert in 'fiqh' which is knowledge of legislative rulings, pertaining to the actions of man, as derived from their detailed evidences. I have been asked if I would like to study with some of the best fuqaha of [Root.Location.GetName] so that I may one day become one of the greatest jurists of the Islamic world.;Un faqîh est un expert du « fiqh », la connaissance des décisions législatives portant sur les actions de l'homme, telles qu'elles découlent de l'examen de preuves détaillées. Il m'a été proposé d'étudier auprès des meilleurs fuqaha' de [Root.Location.GetName] dans l'espoir de devenir, un jour, l'un des plus grand juriste du monde musulman.;Ein Faqih ist ein Rechtsgelehrter, der auf Basis des Qur'an Recht von Unrecht zu unterscheiden weiß. Ich wurde gefragt, ob ich von einigen der besten Faqihs aus [Root.Location.GetName] lernen möchte, um eines Tages vielleicht einer der größten Juristen der islamischen Welt zu werden.;;Un faquí es un experto en la 'fiqh' que es el conociemiento de los mandatos de la ley, relativos a las acciones de los hombres, provenientes de sus detalladas evidencias. Me han preguntado si querría estudiar con algunos de los mejores faquís de [Root.Location.GetName] para que algún día pueda convertirme en uno de los más importantes juristas del mundo Islámico.;;;;;;;;;x
EVTOPTA5080;This is an opportunity I don't dare say 'no' to;C'est une opportunité que je n'ose refuser.;Dies ist eine Gelegenheit, die ich nicht auszulassen wage;;Una oferta que no he podido rechazar;;;;;;;;;x
EVTOPTB5080;It sounds like an awful lot of work... No, thank you;Cela semble être beaucoup trop de travail... Non merci;Das klingt nach einer Menge Arbeit... Nein, danke;;Suena como un trabajo duro...No, gracias;;;;;;;;;x
EVTDESC5081;A year of studying fiqh has left my poor head weary. The other faqihs are merciless in their demands, I am to study the Qur'an, the Sunnah, Ijma' (Consensus) and Qiyas (Analogy) to prepare myself for the last exam, then I may call myself a faqih.;Une année d'étude du fiqh a embrouillée ma pauvre tête. Les exigences des autres fuqaha' sont sans pitié. Je dois étudier le Coran, la Sunna, l'Idjmâ‘ (le consensus) et la Qiyâs (l'analogie) pour me préparer à l'ultime examen. Après cela, je pourrais prétendre être un faqîh.;Ein Jahr Studium des Fiqh und mir dröhnt der Schädel. Die anderen Faqihs sind gnadenlos in ihren Erwartungen. Ich muss nicht nur den Qur'an studieren, sondern auch die Sunna, Idschma (Konsens) und Qiyas (Analogie), um mich auf die Abschlussprüfung vorzubereiten. Erst dann darf ich mich selbst einen Faqih nennen.;;Tras un año estudiando la fiqh ya no sé donde tengo la cabeza. Los otros faquís son inmisericardes en sus exigencias, estoy estudiando el Corán, la Sunna, la Ijma (Consenso) y el Qiyas (Analogía) para prepararme para el último exámen, después ya seré un faquí.;;;;;;;;;x
EVTOPTA5081;I cannot quit now, so close to becoming a faqih...;Je ne peux pas abandonner maintenant. Je suis si proche de devenir un faqîh...;Ich kann jetzt nicht aufgeben, ich bin so kurz davor, ein Faqih zu werden;;No puedo abandonar, ya queda tan poco para ser un faquí...;;;;;;;;;x
EVTOPTB5081;I give up, this is not the life I want...;J'abandonne, ce n'est pas la vie que je souhaite...;Ich gebe auf. Das ist nicht das Leben, das ich mir wünsche;;Abandono, esta no es la vida que deseo...;;;;;;;;;x
EVTDESC5082;I have finally become an expert in Islamic jurisprudence! My knowledge of the Qur'an, the Sunnah, Ijma' (Consensus) and Qiyas (Analogy) is what makes me a faqih and I will use that knowledge to be a better [Root.GetTitle] and ruler of my people.;Je suis enfin devenu un expert en jurisprudence islamique ! Ma connaissance du Coran, de la Sunna, de l'Ijmâ (le consensus) et de la Qiyâs (l'analogie) font de moi un faqîh. J'emploierai mon savoir pour devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetTitle] et guide pour mon peuple.;Ich bin endlich ein Experte des islamischen Rechts! Mein Wissen um den Qur'an, die Sunna, Idschma (Konsens) und Qiyas (Analogie) macht mich zu einem Faqih und ich werde dieses Wissen nutzen, um ein besserer [Root.GetTitle] und Herrscher zu sein.;;¡Ya soy un experto en jurisprudencia Islámica! Mis conocimientos del Corán, la Sunna, la Ijma (Consenso) y el Qiyas (Analogía) es lo que me hace un faquí y usaré esos conocimientos para ser un mejor [Root.GetTitle] y gobernante para mi pueblo.;;;;;;;;;x
EVTOPTA5082;I am proud to have become a faqih!;Je suis fi[Root.GetErEre]d'être devenu[Root.GetNoneE] un faqîh !;Ich bin stolz darauf, ein Faqih geworden zu sein!;;¡Estoy orgulloso de ser un faquí!;;;;;;;;;x
EVTOPTB5082;I will use the knowledge but not the title;J'emploierai le savoir mais n'en prendrai pas le titre;Ich werde das Wissen verwenden, aber nicht den Titel;;Usaré mis conocimientos pero no el título;;;;;;;;;x
REALM_SIZE_MULTIPLIER_DEC;Realm Size Multiplier: ;Multiplicateur de la taille du pays : ;Multiplikator durch Reichsgröße;;Multiplicador por Tamaño del Reino: ;;;;;;;;;x
DEMESNE_FRACTION_DESC;Head of Dynasty Demesne Multiplier: ;Multiplicateur du domaine du chef de la dynastie : ;Domänenmultiplikator für Dynastie-Oberhaupt;;Multiplicador de la Heredad por Jefe de la Dinastía: ;;;;;;;;;x
DEC_GAIN;Gain: ;Gain : ;Anstieg: ;;Aumento: ;;;;;;;;;x
DEC_GAINREDUCTION;Gain Reduction: ;Réduction : ;Senkung: ;;Reducción del aumento: ;;;;;;;;;x
DEC_MEMBER_CONTR;Monthly Decadence Gain: ;Gain mensuel de décadence : ;Monatlicher Dekadenzanstieg: ;;Aumento de la Decadencia mensual: ;;;;;;;;;x
EVTNAME20043;[Root.Liege.GetLordSpiritualName] is Trampled by Mob;La foule piétine notre [Root.Liege.GetLordSpiritualName];[Root.Liege.GetLordSpiritualName] wurde vom Pöbel niedergetrampelt;;[Root.Liege.GetLordSpiritualName] es pisoteado por la muchedumbre;;;;;;;;;x
EVTNAME20048;[Root.Liege.GetLordSpiritualName] Pockets Charity Money;Les dons sont empochés par notre [Root.Liege.GetLordSpiritualName];[Root.Liege.GetLordSpiritualName] streicht die Spendengelder ein;;[Root.Liege.GetLordSpiritualName] se queda con el dinero de la caridad;;;;;;;;;x
EVTNAME902;Heathens Attack the [Root.Liege.GetLordSpiritualName];Les infidèles attaquent notre [Root.Liege.GetLordSpiritualName];Heiden greifen den [Root.Liege.GetLordSpiritualName] an;;Los infieles atacan al [Root.Liege.GetLordSpiritualName];;;;;;;;;x
EVTOPTA8300;Deus Vult!;Deus Vult!;Deus Vult!;;¡Deus Vult!;;;;;;;;;x
EVTOPTA8301;Masha'Allah!;Ma cha‘Allah !;Masha'Allah!;;¡Masha'Allah!;;;;;;;;;x
