#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ADD_AMBITION_EFFECT;$CHAR$ gains the ambition §Y$OBJECTIVE$§!\n;$CHAR$ acquiert l'ambition : §Y$OBJECTIVE$§!\n;$CHAR$ erhält die Ambition §Y$OBJECTIVE$§!\n;;$CHAR$ gana la ambición §Y$OBJECTIVE$§!\n;;;;;;;;;x
CANCEL_AMBITION_EFFECT;$CHAR$ loses the ambition §Y$OBJECTIVE$§!\n;$CHAR$ perd l'ambition : §Y$OBJECTIVE$§!\n;$CHAR$ verliert die Ambition §Y$OBJECTIVE$§!\n;;$CHAR$ pierde la ambición §Y$OBJECTIVE$§!\n;;;;;;;;;x
ADD_PLOT_EFFECT;$CHAR$ gains the plot §Y$OBJECTIVE$§!\n;$CHAR$ remporte le complot §Y$OBJECTIVE$§!\n;$CHAR$ erhält die Verschwörung §Y$OBJECTIVE$§!\n;;$CHAR$ gana la conspiración §Y$OBJECTIVE$§!\n;;;;;;;;;x
CANCEL_PLOT_EFFECT;$CHAR$ loses the plot §Y$OBJECTIVE$§!\n;$CHAR$ perd le complot : §Y$OBJECTIVE$§!\n;$CHAR$ verliert die Verschwörung §Y$OBJECTIVE$§!\n;;$CHAR$ pierde la conspiración §Y$OBJECTIVE$§!\n;;;;;;;;;x
HAS_AMBITION;Has Ambition;A de l'ambition;Hat Ambitionen;;Tiene ambición;;;;;;;;;x
HAS_AN_AMBITION;Has an Ambition;A une ambition;Hat eine Ambition;;Tiene una ambición;;;;;;;;;x
HAS_NO_AMBITION;Has no Ambition;N'a pas d'ambition;Hat keine Ambition;;No tiene ambición;;;;;;;;;x
HAS_CONFLICTING_AMBITION;Has conflicting Ambition with $CHAR2$.;A une ambition conflictuelle avec $CHAR2$.;Hat widersprüchliche Ambitionen mit $CHAR2$.;;Tiene una ambición en conflicto con $CHAR2$.;;;;;;;;;x
REL_PENTARCHS;Pentarchs;Pentarques;Pentarchen;;Pentarcas;;;;;;;;;x
REL_PENTARCHS_DESC;The Pentarchs were the original five Patriarchs of the Christian Church. Their authority as autocephalous Patriarchs over their respective ancient sees is still recognized within the Orthodox church. All five Orthodox Pentarchs must exist in order to heal the Great Schism within Christianity (Catholicism vs Orthodoxy).;Les Pentarques étaient les cinq patriarches de l'Église chrétienne primitive. L'autorité dont ils bénéficiaient en tant que Patriarches autocéphales sur leurs antiques sièges épiscopaux est aujourd'hui encore reconnue par l'Église Orthodoxe. Les cinq pentarchies doivent être rétablies pour pouvoir mettre fin au schisme qui sépare les catholiques et les orthodoses et ainsi réunifier la chrétienté.;Die Pentarchen waren die ursprünglichen fünf Patriarchen der christlichen Kirche. Ihre Autorität als autokephale Patriarchen in ihren jeweiligen alten Bischofssitzen wird in der orthodoxen Kirche noch immer anerkannt. Alle fünf orthodoxen Pentarche müssen existieren, um das große Schisma innerhalb des Christentums zu heilen. (Katholizismus vs. Orthodoxie);;Los Pentarcas fueron los cinco primeros patriarcas de la iglesia cristiana. Su autoridad como patriarcas autocéfalos sobre sus antiguas diócesis es aún se reconoce en el seno de la iglesia ortodoxa. Los cinco Pentarcas ortodoxos deben existir para curar e;;;;;;;;;x
opinion_liege_vs_faction;Faction Member;Membre de faction ;Fraktionsmitglied;;Miembro de la facción;;;;;;;;;x
AI_DEFENDING_AGAINST_EXTERNAL_THREAT;I am under attack by a dangerous external Power;Je fais face à une attaque provenant d'une dangereuse puissance exterieure.;Ich werde von einer gefährlichen externen Macht attackiert.;;Estoy bajo el ataque de un peligroso Poder externo;;;;;;;;;x
BM_KOMNENOS_DYNASTY;The Alexiad;L'Alexiade;Die Alexiade;;La Alexiada;;;;;;;;;x
