#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
seize_trade_post_desc;As a Patrician, §Y$CLAIMANT$§! can declare war on §Y$TARGET$§! over the §Y$TITLE$§!. This Casus Belli is not valid against much weaker Patricians within the same Republic.;En tant que patricien, §Y$CLAIMANT$§! peut déclarer la guerre à §Y$TARGET$§! pour le §Y$TITLE$§!. Ce casus belli n'est pas utilisable contre les patriciens de rang inférieur de la même république.;Als ein Patrizier, §Y$CLAIMANT$§! kann §Y$TARGET$§! für §Y$TITLE$§! den Krieg erklären. Dieser Casus Belli ist nicht gültig gegen wesentlich schwächere Patrizier innerhalb der gleichen Republik.;;Como patricio, §Y$CLAIMANT$§! puede declarar la guerra a §Y$TARGET$§! por §Y$TITLE$§!;;;;;;;;;x
opinion_rival_republic;Rival Republic;République rivale ;Gegnerische Republik;;República rival;;;;;;;;;x
EVTDESC_REP_070;The merchants running one of your Trade Posts have abandoned their allegiance to your dynasty! They now serve one of the patrician families in the newly born Hansa, claiming that the upstart trade league affords them better opportunities to profit.;Les marchands ayant la charge d'un de vos comptoirs ont rompu leur allégeance envers votre maison ! Ils sont à présent au service d'un des familles patriciennes de la récente Hanse, prétendant que cette ambitieuse ligue commerciale leur offre de meilleures opportunités.;Die Kaufleute, die einen Ihrer Handelsposten leiten, haben Ihrer Dynastie die Gefolgschaft aufgekündigt! Sie arbeiten jetzt für eine der Patrizierfamilien in der neu geborenen Hanse, mit der Behauptung, dass dieses Handelsbündnis von Emporkömmlingen ihnen bessere Möglichkeiten bietet, zu profitieren.;;¡Los mercaderes que dirigen uno de tus puestos de comercio han terminado su relación con tu familia! Ahora sirven a la recién creada Hansa, con la excusa de que la nueva liga comercial les permite mayores oportunidades de beneficios. ;;;;;;;;;x
EVTOPTA_REP_070;Ingrates!;Ingrats !;Undankbare!;;¡Ingratos!;;;;;;;;;x
PATRICIAN_DEMESNE_BONUS;Patrician;Patricien;Patrizier;;Patricio;;;;;;;;;x
CANT_BUILD_TRADEPOST_OTHERREP;Is not owned by other Merchant Republic;Ne doit pas être détenu par une autre république maritime;Wird nicht von einer anderen Handelsrepublik besessen;;No forma parte de otra República Mercante;;;;;;;;;x
opinion_royal_marriage;Marriage Ties;Liens par mariage;Ehebünde;;Vinculos matrimoniales;;;;;;;;;x
AIREASON_REPUBLICS_REFUSE_REVOKE;Merchant Republics will not give up titles;Les républiques maritimes ne vont pas abandonner de titre;Handelsrepubliken werden Titel nicht aufgeben;;Las repúblicas mercantiles no reparten títulos;;;;;;;;;x
INTERACTION_CAN_AFFORD_THE_COST;Can afford the cost of $COST$¤;Peut dépenser $COST$ ¤;Kann sich die Kosten von $COST$¤ leisten;;Puedes gastar $COST$¤;;;;;;;;;x
INTERACTION_RECIPIENT_NOT_EMBARGOING;§Y[Recipient.GetTitledFirstName]§! is not already embargoing §Y[ThirdPartyCharacter.GetTitledFirstName]§!;§Y[Recipient.GetTitledFirstName]§! n'a pas mis sous embargo §Y[ThirdPartyCharacter.GetTitledFirstName]§!;§Y[Recipient.GetTitledFirstName]§! hat noch kein Embargo gegen §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;§Y[Recipient.GetTitledFirstName]§! no tiene a §Y[ThirdPartyCharacter.GetTitledFirstName]§! bajo embargo;;;;;;;;;x
INTERACTION_RECIPIENT_NOT_TRUCE;§Y[Recipient.GetTitledFirstName]§! does not have a truce with §Y[ThirdPartyCharacter.GetTitledFirstName]§!;§Y[Recipient.GetTitledFirstName]§! n'a pas signé de trêve avec §Y[ThirdPartyCharacter.GetTitledFirstName]§!;§Y[Recipient.GetTitledFirstName]§! hat noch keine Waffenruhe mit §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;§Y[Recipient.GetTitledFirstName]§! no tiene firmada una tregua con §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;;;;;;;;x
INTERACTION_ACTOR_NOT_TRUCE;§Y[Actor.GetTitledFirstName]§! does not have a truce with §Y[ThirdPartyCharacter.GetTitledFirstName]§!;§Y[Actor.GetTitledFirstName]§! n'a pas signé de trêve avec §Y[ThirdPartyCharacter.GetTitledFirstName]§!;§Y[Actor.GetTitledFirstName]§! hat noch keine Waffenruhe mit §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;§Y[Actor.GetTitledFirstName]§! no tiene firmada una tregua con §Y[ThirdPartyCharacter.GetTitledFirstName]§!;;;;;;;;;x
AIREASON_PRIMARY_IN_WARS;Primary participant in a war;Belligérant principal dans une guerre;Primärer Teilnehmer in einem Krieg;;Contendiente principal en una guerra;;;;;;;;;x
AIREASON_MINOR_IN_WARS;Minor participant in a war;Belligérant secondaire dans une guerre;Sekundärer Teilnehmer in einem Krieg;;Contendiente adicional en una guerra;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_TITLE;Ask to Embargo;Demander un embargo;Zum Embargo auffordern;;Pedir un embargo;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_DESC;Ask §Y[Recipient.GetBestName]§W to declare an Embargo War against a rival Merchant Republic.;Demander à §Y[Recipient.GetBestName]§W de mettre sous embargo une république marchande rivale.;Fordert §Y[Recipient.GetBestName]§W auf, einen Embargokrieg gegen eine rivalisierende Handelsrepublik zu erklären.;;Pide a §Y[Recipient.GetBestName]§W que declare una Guerra por Embargo contra una república mercantil rival.;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_LONG_DESC;You can weaken a rival Merchant Republic and open up coastal counties for your Trade Posts by convincing a ruler to embargo them. Money usually does the trick. However, if you lose the war, §Yyou§! will pay war reparations.;Vous pouvez affaiblir une république marchande rivale et libérer la côte pour vos propres comptoirs en convaincant un seigneur de les mettre sous embargo. Un peu d'argent fera en général l'affaire. Toutefois, si vous veniez à perdre la guerre, §Yvous§! devrez régler les frais engagés dans cette guerre.;Ihr könnt eine rivalisierende Handelsrepublik schwächen und Küstenprovinzen für Eure Handelsposten öffnen, indem Ihr einen Herrscher auffordert, sie mit einem Embargo zu belegen. Geld führt meist zum gewünschten Ergebnis. Wenn Ihr allerdings den Krieg verliert, müsst §YIhr§! die Reparationszahlungen leisten.;;Puedes debilitar a una república mercantil rival y liberar condados costeros para tus puestos comerciales convencionando al gobernante para que les declare un embargo. Muchas veces se consigue con dinero. Sin embargo, si pierdes la guerra §Ydeberás§! pagar las indemnizaciones pertinentes.;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_0;Select a rival Merchant Republic to embargo.;Choisissez une république marchande rivale à mettre sous embargo.;Wählt eine rivalisierende Handelsrepublik für ein Embargo aus.;;Selecciona a que republica mercantil embargar;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_1;Have §Y[Recipient.GetTitledFirstName]§! declare an Embargo War on §Y[ThirdPartyCharacter.GetTitledFirstName]§! and §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§! together with you. Offer §Y$GOLD$§!¤ to sweeten the deal. §RIf you lose the war, you will pay the war reparations.§!;Demander à §Y[Recipient.GetTitledFirstName]§! de mettre conjointement à vous, §Y[ThirdPartyCharacter.GetTitledFirstName]§! et §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§! sous embargo. Appuyer votre requête avec §Y$GOLD$§!¤. §RSi vous perdez cette guerre, vous serez tenu de payer les réparations de guerre.§!; Lasst §Y[Recipient.GetTitledFirstName]§! zusammen mit Euch einen Handelskrieg gegen §Y[ThirdPartyCharacter.GetTitledFirstName]§! und §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§! führen. Biete §Y$GOLD$§!¤, um das Angebot zu versüßen. §RFalls Ihr den Krieg verliert, müsst Ihr die Reparationszahlungen leisten.§! ;;Convencer a §Y[Recipient.GetTitledFirstName]§! para que junto a ti declareis una Guerra por Embargo sobre §Y[ThirdPartyCharacter.GetTitledFirstName]§! y sobre §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§!. Ofrece §Y$GOLD$§!¤ para endulzar el acuerdo. §RSi pierdes la guerra tendrás que pagar las indemnizaciones pertinentes.§!;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_ACCEPT_SETUP;Embargo Request Accepted;Requête d'embargo acceptée;Embargoaufforderung akzeptiert.;;Petición de embargo aceptada;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetTitledName]§! and §Y[Actor.GetTitledName]§! have declared a joint Embargo War on §Y[ThirdPartyCharacter.GetDynName]§!;§Y[Recipient.GetTitledName]§! conjointement à §Y[Actor.GetTitledName]§! ont déclaré un embargo contre §Y[ThirdPartyCharacter.GetDynName]§!;§Y[Recipient.GetTitledName]§! und §Y[Actor.GetTitledName]§! haben einen gemeinsamen Embargokrieg gegen §Y[ThirdPartyCharacter.GetDynName]§! erklärt.;;§Y[Recipient.GetTitledName]§! y §Y[Actor.GetTitledName]§! declararon una Guerra conjunta de Embargo sobre §Y[ThirdPartyCharacter.GetDynName]§!;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_OFFER;[Actor.GetTitledName] is offering us $COST$¤ to embargo [ThirdPartyCharacter.GetTitledFirstName] and [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName].;[Actor.GetTitledName] nous propose de mettre sous embargo [ThirdPartyCharacter.GetTitledFirstName] et [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName] contre la somme de $COST$¤.;[Actor.GetTitledName] bietet uns $COST$¤, um [ThirdPartyCharacter.GetTitledFirstName] und [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName] mit einem Embargo zu belegen.;;[Actor.GetTitledName] nos ofrece $COST$¤ por embargar a [ThirdPartyCharacter.GetTitledFirstName] y a [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName].;;;;;;;;;x
ASK_TO_EMBARGO_INTERACTION_LETTER;The insidious [ThirdPartyCharacter.PrimaryTitle.GetAdjective] traders must be expelled from your lands. If you agree to declare an Embargo War on [ThirdPartyCharacter.GetTitledName], we will not only join the war on your side but also present you with $COST$¤. Should we fail, [Actor.PrimaryTitle.GetName] will pay any war reparations.;Les insidieux commerçants [ThirdPartyCharacter.PrimaryTitle.GetAdjective] doivent être boutés hors de vos terres. Si vous êtes d'accord pour imposer un embargo à [ThirdPartyCharacter.GetTitledName], non seulement nous nous joindrons à vous dans cette guerre mais nous vous offrons également la coquette somme de $COST$¤. Quand bien même nous échouerions, [Actor.PrimaryTitle.GetName] couvrira les dépenses de guerre.;Die heimtückischen [ThirdPartyCharacter.PrimaryTitle.GetAdjective] Händler müssen von Eurem Land entfernt werden. Falls Ihr einwilligt, einen Embargokrieg gegen [ThirdPartyCharacter.GetTitledName] zu erklären, werden wir nicht nur an Eurer Seite kämpfen, sondern Euch auch $COST$¤ überreichen. Sollten wir verlieren, wird [Actor.PrimaryTitle.GetName] alle Reparationszahlungen leisten.;;Los pérfidos mercaderes [ThirdPartyCharacter.PrimaryTitle.GetAdjective] deben ser expulsados de tus tierras. Si estás de acuerdo en declarar una Guerra por Embargo sobre [ThirdPartyCharacter.GetTitledName], no sólo nos uniremos a la guerra a tu lado, si no que te daremos $COST$¤. En caso de perder, [Actor.PrimaryTitle.GetName] pagará las indemnizaciones de guerra.;;;;;;;;;x
INTERACTION_REQUIRES_TARGET_IS_MERCHANT_REPUBLIC;§Y[ThirdPartyCharacter.PrimaryTitle.GetName]§! is a Merchant Republic;§Y[ThirdPartyCharacter.PrimaryTitle.GetName]§! est une république marchande;§Y[ThirdPartyCharacter.PrimaryTitle.GetName]§! ist eine Handelsrepublik;;§Y[ThirdPartyCharacter.PrimaryTitle.GetName]§! es una República Mercantil;;;;;;;;;x
ANY_ATTACKER_STARTS;Any Attacker;Tout assaillant;Jeder Angreifer;;Cualquier atacante;;;;;;;;;x
ANY_DEFENDER_STARTS;Any Defender;Tout défenseur;Jeder Verteidiger;;Cualquier defensor;;;;;;;;;x
EVTDESC295;After careful consideration, I have decided to accept your suggestion. Together, we shall force the [Root.PrimaryTitle.GetAdjective] traders out of [From.PrimaryTitle.GetName]!\n\n[From.GetTitledFirstName];Après un examen attentif, j'ai décidé de satisfaire à votre requête. Ensemble, nous forcerons les marchands [Root.PrimaryTitle.GetAdjective] à abandonner [From.PrimaryTitle.GetName]!\n\n[From.GetTitledFirstName];Nach sorgfältigem Überlegen habe ich mich entschlossen, Euren Vorschlag anzunehmen. Vereint werden wir die [Root.PrimaryTitle.GetAdjective] Händler aus [From.PrimaryTitle.GetName] vertreiben!\n\n[From.GetTitledFirstName];;Después de pensarlo mucho, he decidido aceptar tu sugerencia. Juntos podremos expulsar a los mercaderes [Root.PrimaryTitle.GetAdjective] de [From.PrimaryTitle.GetName]!\n\n[From.GetTitledFirstName];;;;;;;;;x
EVTDESC296;Honestly, I find your embargo suggestion against [Root.PrimaryTitle.GetName] rather ludicrous. Why should I favor one money-grubbing Republic over another?\n\n[From.GetTitledFirstName];En fin de compte, je trouve votre suggestion d'embargo contre [Root.PrimaryTitle.GetName] tout à fait risible. Pourquoi devrais-je favoriser une des républiques assoiffées d'or plutôt qu'une autre ?\n\n[From.GetTitledFirstName];Um ehrlich zu sein, ich finde Euren Vorschlag des Embargos gegen [Root.PrimaryTitle.GetName] lächerlich. Warum sollte ich eine gierige Republik einer anderen bevorzugen?\n\n[From.GetTitledFirstName];;Sinceramente, encuentro tu sugerencia de embargar a [Root.PrimaryTitle.GetName] bastante absurda. ¿Por qué debería favorecer a una avariciosa república sobre otra?\n\n[From.GetTitledFirstName];;;;;;;;;x
CONQUEROR_HOME_CULTURE;Cultural Bonds;Liens culturels;Kulturelle Verbindungen;;Lazos culturales;;;;;;;;;x
AIREASON_SUPPORT_FOR_CONQUEROR;Home Support for Conqueror;Renforts pour le conquérant;Heimatliche Unterstützung des Eroberers;;Apoyo local para el Conquistador;;;;;;;;;x
k_hansa;The Hansa;La Hanse;Die Hanse;;La Hansa;;;;;;;;;x
k_hansa_adj;Hanseatic;hanséatique;Hanseatisch;;Hanseática;;;;;;;;;x
called_into_war;Called into War;Appelé à rejoindre une guerre;In den Krieg gerufen;;Llamado a la guerra;;;;;;;;;x
city_kingdom_of_german;Merchant League of;Ligue marchande de;Handelsbündnis von;;Liga Mercantil de;;;;;;;;;x
city_kingdom_german;Merchant League;Ligue marchande;Handelsbündnis;;Liga Mercantil;;;;;;;;;x
opinion_bribed_tp;Bribed over Trade Post;Corruption à propos d'un comptoir ;Bestechung wegen eines Handelspostens;;Sobornado sobre el puesto de comercio;;;;;;;;;x
opinion_thwarted_tp_destruction;Thwarted Destruction of Trade Post;A contrecarré la destruction du comptoir ;Zerstörung eines Handelspostens abgewendet;;Frustrada destrucción del puesto de comercio;;;;;;;;;x
TRADEPOST_COST_OP_EFFECT;§Y$LIEGE$§!'s opinion of you: $EFFECT$;Opinion de §Y$LIEGE$§! envers vous : $EFFECT$;§Y$LIEGE$s§! Meinung über Euch: $EFFECT$;;La opinión de tu §Y$LIEGE$§! sobre ti: $EFFECT$;;;;;;;;;x
#DESTROY_TRADEPOST_EFFECT;The Trade Post in $LOCATION$ is destroyed;;Der Handelsposten in $LOCATION$ ist zerstört;;El puesto de comercio en $LOCATION$ ha sido destruido;;;;;;;;;x
