#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AIREASON_CAN_PAY_OWN_RANSOM;§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom;§Y[GetTitledFirstName]§! peut payer sa propre rançon;§Y[GetTitledFirstName]§! Kann [GetHerHis] Lösegeld selbst zahlen;;§Y[GetTitledFirstName]§! puede permitirse su propio rescate;;;;;;;;;x
AIREASON_MARRIAGE_DOES_NOT_MATCH_BETROTHAL;Marriage type does not match the betrothal;Le type de mariage ne correspond pas aux fiançailles;Die Art der Ehe passt nicht zur Art der Verlobung;;El tipo de matrimonio no coincide con el compromiso;;;;;;;;;x
appointment;Appointment;Nomination;Verabredung;;Nombramiento;;;;;;;;;x
AIREASON_WILL_NOT_BE_CONSORT_INFIDELS;§Y[GetTitledFirstName]§! must not become the concubine of an infidel;§Y[GetTitledFirstName]§! ne doit pas entrer en concubinage avec un infidèle;§Y[GetTitledFirstName]§! darf nicht die Konkubine eines Ungläubigen werden;;§Y[GetTitledFirstName]§! no debe convertirse en la concubina de un infiel;;;;;;;;;x
SPLIT_IN_HALF_UNIT;Split in Half;Scinder en deux;Zweiteilen;;Partir por la mitad;;;;;;;;;x
SPLIT_IN_HALF_UNIT_DRO;Split this unit into two units of approximately equal strength. Units with very large regiments may not be possible to split evenly.;Divise cette unité en deux nouvelles de force approximativement égale. Il se peut que la répartition ne soit pas tout à fait équilibrée si votre unité comporte de très grands régiments.;Teilen Sie diese Einheit in zwei etwa gleich starke Einheiten. Einheiten mit sehr großen Regimentern können eventuell nicht gleichmäßig geteilt werden.;;Divide esta unidad en dos unidades de aproximadamente la misma fuerza. Es posible que las unidades con regimientos muy grandes no puedan dividirse de forma uniforme.;;;;;;;;;x
succ_appointment;Appointment;Nomination;Verabredung;;Nombramiento;;;;;;;;;x
succ_appointment_desc;On death, all titles revert back to the liege.;À la mort du détenteur, tous les titres reviennent au seigneur lige.;Beim Tod fallen alle Titel an den Lehnsherrn zurück.;;Al morir, todos los títulos retornan al señor.;;;;;;;;;x
papal_succession;Papal Succession;Succession pontificale;Päpstliche Nachfolge;;Sucesión papal;;;;;;;;;x
succ_papal_succession;Papal Succession;Succession pontificale;Päpstliche Nachfolge;;Sucesión papal;;;;;;;;;x
succ_papal_succession_desc;The Pope is elected by the College of Cardinals depending on age, piety, popularity and other factors.;Le Pape est élu par le Collège des Cardinaux selon son âge, sa piété, sa popularité, entre autres facteurs.;Der Papst wird vom Kardinalskollegium aufgrund von Alter, Frömmigkeit, Beliebtheit und anderen Faktoren gewählt.;;El Papa es elegido por el Colegio Cardenalicio en función de su edad, piedad, popularidad y otros factores.;;;;;;;;;x
COMMANDER;Commander;Commandant;Kommandant;;Comandante;;;;;;;;;x
FAMILY_PALACE;Family Palace;Palais familial;Familienpalast;;Palacio Familiar;;;;;;;;;x
HAS_LOWER_SCORE_THAN;Has Lower Score than ;Possède un score inférieur à;Hat niedrigeren Punktstand als ;;Tiene una puntuación inferior a;;;;;;;;;x
HAS_HIGHER_SCORE_THAN;Has Score of at least ;Possède un score d'au moins;Hat mindestens einen Punktstand von ;;Tiene una puntuación igual o superior a;;;;;;;;;x
