#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAME62951;Ragnarr's Curse;Malédiction de Ragnarr;Ragnarrs Fluch;;La maldición de Ragnarr;;;;;;;;;x
EVTDESC62951;The cowardly king Ælla is kneeling before me in the mud, refusing to meet my eyes. The men call out for various punishments - some more creative than others. I call for silence and a hush descends as the raven banner flutters eagerly above the doomed man. It is time to exact revenge for my dead father, Ragnarr...;Ælla, le roi lâche, s'agenouille dans la boue devant moi en baissant le regard. Les hommes demandent différents châtiments – certains étant plus créatifs que d'autres. J'appelle au silence. Le calme tombe tandis que la bannière du corbeau bat au gré d'un vent violent au-dessus de l'homme maudit. L'heure est venue de venger mon défunt père, Ragnarr...;Der feige König Ælla kniet vor mir im Staub und wagt es nicht, mir in die Augen zu sehen. Die Männer fordern die verschiedensten Strafen, manche davon sehr originell. Ich gebiete Ruhe und die Männer verstummen, während das Rabenbanner über dem Todgeweihten munter flattert. Nun schlägt die Stunde der Rache. Vergeltung für meinen toten Vater Ragnarr ...;;El rey cobarde Ælla está de rodillas ante de mí en el barro, negándose a mirarme a los ojos. Los hombres claman varios castigos, algunos más creativos que otros. Pido silencio y este cae igual que el estandarte del cuervo ondea con entusiasmo encima del hombre condenado. Es el momento de vengar a mi difunto padre, Ragnarr.;;;;;;;;;x
EVTOPTA62951;Carve the Blood Eagle!;Mutilez l'Aigle de sang !;Bestraft ihn mit einem Blutadler!;;!Esculpe el águila de sangre!;;;;;;;;;x
EVTOPTB62951;Sacrifice him to Odin!;Sacrifiez-le à Odin !;Bringt ihn Odin zum Opfer dar!;;!Sacrifícale a Odín!;;;;;;;;;x
EVTOPTC62951;Four balls for the Ravens!;Quatre balles pour les Corbeaux !;Reißt ihm die Augen und Hoden heraus!;;!Cuatro pelotas para los Cuervos!;;;;;;;;;x
EVTOPTD62951;I have other plans for Ælla...;J'ai d'autres plans pour Ælla...;Ich habe andere Pläne mit Ælla ...;;Tengo otros planes para Ælla...;;;;;;;;;x
EVTDESC62952;The last thing I saw before the heathen savages carved out my eyes was the horrible grin on [From.GetFirstName]'s face. I tried to curl up as they prepared to unman me...;La dernière chose que j'ai vue avant que ces sauvages hérétiques ne m'arrachent les yeux, ce fut un infâme sourire sur le visage de [From.GetFirstName]. J'ai tenté de me recroqueviller alors qu'ils se préparaient à m'émasculer...;Das Letzte, was ich sah, bevor mir diese heidnischen Wilden die Augen aus dem Kopf schnitten, war das schreckliche Grinsen von [From.GetFirstName]. Ich versuchte mich zusammenzukrümmen, als sie sich anschickten, mich zu entmannen ...;;La œltima cosa que vi antes de los salvajes paganos me sacaran los ojos fue la sonrisa horrible en la cara de [From.GetFirstName]. Traté de acurrucarme mientras se preparaban a quitarme la virilidad...;;;;;;;;;x
EVTOPTA62952;ARRRRGH!;ARRRRGH !;ARRRRGH!;;Raaabiaaa!;;;;;;;;;x
AIREASON_IN_OTHER_WAR;In Other War;Dans une autre guerre;In einem anderen Krieg;;En otra guerra;;;;;;;;;x
AIREASON_BUSY_RAIDING;Raiding;En train de piller;Auf Raubzug;;Asaltando;;;;;;;;;x
WRONG_RELIGION_MODIFIER;Wrong Religion;Mauvaise religion;Falsche Religion;;Religión incorrecta;;;;;;;;;x
WRONG_CULTURE_MODIFIER;Wrong Culture;Mauvaise culture;Falsche Kultur;;Cultura incorrecta;;;;;;;;;x
opinion_infidel_tribal_liege;Infidel;Infidèle;Ungläubiger;;Infiel;;;;;;;;;x
opinion_heretic_tribal_liege;Heretic;Hérétique;Ketzer;;Hereje;;;;;;;;;x
opinion_related_religion_tribal_liege;Religious Differences;Différences religieuses;Religiöse Unterschiede;;Diferencias religiosas;;;;;;;;;x
AIREASON_TRIBAL_VASSAL_PRESTIGE_HIT;Would cost me too much prestige;Coûterait trop de prestige;Die Prestigekosten wären zu hoch;;Me costaría demasiado prestigio;;;;;;;;;x
opinion_granted_other_vice_royalty;Feudal opinion of granted Viceroyalties;Opinion féodale pour l'attribution de vice-royautés;Feudalmeinung für vergebene Vizekönigreiche;;Opinión feudal sobre nombrar virreyes;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_8;Granting a Viceroyalty will lower all of your feudal duke and king subjects' opinion of you by §R$OPINION$§!.;Attribuer une vice-royauté diminuera de §R$OPINION$§! l'opinion envers vous de vos vassaux de rang ducal et royal.;Diese verringert Euer Ansehen bei Euren Herzogs- und Königsvasallen um §R$OPINION$§!.;;Nombrar a un virrey reducirá la opinión de tus duques feudales y de los súbditos del rey en §R$OPINION$§!.;;;;;;;;;x
NOT_ANY_PREVIOUS_HOLDER_STARTS;No Previous Holder;Aucun titulaire antérieur;Kein früherer Inhaber;;Sin dueño anterior;;;;;;;;;x
tribal_build_zeal_ARMY_OF;$RELIGION$ Zealots of $CHARACTER$;Fanatiques de foi $RELIGION$ de $CHARACTER$;$RELIGION$e Zeloten von $CHARACTER$;;$RELIGION$ fanáticos $CHARACTER$ ;;;;;;;;;x
tribal_organize_raid_ARMY_OF;Raiders of $CHARACTER$;Pillards de $CHARACTER$;Plünderer von $CHARACTER$;;$CHARACTER$ incursores;;;;;;;;;x
tribal_build_legend_ARMY_OF;Warriors of $CHARACTER$;Guerriers de $CHARACTER$;Krieger von $CHARACTER$;;$CHARACTER$ guerreros;;;;;;;;;x
tribal_build_zeal_ARMY;$RELIGION$ Zealots;Fanatiques de foi $RELIGION$;$RELIGION$e Zeloten;;$RELIGION$ fanáticos;;;;;;;;;x
tribal_organize_raid_ARMY;Raiders;Troupe pillarde;Plünderer;;Incursores;;;;;;;;;x
tribal_build_legend_ARMY;Warriors;Troupe guerrière;Krieger;;Guerreros;;;;;;;;;x
expel_saint_anthony;Expel the Order of Saint Anthony;Expulser l'Ordre de saint Antoine;Vertreibt den Orden des Heiligen Antonius;;Expulsar a la Orden de San Antonio;;;;;;;;;x
expel_saint_anthony_desc;I can drive the Order of Saint Anthony from my realm and seize their castles. However, it is a very impious thing to do...;Je peux expulser l'Ordre de saint Antoine de mon pays et m'emparer de leurs commanderies. Ce serait par contre un acte des plus impies...;Ich kann den Orden des Heiligen Antonius aus meinem Reich vertreiben und mir ihre Burgen aneignen. Das ist jedoch eine sehr unfromme Tat ...;;Puedo echar a la Orden de San Antonio de mi reino y apoderarme de sus castillos. Sin embargo, es una acción muy impía...;;;;;;;;;x
ISNT_CROWN_LAW_TITLE;Is not a Crown Law title;Ceci n'est pas un titre du droit de la Couronne;Ist kein Titel des Kronrechts;;No es un título de Derecho de la Corona;;;;;;;;;x
IS_CROWN_LAW_TITLE;Is a Crown Law title;Ceci est un titre du droit de la Couronne;Ist ein Titel des Kronrechts;;Es un título legal de la Corona;;;;;;;;;x
LAW_UNLOCKS;Laws unlocked: ;Lois débloquées : ;Gesetze freigeschaltet: ;;Leyes desbloqueadas:;;;;;;;;;x
DECISION_UNLOCKS;Decisions unlocked: ;Décisions débloquées : ;Entscheidungen freigeschaltet: ;;Decisiones desbloqueadas: ;;;;;;;;;x
ALLOW_FREE_DUCHY_REVOKATION_ON;Revocation of duchy titles free.\n;Aucune pénalité pour la révocation des titres de duché.\n;Freie Aberkennung von Herzogstiteln.\n;;Permite revocación de títulos de ducados.;;;;;;;;;x
ALLOW_FREE_DUCHY_REVOKATION_OFF;Revocation of duchy titles no longer free.\n;Pénalités applicables pour la révocation des titres de duché.\n;Keine weitere freie Aberkennung von Herzogstiteln.\n;;No permite la revocación de títulos de ducados.;;;;;;;;;x
LIEGE_LEVY_DESC_VICE_ROY;\n   Viceroyalty: $VALUE$;\n   Vice-royauté : $VALUE$;\n   Vizekönigreiche: $VALUE$;;\n  Virreinato: $VALUE$;;;;;;;;;x
TITLE_NOT_VICE_ROYALTY;Title is not a Viceroyalty;Ce titre n'est pas une vice-royauté.;Titel ist kein Vizekönigstitel;;El título no es un virreinato;;;;;;;;;x
tribal_king_female;Queen;Reine;Königin;;Reina;;;;;;;;;x
tribal_emperor_female;Empress;Impératrice;Kaiserin;;Emperatriz;;;;;;;;;x
temple_duke_female_pagan_group;Archpriestess;Archiprêtresse;Erzpriesterin;;Reina sacerdotisa;;;;;;;;;x
temple_king_female_pagan_group;Queen-Priestess;Reine-prêtresse;Priesterkönigin;;Reina Sacerdotisa;;;;;;;;;x
temple_emperor_female_pagan_group;Emperor;Empereur;Kaiserin;;Emperador;;;;;;;;;x
AIREASON_SAME_RELIGION_AS_REGENT;Same religion as me;Religion identique à la mienne;Gehört meiner Religion an;;La misma religión que yo;;;;;;;;;x
expel_the_haruriyyah;Expel the Haruriyyah;Expulser les Haruriyyah;Vertreibt die Haruriyyah;;Expulsar a los Haruriyyah;;;;;;;;;x
expel_the_haruriyyah_desc;I can drive the Haruriyyah from my realm and seize their castles. However, it is a very impious thing to do...;Je peux expulser les Haruriyyah de mon pays et m'emparer de leurs commanderies. Ce serait par contre un acte des plus impies...;Ich kann die Haruriyyah aus meinem Reich vertreiben und ihre Burgen beschlagnahmen. Allerdings wäre das leider nicht sehr fromm ...;;Puedo manejar a los Haruriyyah de mi reino y arrebatarles sus castillos. No obstante, eso sería una acción muy impía...;;;;;;;;;x
borrow_money_haruriyyah;Borrow 300¤ from the Haruriyyah;Emprunter 300¤ aux Haruriyyah;Leiht Euch 300¤ von den Haruriyyah;;Pedir 300¤ prestados a los Haruriyyah;;;;;;;;;x
