#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MODIFIER_COMBAT_RATING;Personal Combat Skill;Compétence de combat personnelle;Persönliche Kampffertigkeit;;Destreza de Combate Personal;;;;;;;;;x
GOD_THE_CREATOR;the Creator;le Créateur;der Schöpfer;;el Creador;;;;;;;;;x
GOD_BRAHMA;Brahma;Brahma;Brahma;;Brahma;;;;;;;;;x
GOD_SATURN;Saturn;Saturne;Saturn;;Saturno;;;;;;;;;x
scholar_desc;This character leads the life of a scholar, poring over books and corresponding with the finest minds in the known world.;Ce personnage vit en érudit. Il se plonge dans les livres et correspond avec les esprits les plus brillants du monde connu.;Diese Person führt das Leben eines Gelehrten, wälzt Bücher und tauscht sich brieflich mit den größten Denkern der bekannten Welt aus.;;Este personaje lleva la vida de un erudito, estudiando libros y carteándose con las mejores mentes del mundo conocido.;;;;;;;;;x
#HAVE_NOT_RELIGION;Is NOT;N'est pas;ist NICHT;;NO es;;;;;;;;;x
#alert_available_targetted_decision_instant;§YYou Can Now§!;;§YIhr könnt nun§!;;§YAhora Puedes§!;;;;;;;;;x
#alert_available_targetted_decision_delayed;The following Character Interactions are available:\n$LIST$;;Die folgenden Personeninteraktionen sind verfügbar:\n$LIST$;;Los siguientes Interacciones con Personajes son realizables:\n$LIST$;;;;;;;;;x
EVTOPTA_WOL_2100_3;Midgets, shoes... No! [target_spy_on.GetFirstName] is having an affair with a feisty goat!;Des nains, des chaussures... [target_spy_on.GetIlElleCap] a une liaison avec une chèvre fougueuse !;Zwerge, Schuhe... Nein! [target_spy_on.GetFirstName] hat eine Affäre mit einer widerborstigen Ziege!;;Enanos, zapatos... No! [target_spy_on.GetFirstName] está teniendo relaciones con una cabra!;;;;;;;;;x
EVTOPTA_WOL_2100_5;[target_spy_on.GetSubjectPronounCap] murdered a childhood friend at the tender age of 11!;[target_spy_on.GetIlElleCap] a assassiné un ami d'enfance à l'âge de 11 ans !;[target_spy_on.GetSubjectPronounCap] ermordete einen Spielgefährten im zarten Alter von 11 Jahren!;;[target_spy_on.GetSubjectPronounCap] asesinó an un amiguito cuando tenía 11 años!;;;;;;;;;x
EVTOPTA_WOL_2100_6;[target_spy_on.GetSubjectPronounCap] has an imaginary friend called Bappo!;[target_spy_on.GetIlElleCap] a un ami imaginaire appelé Bappo !;[target_spy_on.GetSubjectPronounCap] hat einen unsichtbaren Freund namens Bappo!;;[target_spy_on.GetSubjectPronounCap] tiene un amigo imaginario llamado Bápo!;;;;;;;;;x
EVTOPTA_WOL_2100_8;[target_spy_on.GetSubjectPronounCap] leads a secret life as a prostitute in a brothel in [target_spy_on.Capital.Capital.GetName]!;[target_spy_on.GetIlElleCap] se prostitue secrètement dans un bordel à [target_spy_on.Capital.Capital.GetName] !;[target_spy_on.GetSubjectPronounCap] führt ein Doppelleben als Prostituierte/r in einem Freudenhaus in [target_spy_on.Capital.Capital.GetName]!;;[target_spy_on.GetSubjectPronounCap] lleva una vida secreta como prostituta en un burdel en [target_spy_on.Capital.Capital.GetName]!;;;;;;;;;x
EVTOPTB_WOL_2300;No, I can trust [intrigue_spymaster.GetObjectPronoun];Non, je peux avoir confance en [intrigue_spymaster.GetLuiElle];Nein, ich kann [intrigue_spymaster.GetObjectPronoun] vertrauen;;No, yo puedo fiarme de [intrigue_spymaster.GetObjectPronoun];;;;;;;;;x
EVTOPTB_WOL_2071;Aha! Now I can call off my spies.;Ah ha ! Je peux maintenant rappeler mes espions.;Ach so! Nun kann ich meine Spione zurückpfeifen.;;Ah! Ahora puedo retirar mis espías.;;;;;;;;;x
EVTOPTF_WOL_2080;I see, but I think it is time to spy on someone else.;Je vois... Il est temps d'espionner quelqu'un d'autre.;Verstehe, aber ich glaube, dass es an der Zeit ist, meine Spione auf jemand anderen anzusetzen.;;Muy bien, pero creo que ahora es el momento de espiar a otra persona.;;;;;;;;;x
EVTOPTC_WOL_2100;No... I think it is time to spy on someone else.;Non... Je pense qu'il est temps d'espionner quelqu'un d'autre.;Nein... ich glaube, dass es an der Zeit ist, meine Spione auf jemand anderen anzusetzen.;;No... creo que ahora toca espiar a otra persona.;;;;;;;;;x
EVTDESC_WOL_2065;I am not having much luck spying on [FromFromFrom.GetTitledFirstName]. Perhaps I should focus my efforts elsewhere?;Espionner [FromFromFrom.GetTitledFirstName] ne donne pas grand-chose. Peut-être devrais-je trouver une autre cible ?;Das Ausspionieren von [FromFromFrom.GetTitledFirstName] hat nicht viel gebracht. Vielleicht sollte ich meine Anstrengungen auf ein anderes Ziel ausrichten?;;No estoy teniendo mucha suerte espiando a [FromFromFrom.GetTitledFirstName]. Quizás debo poner mis esfuerzos en otro lado?;;;;;;;;;x
