#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RCLK_TO_SELECT;§GRight-click to Select§!;§GClic droit pour sélectionner§!;§GRechtsklickt zur auswahl§!;;§GHaz clic derecho para seleccionar§!;;;;;;;;;x
vassal_sacrifice_decision;Sacrifice;Sacrifier;Opfert;;Sacrifica;;;;;;;;;x
vassal_sacrifice_decision_named;Sacrifice [Root.GetFirstName];Sacrifier [Root.GetFirstName];Opfert [Root.GetFirstName];;Sacrifica a [Root.GetFirstName];;;;;;;;;x
break_up_with_lover_named;Break up with [Root.GetFirstName];Rompre avec [Root.GetFirstName];Von [Root.GetFirstName] trennen;;Romper la relación con [Root.GetFirstName];;;;;;;;;x
seduce_decision_named;Seduce [Root.GetFirstName];Séduire [Root.GetFirstName];[Root.GetFirstName] verführen;;Seducir [Root.GetFirstName];;;;;;;;;x
decision_spy_on_named;Spy On [Root.GetFirstName];Espionner [Root.GetFirstName];Spionieren an [Root.GetFirstName];;Espiar a [Root.GetFirstName];;;;;;;;;x
decision_break_free_named;Free [Root.GetFirstName] from Captivity;Libérer [Root.GetFirstName] de sa captivité;[Root.GetFirstName] vom gefangenschaft befreien;;Liberar a [Root.GetFirstName] de la cautividad;;;;;;;;;x
invite_to_party_named;Invite [Root.GetFirstName] to Carousing;Inviter [Root.GetFirstName] à faire ribote;[Root.GetFirstName] zu Zecherei einladen;;Invitar a [Root.GetFirstName] a Juerga;;;;;;;;;x
duel_decision_named;Duel [Root.GetFirstName];Se battre en duel avec [Root.GetFirstName];Duelliere mit [Root.GetFirstName];;Batir en duelo con [Root.GetFirstName];;;;;;;;;x
legitimize_bastard;Legitimize;Légitimer;Legitimieren;;Legitimar;;;;;;;;;x
legitimize_bastard_named;Legitimize [Root.GetTitledFirstName];Légitimer [Root.GetTitledFirstName];[Root.GetTitledFirstName] legitimieren;;Legitimar a [Root.GetTitledFirstName];;;;;;;;;x
convince_to_straighten_up_named;Convince [Root.GetTitledFirstName] to Straighten up;Convaincre [Root.GetTitledFirstName] de se reprendre en main;[Root.GetTitledFirstName] zur Besserung überreden;;Convencer a [Root.GetTitledFirstName] a enderezarse;;;;;;;;;x
send_child_into_hiding;Send into Hiding;Cacher;Ins Versteck schicken;;Esconder;;;;;;;;;x
send_child_into_hiding_named;Send [Root.GetFirstName] into Hiding;Envoyer [Root.GetFirstName] se cacher;Schickt [Root.GetFirstName] ins Versteck;;Enviar a [Root.GetFirstName] a la Clandestinidad;;;;;;;;;x
take_child_out_of_hiding;Take out of Hiding;Sortir de sa cachette;Aus dem Versteck holen;;Sacar de la Clandestinidad;;;;;;;;;x
take_child_out_of_hiding_named;Take [Root.GetFirstName] out of Hiding;Sortir [Root.GetFirstName] de sa cachette;Holt [Root.GetFirstName] aus dem Versteck;;Sacar a [Root.GetFirstName] de la Clandestinidad;;;;;;;;;x
send_spouse_into_hiding;Send into Hiding;Cacher;Ins Versteck Schicken;;Esconder;;;;;;;;;x
