#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
haughty;Haughty;Enfant au caractère hautain;Überheblich;;altanero/a;;;;;;;;;x
#haughty_desc;This child is proud and vain, convinced of their own superiority.;;Das Kind ist voller Stolz und Eitelkeit und überzeugt von der eigenen Überlegenheit.;;Este/a niño/a es orgulloso/a y vanidoso/a, convencido de su propia superioridad.;;;;;;;;;x
affectionate;Affectionate;Enfant au caractère tendre;Herzlich;;afectuoso/a;;;;;;;;;x
#affectionate_desc;This child is kind and is quick to show love and affection.;;Das Kind ist freundlich und zeigt schnell seine Liebe und Zuneigung.;;Este/a niño/a es buena y rápido/a en mostrar amor y afecto.;;;;;;;;;x
timid;Timid;Enfant au caractère timide;Zaghaft;;tímido/a;;;;;;;;;x
#timid_desc;This child is shy and quiet and usually avoids open conflicts.;;Das Kind ist schüchtern und still und geht der offenen Konfrontation aus dem Weg.;;Este/a niño/a es tímido/a y reservado/a y evita generalmente conflictos abiertos.;;;;;;;;;x
rowdy;Rowdy;Enfant au caractère chahuteur;Rauflustig;;alborotador/a;;;;;;;;;x
#rowdy_desc;This child is loud and lively and usually prefers rough physical activity over calmer pursuits.;;Das Kind ist laut und quirlig und geht am liebsten körperlich fordernden Aktivitäten nach.;;Este/a niño/a es fuerte y vivaz y generalmente prefiere actividad física ruda sobre actividades más tranquilas.;;;;;;;;;x
willful;Willful;Enfant au caractère opiniâtre;Eigenwillig;;obstinado/a;;;;;;;;;x
#willful_desc;This child is stubborn and strong-willed, and doesn't obey or give way easily.;;Das Kind ist stur und eigensinnig. Es gehorcht nicht gern und gibt nicht gern nach.;;Este/a niño/a es obstinado/a y terco/a, y no obedece o cede el paso fácilmente.;;;;;;;;;x
brooding;Brooding;Enfant au caractère songeur;Grüblerisch;;pensativo/a;;;;;;;;;x
#brooding_desc;This child is a quiet thinker, often sitting inside in deep ponderings as others play outside in the sun.;;Das Kind hat einen Hang zur stillen Betrachtung und überlässt das Herumtoben im Freien gerne den anderen.;;Este niño/a es un/a pensador/a tranquilo/a, a menudo sentado/a en profundas meditaciones mientras otros juegan fuera, al sol.;;;;;;;;;x
indolent;Indolent;Enfant au caractère veule;Träge;;indolente;;;;;;;;;x
#indolent_desc;This child is very averse to any kind of exertion, be it mental or physical.;;Das Kind hat eine Abneigung gegen Anstrengung jeder Form, ganz gleich ob körperlicher oder geistiger Natur.;;Este/a niño/a es muy contrario a cualquier clase de esfuerzo, ya que sea mental o físico.;;;;;;;;;x
playful;Playful;Enfant au caractère espiègle;Verspielt;;juguetón/a;;;;;;;;;x
#playful_desc;This child loves to engage in fun and games, almost always turning any activity into an excuse to play.;;Das Kind liebt Spiele und das Vergnügen und hat einen spielerischen Zugang zur Welt.;;Este/a niño/a ama tomar parte en diversión y juegos, casi siempre en cualquier actividad es una excusa para jugar.;;;;;;;;;x
conscientious;Conscientious;Enfant au caractère consciencieux;Gewissenhaft;;concienzudo/a;;;;;;;;;x
#conscientious_desc;This child is unusually scrupulous and responsible, taking delight in completing any chores and tasks to perfection.;;Das Kind ist außergewöhnlich pflichtbewusst und möchte ihm gestellte Aufgaben möglichst perfekt erledigen. ;;Este/a niño/a es inusualmente escrupuloso/a y responsable, disfrutando con la realización de sus quehaceres y tareas a la perfección.;;;;;;;;;x
fussy;Fussy;Enfant au caractère pointilleux;Pingelig;;quisquilloso/a;;;;;;;;;x
#fussy_desc;This child is very particular about details which seem trivial to others, sometimes to the point of causing anxiety and frustration.;;Das Kind misst scheinbar nebensächlichen Kleinigkeiten große Bedeutung zu, was nicht alle nachvollziehen können und manchmal für Frustration sorgt.;;Este/a niño/a presta una atención muy particular a detalles que parecen triviales a otros, a veces hasta el punto de causar ansiedad y frustración.;;;;;;;;;x
curious;Curious;Enfant au caractère curieux;Neugierig;;curioso/a;;;;;;;;;x
#curious_desc;This child has an inquisitive nature and is constantly asking questions and poking around looking for new and interesting things.;;Das Kind kann stundenlang Fragen stellen und ist immer auf der Suche nach neuen und interessanten Dingen.;;Este/a niño/a tiene una naturaleza curiosa y está constantemente haciendo preguntas y husmeando en busca de cosas nuevas e interesantes.;;;;;;;;;x
idolizer;Idolizer;Enfant au caractère idolâtre;Manipulierbar;;Adorador;;;;;;;;;x
#idolizer_desc;This child is easily impressed and also has a fervent desire to seek for ultimate truths.;;Das Kind ist leicht zu beeindrucken und hat eine große Sehnsucht nach endgültigen Wahrheiten.;;Este/a niño/a se impresiona fácilmente y también tiene un deseo ferviente por buscar las verdades definitivas.;;;;;;;;;x
no_objective_title;No Focus Chosen;Pas d'intérêt choisi;Kein Fokus ausgewählt;;Ningún foco elegido;;;;;;;;;x
focus_ch_pride;Pride;Fierté;Stolz;;Orgullo;;;;;;;;;x
focus_ch_pride_title;Pride;Fierté;Stolz;;Orgullo;;;;;;;;;x
focus_ch_pride_desc;[This.GetTitledFirstName] is tutored by councillors and noblemen, being groomed for rulership. Common trait outcomes for this Focus are §YHaughty§! and §YBrooding§!.;[This.GetTitledFirstName] reçoit son éducation de nobles et de conseillers, dans le but de se préparer au pouvoir. En découle un caractère §Ysongeur§! et §Yhautain§!.;[This.GetTitledFirstName] wird unter der Anleitung von Kanzlern und Adligen auf eine herrschende Funktion vorbereitet. Die bei diesem Fokus zu erwartenden Eigenschaften sind §YÜberheblich§! und §YGrüblerisch§!.;;[This.GetTitledFirstName] es educado por consejeros y nobles, preparándole para gobernar. Los rasgos comunes resultantes de este enfoque son §YAltanero/a§! y §Ypensativo/a§!.;;;;;;;;;x
focus_ch_humility;Humility;Humilité;Demut;;Humildad;;;;;;;;;x
focus_ch_humility_title;Humility;Humilité;Demut;;Humildad;;;;;;;;;x
focus_ch_humility_desc;[This.GetTitledFirstName] is tutored by servants at court, focusing on service and humility. Common trait outcomes for this Focus are §YTimid§! and §YAffectionate§!.;[This.GetTitledFirstName] reçoit son éducation de serviteurs de la cour, avec un accent mis sur le service et l'humilité. En découle un caractère §Ytimide§! et §Ytendre§!.;[This.GetTitledFirstName] soll unter dem Einfluss der Hofdienerschaft in der Hauptsache Gehorsam und Demut lernen. Die bei diesem Fokus zu erwartenden Eigenschaften sind §YZaghaft§! und §YHerzlich§!.;;[This.GetTitledFirstName] es educado por sirvientes de la corte, centrándose en servicio y humildad. Los rasgos comunes resultantes de este enfoque son §YTimido§! y §YAfectuoso§!.;;;;;;;;;x
focus_ch_duty;Duty;Devoir;Pflicht;;Deber;;;;;;;;;x
focus_ch_duty_title;Duty;Devoir;Pflicht;;Deber;;;;;;;;;x
focus_ch_duty_desc;[This.GetTitledFirstName] is tutored by guards and retainers at court, focusing on duty and diligence. A common trait outcome for this Focus is §YConscientious§!.;[This.GetTitledFirstName] reçoit son éducation de gardes et de domestiques, avec un accent mis sur le devoir et le zèle. En découle un caractère §Yconsciencieux§!.;[This.GetTitledFirstName] wird von Wachen und Gefolgsmännern des Hofes zu Fleiß und Pflichtbewusstsein erzogen. Die bei diesem Fokus zu erwartende Eigenschaft ist §YGewissenhaft§!.;;[This.GetTitledFirstName] es educado por guardias y criados de la centrándose en servicio y diligencia. El rasgo común resultante de este enfoque es §Yconcienzudo/a§!.;;;;;;;;;x
focus_ch_etiquette;Etiquette;Étiquette;Etikette;;Etiqueta;;;;;;;;;x
focus_ch_etiquette_title;Etiquette;Étiquette;Etikette;;Etiqueta;;;;;;;;;x
focus_ch_etiquette_desc;[This.GetTitledFirstName] is tutored by councillors and other courtiers, focusing on courteous behavior and etiquette. Common trait outcomes for this Focus are §YPlayful§! and §YIndolent§!.;[This.GetTitledFirstName] reçoit son éducation de conseillers et d'autres courtisans, avec un accent mis sur la courtoisie et l'étiquette. En découle un caractère §Yespiègle§! et §Yveule§!.;[This.GetTitledFirstName] soll unter der Anleitung der Ratsmitglieder und Höflinge das gute Benehmen bei Hofe erlernen. Die bei diesem Fokus zu erwartenden Eigenschaften sind §YVerspielt§! und §YTräge§!.;;[This.GetTitledFirstName] es educado por consejeros y otros cortesanos, centrándose en comportamiento cortés y etiqueta. Los rasgos comunes resultantes de este enfoque son §YJuguetón§! e §YIndolente§!;;;;;;;;;x
focus_ch_thrift;Thrift;Économie;Sparsamkeit;;Frugalidad;;;;;;;;;x
focus_ch_thrift_title;Thrift;Économie;Sparsamkeit;;Frugalidad;;;;;;;;;x
focus_ch_thrift_desc;[This.GetTitledFirstName] is tutored by artisans and merchants, focusing on mathematics and invention. Common trait outcomes for this Focus are §YCurious§! and §YFussy§!.;[This.GetTitledFirstName] reçoit son éducation d'artisans et de marchands, avec un accent mis sur les mathématiques et l'inventivité. En découle un caractère §Ycurieux§! et §Ypointilleux§!.;[This.GetTitledFirstName] wird von Handwerkern und Kaufleuten in die Welt der Mathematik und Erfindungen eingeführt. Die bei diesem Fokus zu erwartenden Eigenschaften sind §YNeugierig§! und §YPingelig§!.;;[This.GetTitledFirstName] es educado por artesanos y comerciantes, centrándose en matemáticas e invención. Los rasgos comunes resultantes de este enfoque son §Ycurioso§! y §Yquisquilloso/a§!.;;;;;;;;;x
focus_ch_faith;Faith;Religion;Glaube;;Fe;;;;;;;;;x
focus_ch_faith_title;Faith;Religion;Glaube;;Fe;;;;;;;;;x
focus_ch_faith_desc;[This.GetTitledFirstName] is tutored by priests, focusing on the §Y[This.Educator.Religion.GetName]§! faith and religious learning. A common trait outcome for this Focus is §YIdolizer§!.;[This.GetTitledFirstName] reçoit son éducation de prêtres, avec un accent mis sur l'étude de la religion §Y[This.Educator.Religion.GetName]§!. En découle un caractère §Yidolâtre§!.;[This.GetTitledFirstName] wird von Priestern in den Dingen des Glaubens und der Religion unterrichtet. Die bei diesem Fokus zu erwartende Eigenschaft ist §YManipulierbar§!.;;[This.GetTitledFirstName] está bajo la tutela de sacerdotes, cendrándose en la fe §Y[This.Educator.Religion.GetName]§! y enseñanza religiosa. El rasgo común resultante de este enfoque es §YAdorador§!.;;;;;;;;;x
focus_ch_struggle;Struggle;Conflit;Kampf;;Lucha;;;;;;;;;x
focus_ch_struggle_title;Struggle;Conflit;Kampf;;Lucha;;;;;;;;;x
focus_ch_struggle_desc;[This.GetTitledFirstName] is very loosely tutored, chiefly being left to [This.GetHerHis] own devices and competing with other children. Common trait outcomes for this Focus are §YRowdy§! and §YWillful§!.;[This.GetTitledFirstName] ne reçoit que peu d'éducation, devant trouver sa propre voie en compétition avec les autres enfants. En découle un caractère §Ychahuteur§! et §Yopiniâtre§!.;[This.GetTitledFirstName] bleibt ohne erklärten Lehrmeister und soll sich im Wettkampf mit anderen Heranwachsenden auf die eigene Stärke besinnen. Die bei diesem Fokus zu erwartenden Eigenschaften sind §YRauflustig§! und §YEigenwillig§!.;;[This.GetTitledFirstName] está bajo una tutela muy suelta, prácticamente dejado a [This.GetHerHis] propio aire, compitiendo con otros niños. Los rasgos comunes resultantes de este enfoque son §YRuidoso§! y §YObstinado§!.;;;;;;;;;x
focus_ch_heritage;Heritage;Héritage;Tradition;;Patrimonio;;;;;;;;;x
focus_ch_heritage_title;Heritage;Héritage;Tradition;;Patrimonio;;;;;;;;;x
focus_ch_heritage_desc;[This.GetTitledFirstName] is tutored by various courtiers and family members, focusing on assimilating §Y[This.Educator.Culture.GetName]§! culture and the §Y[This.Educator.Religion.GetName]§! faith. No specific traits are associated with this Focus.;[This.GetTitledFirstName] reçoit son éducation de divers courtisans et membres de sa famille, avec un accent mis sur l'assimilation de la culture §Y[This.Educator.Culture.GetName]§! et de la religion §Y[This.Educator.Religion.GetName]§!. Aucun trait particulier n'est associé à cet intérêt.;[This.GetTitledFirstName] wird von verschiedenen Höflingen und Familienmitgliedern die §Y[This.Educator.Culture.GetName]e§! Kultur und der §Y[This.Educator.Religion.GetName]e§! Glaube nähergebracht. Mit diesem Fokus stehen keine besonderen Eigenschaften in Verbindung.;;[This.GetTitledFirstName] está educado por varios cortesanos y miembros de la familia, centrándose en la asimilación de la cultura de §Y[This.Educator.Culture.GetName]§! y la fe de §Y[This.Educator.Religion.GetName]§! No hay rasgos específicos asociados con este enfoque.;;;;;;;;;x
focus_ed_diplomacy;Diplomacy;Diplomatie;Diplomatie;;Diplomacia;;;;;;;;;x
focus_ed_diplomacy_title;Diplomatic Education;Éducation à la diplomatie;Diplomatische Ausbildung;;Educación diplomática;;;;;;;;;x
focus_ed_diplomacy_desc;[This.GetTitledFirstName] focuses [This.GetHerHis] studies on the ways of diplomacy and statesmanship.\n§GAffectionate§! and §GCurious§! children will do better with this education, while §RWillful§! and §RFussy§! children will be hampered.;[This.GetTitledFirstName] concentre ses études sur la diplomatie et la politique.\nLes enfants §Gtendres§! et §Gcurieux§! s'en sortiront mieux avec cette éducation, alors que les enfants §Ropiniâtres§! et §Rpointilleux§! éprouveront des difficultés.;[This.GetTitledFirstName] konzentriert sich auf Diplomatie und staatsmännische Fähigkeiten.\n§GHerzliche§! und §Gneugierige§! Kinder haben es dabei leicht, während §Reigenwillige§! und §Rpingelige§! Kinder Schwierigkeiten haben.;;[This.GetTitledFirstName] centra [This.GetHerHis]s estudios sobre las formas de la diplomacia y habilidad política.\nA los niños \n§Gafectuosos§! y §GCuriosos§! les irá mejor con esta educación, mientras que los niños §RObstinados y §! §RQuisquilloso§! encontrarán problemas.;;;;;;;;;x
focus_ed_martial;Martial;Martialité;Kriegskunst;;Marcial;;;;;;;;;x
focus_ed_martial_title;Martial Education;Éducation martiale;Kriegerische Ausbildung;;Educación Marcial;;;;;;;;;x
