#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CONVERTING;CONVERTING;CONVERSION;KONVERTIERUNG;;CONVERSIÓN;;;;;;;;;x
opinion_humiliated_family;Humiliated Family;A humilié un parent éloigné;Erniedrigte Familie;;Familia humillada;;;;;;;;;x
opinion_humiliated_close_kin;Humiliated Close Kin;A mutilé un proche parent;Hat engen Verwandten erniedrigt;;Parientes cercanos humillados;;;;;;;;;x
gov_mercenary;Mercenary Band;Bande mercenaire;Söldnertrupp;;Banda de mercenarios;;;;;;;;;x
RULE_NOMAD_STABILITY;§BHorse Lords:§! Nomad Stability;Stabilité nomade (§BHorse Lords§! - Seigneurs de cavalerie);§BHorse Lords:§! Nomadenstabilität;;§BHorse Lords:§! Estabilidad nómada;;;;;;;;;x
RULE_OPTION_NOMAD_STABILITY_UNSTABLE;Unstable;Instable;Instabil;;Inestable;;;;;;;;;x
RULE_OPTION_NOMAD_STABILITY_UNSTABLE_DESC;Upon succession of the Khagan, vassals of Nomadic hordes have a chance to declare independence. The succeeding ruler will have just cause to reclaim the land.;Lors de la succession du khagan, les vassaux des hordes nomades peuvent déclarer l'indépendance. Le successeur obtiendra un casus belli pour récupérer les terres.;Nach der Thronfolge des Khagan haben die Vasallen der nomadischen Horden die Gelegenheit, die Unabhängigkeit zu erklären. Der Thronfolger hat guten Grund, das Land zurückzuerobern.;;Tras suceder a los kagan, los vasallos de las hordas nómadas tienen la oportunidad de proclamar la independencia. El sucesor tendrá una causa justa para reclamar las tierras.;;;;;;;;;x
RULE_OPTION_NOMAD_STABILITY_STABLE;Stable;Stable;Stabil;;Estable;;;;;;;;;x
RULE_OPTION_NOMAD_STABILITY_STABLE_DESC;Nomad vassals will NOT have the opportunity to go independent on succession of the Khagan.;Les vassaux nomades n'ont pas la possibilité de déclarer l'indépendance à la succession du khagan.;Die Nomadenvasallen haben NICHT die Gelegenheit, sich bei der Thronfolge des Khagan unabhängig zu machen.;;Los vasallos nómadas NO tendrán la oportunidad de independizarse tras la sucesión de los kagan.;;;;;;;;;x
RULE_DE_JURE_REQUIREMENT;De Jure Requirement;Conditions de jure;De-Jure-Anforderung;;Requisito de iure;;;;;;;;;x
RULE_DE_JURE_REQUIREMENT_DEFAULT_DESC;Titles with De Jure land will be kept regardless of the circumstances.;Les titres avec des terres de jure seront conservés, quelles que soient les circonstances.;Titel von De-jure-Ländereien werden ungeachtet der Umstände behalten.;;Se mantendrán los títulos con tierras de iure independientemente de las circunstancias.;;;;;;;;;x
RULE_OPTION_DE_JURE_REQUIREMENT_REQUIRED;Required;Requis;Erforderlich;;Obligatorio;;;;;;;;;x
