#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
opinion_hajj_promised;Promised to go on Hajj.;A promis de faire le hajj;Hat versprochen, auf Haddsch zu gehen.;;Prometió hacer el hach.;;;;;;;;;x
opinion_bring_on_hajj;Became Hajjaj together;Ont fait le hajj ensemble;Waren zusammen auf Haddsch;;Nos convertimos en hach juntos;;;;;;;;;x
opinion_jihad_promised;Promised Jihad;A promis de faire le djihad;Versprach Dschihad;;Prometió Yihad;;;;;;;;;x
opinion_attepmt_hajj;Berated me about Hajj;M'a réprimandé au sujet du hajj;Schalt mich wegen Haddsch;;Me amonestó acerca del hach;;;;;;;;;x
opinion_declined_hajj;Declined Hajj;A décliné l'invitation de faire le hajj;Lehnte Haddsch ab;;Rechazó el hach;;;;;;;;;x
opinion_refused_hajj;Refused to go on Hajj with me;A refusé de faire le hajj avec moi;Weigerte sich, mit mir auf Haddsch zu gehen;;Se negó a hacer el hach conmigo;;;;;;;;;x
opinion_hajj_saved_from_bandit;Saved from bandits at Hajj;A été sauvé des bandits pendant le hajj;Rettete ihn auf Haddsch vor Banditen;;Salvado de bandidos en el hach;;;;;;;;;x
opinion_hajj_saving_on_hajj;Saved him from bandits;L'a sauvé des bandits;Rettete ihn vor Banditen;;Le salvé de los bandidos;;;;;;;;;x
opinion_hajj_attempt_murder;Broke Truce of Hajj;A rompu la trêve du hajj;Hat den Waffenstillstand des Haddsch gebrochen;;Rompió Tregua del hach;;;;;;;;;x
opinion_hajj_rivalry_mended;Positive talk on Hajj;Discours positif à propos du hajj;Positives Gespräch auf Haddsch;;Charla positiva sobre el hach;;;;;;;;;x
opinion_helped_wudu;Helped with Wudu;Aidé avec les ablutions;Hat mit Wudu geholfen;;Ha ayudado con el Wudu;;;;;;;;;x
opinion_hajj_not_helpin;Not showing charity;Ne montre aucune charité;Zeigt keine Barmherzigkeit;;No muestra caridad;;;;;;;;;x
EVTDESC86000;You have started to prepare yourself for going on a pilgrimage to Mecca. Soon you will humble yourself and travel in a group with others to fulfill one of the five pillars of Islam.;Vous vous préparez à partir en pèlerinage à La Mecque. Très vite, vous ferez preuve d'humilité et voyagerez en groupe avec d'autres compagnons pour réaliser l'un des cinq piliers de l'islam.;Ihr habt Euch auf eine Pilgerreise nach Mekka vorbereitet. Bald werdet Ihr demütig mit anderen in einer Gruppe reisen, um einen Pfeiler des Islams zu erfüllen.;;Has comenzado a prepararte para ir de peregrinación a La Meca. Pronto mostrarás humildad y viajarás con otros para completar uno de los cinco pilares del islam.;;;;;;;;;x
EVTOPTA86000;All are equal in front of God!;Nous sommes tous égaux aux yeux de Dieu !;Vor Gott sind alle gleich!;;¡Todos son iguales ante los ojos de Dios!;;;;;;;;;x
EVTDESC86001;I am preparing myself for my travel to Mecca, and I have understood that there are members of my court that have not yet gone on a pilgrimage to Mecca. As [Root.PrimaryTitle.GetRulerTitle], it is my duty to be charitable to my people, and I will bring one of them with me.;Je me prépare à effectuer mon voyage jusqu'à La Mecque et j'ai entendu que de nombreux membres de ma Cour ne sont jamais partis en pèlerinage à La Mecque. En tant que [Root.PrimaryTitle.GetRulerTitle], je me dois d'être charitable envers mes gens, et j'ai décidé d'emmener l'un d'eux avec moi.;Als ich mich auf meine Reise nach Mekka vorbereitete, habe ich festgestellt, dass es Mitglieder meines Hofes gibt, die bisher noch nicht auf eine Pilgerreise nach Mekka gegangen sind. Als [Root.PrimaryTitle.GetRulerTitle] ist es meine Pflicht barmherzig, zu meinem Volk zu sein, und deshalb werde ich einen von ihnen mit auf die Reise nehmen.;;Me estoy preparando para mi viaje a La Meca, y he comprendido que hay miembros de mi corte que todavía no han hecho la peregrinación a La Meca. Como [Root.PrimaryTitle.GetRulerTitle], es mi deber ser generoso con mi gente y llevaré a uno de ellos conmigo.;;;;;;;;;x
EVTOPTA86001;It will make travel more enjoyable...;Cela égaiera le voyage...;Es wird die Reise reizvoller machen ...;;Hará el viaje más placentero...;;;;;;;;;x
EVTOPTB86001;It is too costly...;C'est trop onéreux...;Das ist zu kostspielig ...;;Es demasiado costoso...;;;;;;;;;x
